ZIP,City,County,Population
35242,Birmingham,Shelby County,"57,374"
36117,Montgomery,Montgomery County,"53,172"
36695,Mobile,Mobile County,"52,690"
35758,Madison,Madison County,"50,266"
35405,Tuscaloosa,Tuscaloosa County,"49,420"
36830,Auburn,Lee County,"49,292"
36116,Montgomery,Montgomery County,"45,250"
35215,Birmingham,Jefferson County,"43,903"
35401,Tuscaloosa,Tuscaloosa County,"43,459"
36535,Foley,Baldwin County,"40,628"
36330,Enterprise,Coffee County,"39,557"
36301,Dothan,Houston County,"39,452"
36608,Mobile,Mobile County,"38,890"
35226,Birmingham,Jefferson County,"38,588"
35244,Birmingham,Shelby County,"38,217"
36532,Fairhope,Baldwin County,"38,108"
36526,Daphne,Baldwin County,"36,484"
35601,Decatur,Morgan County,"35,449"
35216,Birmingham,Jefferson County,"34,327"
35630,Florence,Lauderdale County,"34,028"
35810,Huntsville,Madison County,"32,843"
35209,Birmingham,Jefferson County,"32,734"
35603,Decatur,Morgan County,"32,179"
35173,Trussville,Jefferson County,"31,603"
35811,Huntsville,Madison County,"31,008"
36832,Auburn,Lee County,"30,959"
35749,Harvest,Madison County,"30,710"
36303,Dothan,Houston County,"30,173"
35611,Athens,Limestone County,"29,969"
35803,Huntsville,Madison County,"29,197"
35806,Huntsville,Madison County,"29,161"
35007,Alabaster,Shelby County,"28,586"
36067,Prattville,Autauga County,"28,293"
35640,Hartselle,Morgan County,"27,344"
35160,Talladega,Talladega County,"26,031"
35023,Bessemer,Jefferson County,"25,533"
35613,Athens,Limestone County,"25,523"
36801,Opelika,Lee County,"25,438"
35124,Pelham,Shelby County,"25,238"
36605,Mobile,Mobile County,"25,104"
35756,Madison,Limestone County,"24,947"
35211,Birmingham,Jefferson County,"24,924"
35020,Bessemer,Jefferson County,"24,892"
35802,Huntsville,Madison County,"23,858"
36609,Mobile,Mobile County,"23,820"
36582,Theodore,Mobile County,"23,705"
36109,Montgomery,Montgomery County,"23,581"
36575,Semmes,Mobile County,"23,481"
35801,Huntsville,Madison County,"23,357"
35022,Bessemer,Jefferson County,"23,126"
35055,Cullman,Cullman County,"23,115"
36867,Phenix City,Russell County,"22,821"
36066,Prattville,Autauga County,"22,632"
35950,Albertville,Marshall County,"22,603"
35126,Pinson,Jefferson County,"22,599"
36265,Jacksonville,Calhoun County,"22,452"
35404,Tuscaloosa,Tuscaloosa County,"22,445"
36092,Wetumpka,Elmore County,"22,242"
36701,Selma,Dallas County,"22,183"
36527,Daphne,Baldwin County,"21,765"
36869,Phenix City,Russell County,"21,518"
35805,Huntsville,Madison County,"20,856"
35633,Florence,Lauderdale County,"20,813"
35475,Northport,Tuscaloosa County,"20,745"
36507,Bay Minette,Baldwin County,"20,641"
36804,Opelika,Lee County,"20,535"
35235,Birmingham,Jefferson County,"20,526"
35111,McCalla,Jefferson County,"20,342"
35080,Helena,Shelby County,"20,251"
35674,Tuscumbia,Colbert County,"20,176"
35763,Owens Cross Roads,Madison County,"19,819"
35010,Alexander City,Tallapoosa County,"19,347"
35040,Calera,Shelby County,"19,304"
36207,Anniston,Calhoun County,"19,220"
35661,Muscle Shoals,Colbert County,"19,169"
36360,Ozark,Dale County,"19,060"
36203,Oxford,Calhoun County,"18,919"
36542,Gulf Shores,Baldwin County,"18,906"
35406,Tuscaloosa,Tuscaloosa County,"18,904"
35205,Birmingham,Jefferson County,"18,858"
35901,Gadsden,Etowah County,"18,769"
36606,Mobile,Mobile County,"18,728"
36693,Mobile,Mobile County,"18,726"
35757,Madison,Madison County,"18,529"
35473,Northport,Tuscaloosa County,"18,198"
35243,Birmingham,Jefferson County,"18,176"
36870,Phenix City,Lee County,"17,951"
36618,Mobile,Mobile County,"17,892"
35120,Odenville,St. Clair County,"17,730"
35115,Montevallo,Shelby County,"17,610"
36305,Dothan,Houston County,"17,610"
35150,Sylacauga,Talladega County,"17,305"
35071,Gardendale,Jefferson County,"17,288"
35016,Arab,Marshall County,"17,158"
36571,Saraland,Mobile County,"17,143"
35903,Gadsden,Etowah County,"17,113"
35214,Birmingham,Jefferson County,"17,027"
36201,Anniston,Calhoun County,"16,993"
35967,Fort Payne,DeKalb County,"16,957"
35976,Guntersville,Marshall County,"16,794"
35957,Boaz,Marshall County,"16,737"
36854,Valley,Chambers County,"16,537"
36426,Brewton,Escambia County,"16,407"
35121,Oneonta,Blount County,"16,170"
36567,Robertsdale,Baldwin County,"16,095"
35816,Huntsville,Madison County,"15,939"
35043,Chelsea,Shelby County,"15,837"
36022,Deatsville,Elmore County,"15,672"
35206,Birmingham,Jefferson County,"15,621"
35213,Birmingham,Jefferson County,"15,603"
36541,Grand Bay,Mobile County,"15,590"
36502,Atmore,Escambia County,"15,558"
35045,Clanton,Chilton County,"15,324"
36081,Troy,Pike County,"15,143"
35951,Albertville,Marshall County,"14,869"
