ZIP,City,County,Population
99654,Wasilla,Matanuska-Susitna Borough,"44,647"
99504,Anchorage,Anchorage Municipality,"42,093"
99507,Anchorage,Anchorage Municipality,"37,301"
99508,Anchorage,Anchorage Municipality,"36,458"
99645,Palmer,Matanuska-Susitna Borough,"32,103"
99801,Juneau,Juneau City and Borough,"29,588"
99709,Fairbanks,Fairbanks North Star Borough,"29,551"
99577,Eagle River,Anchorage Municipality,"28,477"
99502,Anchorage,Anchorage Municipality,"25,006"
99623,Wasilla,Matanuska-Susitna Borough,"23,424"
99515,Anchorage,Anchorage Municipality,"21,870"
99705,North Pole,Fairbanks North Star Borough,"21,769"
99516,Anchorage,Anchorage Municipality,"21,500"
99701,Fairbanks,Yukon-Koyukuk Census Area,"18,061"
99611,Kenai,Kenai Peninsula Borough,"16,510"
99517,Anchorage,Anchorage Municipality,"16,486"
99501,Anchorage,Anchorage Municipality,"16,175"
99669,Soldotna,Kenai Peninsula Borough,"15,395"
99901,Ketchikan,Ketchikan Gateway Borough,"13,768"
99503,Anchorage,Bethel Census Area,"12,964"
99712,Fairbanks,Fairbanks North Star Borough,"12,477"
99615,Kodiak,Kodiak Island Borough,"12,194"
99603,Homer,Kenai Peninsula Borough,"11,693"
99518,Anchorage,Anchorage Municipality,"9,764"
99835,Sitka,Sitka City and Borough,"8,368"
99703,Fort Wainwright,Fairbanks North Star Borough,"8,304"
99559,Bethel,Bethel Census Area,"7,241"
99506,Jber,Anchorage Municipality,"7,028"
99567,Chugiak,Anchorage Municipality,"6,452"
99505,Jber,Anchorage Municipality,"5,015"
99723,Barrow,North Slope Borough,"4,785"
99737,Delta Junction,Southeast Fairbanks Census Area,"4,774"
99664,Seward,Kenai Peninsula Borough,"4,698"
99652,Big Lake,Matanuska-Susitna Borough,"4,313"
99762,Nome,Nome Census Area,"4,156"
99672,Sterling,Kenai Peninsula Borough,"4,091"
99686,Valdez,Chugach Census Area,"3,862"
99685,Unalaska,Aleutians West Census Area,"3,747"
99833,Petersburg,Petersburg Borough,"3,409"
99702,Eielson Afb,Fairbanks North Star Borough,"3,260"
99752,Kotzebue,Northwest Arctic Borough,"3,056"
99556,Anchor Point,Kenai Peninsula Borough,"2,866"
99688,Willow,Matanuska-Susitna Borough,"2,739"
99574,Cordova,Chugach Census Area,"2,551"
99576,Dillingham,Dillingham Census Area,"2,454"
99610,Kasilof,Kenai Peninsula Borough,"2,222"
99824,Douglas,Juneau City and Borough,"2,190"
99827,Haines,Haines Borough,"2,168"
99929,Wrangell,Wrangell City and Borough,"2,087"
99587,Girdwood,Anchorage Municipality,"1,949"
99780,Tok,Southeast Fairbanks Census Area,"1,884"
99674,Sutton,Matanuska-Susitna Borough,"1,774"
99676,Talkeetna,Matanuska-Susitna Borough,"1,628"
99921,Craig,Prince of Wales-Hyder Census Area,"1,596"
99694,Houston,Matanuska-Susitna Borough,"1,516"
99612,King Cove,Aleutians East Borough,"1,352"
99926,Metlakatla,Prince of Wales-Hyder Census Area,"1,334"
99655,Quinhagak,Bethel Census Area,"1,311"
99519,Anchorage,North Slope Borough,"1,297"
99840,Skagway,Skagway Municipality,"1,244"
99734,Prudhoe Bay,North Slope Borough,"1,203"
99639,Ninilchik,Kenai Peninsula Borough,"1,175"
99714,Salcha,Fairbanks North Star Borough,"1,106"
99661,Sand Point,Aleutians East Borough,"1,071"
99588,Glennallen,Copper River Census Area,"1,037"
99755,Denali National Park,Denali Borough,987
99658,Saint Marys,Kusilvak Census Area,979
99620,Kotlik,Kusilvak Census Area,976
99621,Kwethluk,Bethel Census Area,975
99581,Emmonak,Kusilvak Census Area,966
99678,Togiak,Dillingham Census Area,963
99632,Mountain Village,Kusilvak Census Area,949
99573,Copper Center,Copper River Census Area,941
99604,Hooper Bay,Kusilvak Census Area,903
99769,Savoonga,Nome Census Area,868
99554,Alakanuk,Kusilvak Census Area,864
99829,Hoonah,Hoonah-Angoon Census Area,862
99925,Klawock,Prince of Wales-Hyder Census Area,841
99637,Toksook Bay,Bethel Census Area,833
99760,Nenana,Yukon-Koyukuk Census Area,833
99766,Point Hope,North Slope Borough,832
99775,Fairbanks,Fairbanks North Star Borough,826
99692,Dutch Harbor,Aleutians West Census Area,809
99750,Kivalina,Northwest Arctic Borough,809
99761,Noatak,Northwest Arctic Borough,786
99763,Noorvik,Northwest Arctic Borough,748
99551,Akiachak,Bethel Census Area,736
99782,Wainwright,North Slope Borough,718
99785,Brevig Mission,Nome Census Area,718
99557,Aniak,Bethel Census Area,714
99650,Pilot Station,Kusilvak Census Area,713
99614,Kipnuk,Bethel Census Area,706
99609,Kasigluk,Bethel Census Area,698
99553,Akutan,Aleutians East Borough,694
99634,Napakiak,Bethel Census Area,692
99628,Manokotak,Dillingham Census Area,679
99740,Fort Yukon,Yukon-Koyukuk Census Area,656
99743,Healy,Denali Borough,652
99830,Kake,Prince of Wales-Hyder Census Area,629
99561,Chefornak,Bethel Census Area,620
99641,Nunapitchuk,Bethel Census Area,618
99789,Nuiqsut,North Slope Borough,616
99741,Galena,Yukon-Koyukuk Census Area,611
99671,Stebbins,Nome Census Area,596
99826,Gustavus,Hoonah-Angoon Census Area,594
99683,Trapper Creek,Matanuska-Susitna Borough,583
99919,Thorne Bay,Prince of Wales-Hyder Census Area,570
99742,Gambell,Nome Census Area,569
99684,Unalakleet,Nome Census Area,565
99622,Kwigillingok,Bethel Census Area,545
99727,Buckland,Northwest Arctic Borough,533
99689,Yakutat,Yakutat City and Borough,527
99633,Naknek,Bristol Bay Borough,522
99680,Tuntutuliak,Bethel Census Area,514
99563,Chevak,Kusilvak Census Area,494
99820,Angoon,Hoonah-Angoon Census Area,480
