ZIP,City,County,Population
72764,Springdale,Washington County,"58,719"
72034,Conway,Faulkner County,"50,285"
72701,Fayetteville,Washington County,"49,835"
72758,Rogers,Benton County,"48,233"
71913,Hot Springs National Park,Garland County,"47,477"
72762,Springdale,Washington County,"46,092"
72401,Jonesboro,Craighead County,"42,602"
72756,Rogers,Benton County,"41,791"
72450,Paragould,Greene County,"40,807"
72712,Bentonville,Benton County,"38,690"
72076,Jacksonville,Pulaski County,"38,437"
72023,Cabot,Lonoke County,"37,452"
72703,Fayetteville,Washington County,"35,896"
71854,Texarkana,Miller County,"35,720"
72143,Searcy,White County,"35,000"
72956,Van Buren,Crawford County,"34,546"
72032,Conway,Faulkner County,"34,469"
72120,Sherwood,Pulaski County,"34,365"
72704,Fayetteville,Washington County,"32,497"
72209,Little Rock,Pulaski County,"31,607"
72601,Harrison,Boone County,"31,370"
72204,Little Rock,Pulaski County,"30,525"
72019,Benton,Saline County,"30,055"
72404,Jonesboro,Craighead County,"29,968"
71730,El Dorado,Union County,"29,760"
71603,Pine Bluff,Jefferson County,"29,578"
72653,Mountain Home,Baxter County,"29,564"
72713,Bentonville,Benton County,"28,999"
71901,Hot Springs National Park,Garland County,"28,937"
72015,Benton,Saline County,"28,712"
72903,Fort Smith,Sebastian County,"27,242"
72223,Little Rock,Pulaski County,"26,986"
72501,Batesville,Independence County,"26,218"
72113,Maumelle,Pulaski County,"25,596"
72761,Siloam Springs,Benton County,"24,745"
72301,West Memphis,Crittenden County,"23,959"
72104,Malvern,Hot Spring County,"23,624"
72802,Russellville,Pope County,"23,283"
72205,Little Rock,Pulaski County,"23,043"
72118,North Little Rock,Pulaski County,"22,913"
72206,Little Rock,Pulaski County,"22,667"
72116,North Little Rock,Pulaski County,"22,464"
72211,Little Rock,Pulaski County,"22,335"
72002,Alexander,Saline County,"21,495"
72904,Fort Smith,Sebastian County,"21,296"
72315,Blytheville,Mississippi County,"19,890"
72901,Fort Smith,Sebastian County,"19,819"
72719,Centerton,Benton County,"19,701"
72801,Russellville,Pope County,"19,019"
72058,Greenbrier,Faulkner County,"18,880"
72022,Bryant,Saline County,"18,808"
72405,Jonesboro,Craighead County,"18,675"
71909,Hot Springs Village,Garland County,"18,449"
72715,Bella Vista,Benton County,"17,288"
71701,Camden,Ouachita County,"16,847"
72335,Forrest City,St. Francis County,"16,372"
72364,Marion,Crittenden County,"16,034"
72830,Clarksville,Johnson County,"15,757"
72103,Mabelvale,Saline County,"15,736"
72210,Little Rock,Pulaski County,"15,621"
71753,Magnolia,Columbia County,"15,474"
72745,Lowell,Benton County,"15,447"
71602,White Hall,Jefferson County,"14,990"
71801,Hope,Hempstead County,"14,883"
71923,Arkadelphia,Clark County,"14,875"
72714,Bella Vista,Benton County,"14,350"
72908,Fort Smith,Sebastian County,"14,288"
72936,Greenwood,Sebastian County,"14,070"
71655,Monticello,Drew County,"14,022"
72212,Little Rock,Pulaski County,"13,698"
72012,Beebe,White County,"13,502"
72455,Pocahontas,Randolph County,"13,442"
72117,North Little Rock,Pulaski County,"13,438"
71953,Mena,Polk County,"13,415"
71601,Pine Bluff,Jefferson County,"13,367"
72921,Alma,Crawford County,"12,888"
72396,Wynne,Cross County,"12,766"
72543,Heber Springs,Cleburne County,"12,350"
72150,Sheridan,Grant County,"12,337"
72086,Lonoke,Lonoke County,"11,718"
72916,Fort Smith,Sebastian County,"11,711"
72730,Farmington,Washington County,"11,570"
72110,Morrilton,Conway County,"11,293"
72227,Little Rock,Pulaski County,"11,284"
72112,Newport,Jackson County,"11,161"
72616,Berryville,Carroll County,"10,907"
72753,Prairie Grove,Washington County,"10,744"
72207,Little Rock,Pulaski County,"10,631"
72007,Austin,Lonoke County,"10,579"
71635,Crossett,Ashley County,"10,295"
72740,Huntsville,Madison County,"10,179"
71832,De Queen,Sevier County,"10,147"
72114,North Little Rock,Pulaski County,"10,093"
72751,Pea Ridge,Benton County,"9,997"
72173,Vilonia,Faulkner County,"9,990"
72202,Little Rock,Pulaski County,"9,704"
72834,Dardanelle,Yell County,"9,482"
72949,Ozark,Franklin County,"9,477"
71852,Nashville,Howard County,"9,340"
72160,Stuttgart,Arkansas County,"9,071"
72472,Trumann,Poinsett County,"8,708"
72734,Gentry,Benton County,"8,694"
72176,Ward,Lonoke County,"8,678"
71671,Warren,Bradley County,"8,601"
72837,Dover,Pope County,"8,499"
72927,Booneville,Logan County,"7,944"
72736,Gravette,Benton County,"7,886"
71822,Ashdown,Little River County,"7,675"
72560,Mountain View,Stone County,"7,634"
72081,Judsonia,White County,"7,436"
72476,Walnut Ridge,Lawrence County,"7,334"
72370,Osceola,Mississippi County,"7,301"
72774,West Fork,Washington County,"7,082"
71667,Star City,Lincoln County,"7,059"
72958,Waldron,Scott County,"6,948"
72638,Green Forest,Carroll County,"6,912"
72727,Elkins,Madison County,"6,703"
72031,Clinton,Van Buren County,"6,607"
72390,West Helena,Phillips County,"6,577"
71646,Hamburg,Ashley County,"6,563"
72432,Harrisburg,Poinsett County,"6,283"
72687,Yellville,Marion County,"6,238"
72106,Mayflower,Faulkner County,"6,213"
72855,Paris,Logan County,"6,167"
72823,Atkins,Pope County,"6,023"
72417,Brookland,Craighead County,"5,940"
71857,Prescott,Nevada County,"5,818"
72718,Cave Springs,Benton County,"5,806"
72416,Bono,Craighead County,"5,642"
72744,Lincoln,Washington County,"5,520"
72065,Hensley,Saline County,"5,457"
72732,Garfield,Benton County,"5,392"
72010,Bald Knob,White County,"5,204"
72632,Eureka Springs,Carroll County,"5,169"
72941,Lavaca,Sebastian County,"5,140"
71643,Gould,Lincoln County,"5,129"
72933,Charleston,Franklin County,"5,087"
71639,Dumas,Lincoln County,"5,077"
72529,Cherokee Village,Sharp County,"5,059"
72360,Marianna,Lee County,"5,048"
