ZIP,City,County,Population
92336,Fontana,San Bernardino County,"105,517"
94565,Pittsburg,Contra Costa County,"100,488"
90011,Los Angeles,Los Angeles County,"100,113"
90650,Norwalk,Los Angeles County,"99,900"
91331,Pacoima,Los Angeles County,"97,608"
92335,Fontana,San Bernardino County,"97,511"
90044,Los Angeles,Los Angeles County,"94,830"
90250,Hawthorne,Los Angeles County,"93,826"
91342,Sylmar,Los Angeles County,"93,301"
90201,Bell Gardens,Los Angeles County,"92,763"
90805,Long Beach,Los Angeles County,"92,402"
90280,South Gate,Los Angeles County,"91,365"
92683,Westminster,Orange County,"89,833"
92345,Hesperia,San Bernardino County,"88,706"
92503,Riverside,Riverside County,"88,395"
93722,Fresno,Fresno County,"86,110"
93307,Bakersfield,Kern County,"85,945"
91911,Chula Vista,San Diego County,"85,542"
92376,Rialto,San Bernardino County,"84,394"
93727,Fresno,Fresno County,"84,107"
95747,Roseville,Placer County,"83,902"
95823,Sacramento,Sacramento County,"83,607"
92804,Anaheim,Orange County,"83,537"
95076,Watsonville,Santa Cruz County,"82,806"
92704,Santa Ana,Orange County,"82,120"
92509,Jurupa Valley,Riverside County,"81,182"
93550,Palmdale,Los Angeles County,"80,645"
93257,Porterville,Tulare County,"80,467"
92154,San Diego,San Diego County,"80,445"
92563,Murrieta,Riverside County,"80,379"
92592,Temecula,Riverside County,"80,035"
93274,Tulare,Tulare County,"80,026"
95630,Folsom,Sacramento County,"79,484"
93535,Lancaster,Los Angeles County,"79,409"
94112,San Francisco,San Francisco County,"79,277"
95035,Milpitas,Santa Clara County,"78,810"
94533,Fairfield,Solano County,"78,805"
91710,Chino,San Bernardino County,"78,754"
93033,Oxnard,Ventura County,"78,737"
91709,Chino Hills,San Bernardino County,"78,006"
91910,Chula Vista,San Diego County,"77,123"
94544,Hayward,Alameda County,"76,947"
91744,La Puente,Los Angeles County,"76,942"
90706,Bellflower,Los Angeles County,"76,819"
92126,San Diego,San Diego County,"76,059"
92880,Eastvale,Riverside County,"75,043"
92805,Anaheim,Orange County,"74,661"
92553,Moreno Valley,Riverside County,"74,640"
91335,Reseda,Los Angeles County,"74,526"
93306,Bakersfield,Kern County,"74,116"
93065,Simi Valley,Ventura County,"73,534"
93536,Lancaster,Los Angeles County,"73,412"
92407,San Bernardino,San Bernardino County,"71,711"
91730,Rancho Cucamonga,San Bernardino County,"71,613"
92105,San Diego,San Diego County,"71,411"
91706,Baldwin Park,Los Angeles County,"71,082"
94568,Dublin,Alameda County,"70,803"
94536,Fremont,Alameda County,"70,619"
92021,El Cajon,San Diego County,"70,501"
94509,Antioch,Contra Costa County,"70,090"
90003,Los Angeles,Los Angeles County,"70,065"
94513,Brentwood,Contra Costa County,"69,755"
93230,Hanford,Kings County,"69,684"
95123,San Jose,Santa Clara County,"69,677"
95687,Vacaville,Solano County,"69,390"
90255,Huntington Park,Los Angeles County,"69,349"
91766,Pomona,Los Angeles County,"69,327"
92882,Corona,Riverside County,"68,715"
95206,Stockton,San Joaquin County,"68,558"
90631,La Habra,Orange County,"68,309"
94538,Fremont,Alameda County,"67,781"
95624,Elk Grove,Sacramento County,"67,630"
94587,Union City,Alameda County,"67,464"
95020,Gilroy,Santa Clara County,"67,181"
92630,Lake Forest,Orange County,"67,152"
94541,Hayward,Alameda County,"67,139"
94110,San Francisco,San Francisco County,"66,865"
92115,San Diego,San Diego County,"66,264"
92618,Irvine,Orange County,"66,126"
92201,Indio,Riverside County,"65,825"
91402,Panorama City,Los Angeles County,"65,754"
92114,San Diego,San Diego County,"65,745"
95758,Elk Grove,Sacramento County,"65,725"
90037,Los Angeles,Los Angeles County,"65,482"
92392,Victorville,San Bernardino County,"65,429"
92562,Murrieta,Riverside County,"64,781"
94080,South San Francisco,San Mateo County,"64,761"
90262,Lynwood,Los Angeles County,"64,235"
91762,Ontario,San Bernardino County,"64,235"
93906,Salinas,Monterey County,"64,199"
92677,Laguna Niguel,Orange County,"64,139"
94015,Daly City,San Mateo County,"64,091"
92507,Riverside,Riverside County,"64,015"
93905,Salinas,Monterey County,"63,898"
92223,Beaumont,Riverside County,"63,833"
94501,Alameda,Alameda County,"63,808"
94558,Napa,Napa County,"63,657"
