ZIP,City,County,Population
80134,Parker,Douglas County,"80,302"
80013,Aurora,Arapahoe County,"73,248"
80015,Aurora,Arapahoe County,"72,316"
80016,Aurora,Arapahoe County,"68,268"
80634,Greeley,Weld County,"65,622"
80504,Longmont,Weld County,"63,451"
80022,Commerce City,Adams County,"61,452"
80219,Denver,Denver County,"59,523"
80229,Denver,Adams County,"55,092"
80525,Fort Collins,Larimer County,"54,211"
80020,Broomfield,Broomfield County,"54,201"
80631,Greeley,Weld County,"53,722"
80011,Aurora,Adams County,"53,695"
80012,Aurora,Arapahoe County,"51,052"
80538,Loveland,Larimer County,"50,110"
80918,Colorado Springs,El Paso County,"50,005"
80233,Denver,Adams County,"48,441"
80550,Windsor,Weld County,"46,456"
80239,Denver,Denver County,"44,956"
80126,Littleton,Douglas County,"44,882"
80602,Brighton,Adams County,"44,783"
80123,Littleton,Jefferson County,"44,549"
80537,Loveland,Larimer County,"44,425"
80526,Fort Collins,Larimer County,"44,326"
80501,Longmont,Boulder County,"44,147"
80401,Golden,Jefferson County,"43,811"
80127,Littleton,Jefferson County,"43,494"
80010,Aurora,Arapahoe County,"42,439"
80601,Brighton,Adams County,"42,127"
80249,Denver,Denver County,"41,590"
80916,Colorado Springs,El Paso County,"41,104"
80017,Aurora,Arapahoe County,"40,584"
80524,Fort Collins,Larimer County,"40,030"
80221,Denver,Adams County,"39,718"
80014,Aurora,Arapahoe County,"39,496"
80210,Denver,Denver County,"39,113"
80516,Erie,Weld County,"39,048"
80521,Fort Collins,Larimer County,"38,776"
80104,Castle Rock,Douglas County,"38,479"
80211,Denver,Denver County,"38,177"
80906,Colorado Springs,El Paso County,"37,502"
80220,Denver,Denver County,"37,203"
80920,Colorado Springs,El Paso County,"36,923"
80138,Parker,Douglas County,"36,895"
80112,Englewood,Arapahoe County,"36,816"
80108,Castle Rock,Douglas County,"36,730"
80128,Littleton,Jefferson County,"36,712"
80021,Broomfield,Jefferson County,"36,555"
80003,Arvada,Jefferson County,"35,976"
80231,Denver,Denver County,"35,883"
80503,Longmont,Boulder County,"35,846"
81007,Pueblo,Pueblo County,"35,690"
80031,Westminster,Adams County,"35,584"
80909,Colorado Springs,El Paso County,"35,486"
80204,Denver,Denver County,"35,318"
80228,Denver,Jefferson County,"34,942"
80227,Denver,Jefferson County,"34,907"
80260,Denver,Adams County,"34,677"
80205,Denver,Denver County,"34,571"
80027,Louisville,Boulder County,"34,127"
80241,Thornton,Adams County,"34,082"
80831,Peyton,El Paso County,"33,912"
80004,Arvada,Jefferson County,"33,700"
80911,Colorado Springs,El Paso County,"33,027"
80026,Lafayette,Boulder County,"32,701"
81005,Pueblo,Pueblo County,"32,441"
81504,Grand Junction,Mesa County,"32,376"
81212,Canon City,Fremont County,"32,292"
80122,Littleton,Arapahoe County,"32,195"
80923,Colorado Springs,El Paso County,"31,772"
80226,Denver,Jefferson County,"31,573"
80111,Englewood,Arapahoe County,"31,561"
80910,Colorado Springs,El Paso County,"31,368"
80817,Fountain,El Paso County,"31,241"
81001,Pueblo,Pueblo County,"31,197"
80238,Denver,Denver County,"30,575"
80922,Colorado Springs,El Paso County,"30,453"
80917,Colorado Springs,El Paso County,"30,398"
80129,Littleton,Douglas County,"30,223"
80132,Monument,El Paso County,"30,073"
81301,Durango,La Plata County,"29,774"
80247,Denver,Denver County,"29,760"
80120,Littleton,Arapahoe County,"29,725"
80302,Boulder,Boulder County,"29,569"
80234,Denver,Adams County,"29,356"
80005,Arvada,Jefferson County,"28,459"
80109,Castle Rock,Douglas County,"28,400"
