ZIP,City,County,Population
06902,Stamford,Western Connecticut Planning Region,"73,392"
06010,Bristol,Naugatuck Valley Planning Region,"61,684"
06810,Danbury,Western Connecticut Planning Region,"55,833"
06516,West Haven,South Central Connecticut Planning Region,"55,351"
06511,New Haven,South Central Connecticut Planning Region,"54,730"
06606,Bridgeport,Greater Bridgeport Planning Region,"49,308"
06457,Middletown,Lower Connecticut River Valley Planning Region,"46,720"
06492,Wallingford,South Central Connecticut Planning Region,"44,498"
06484,Shelton,Naugatuck Valley Planning Region,"41,889"
06082,Enfield,Capitol Planning Region,"41,090"
06513,New Haven,South Central Connecticut Planning Region,"38,888"
06460,Milford,South Central Connecticut Planning Region,"37,649"
06611,Trumbull,Greater Bridgeport Planning Region,"37,281"
06360,Norwich,Southeastern Connecticut Planning Region,"37,216"
06053,New Britain,Capitol Planning Region,"36,774"
06824,Fairfield,Greater Bridgeport Planning Region,"36,716"
06106,Hartford,Capitol Planning Region,"36,322"
06040,Manchester,Capitol Planning Region,"35,813"
06450,Meriden,South Central Connecticut Planning Region,"35,694"
06614,Stratford,Greater Bridgeport Planning Region,"35,654"
06790,Torrington,Northwest Hills Planning Region,"35,566"
06489,Southington,Capitol Planning Region,"32,706"
06854,Norwalk,Western Connecticut Planning Region,"32,118"
06770,Naugatuck,Naugatuck Valley Planning Region,"31,823"
06604,Bridgeport,Greater Bridgeport Planning Region,"31,771"
06704,Waterbury,Naugatuck Valley Planning Region,"31,713"
06811,Danbury,Western Connecticut Planning Region,"31,228"
06111,Newington,Capitol Planning Region,"30,896"
06066,Vernon Rockville,Capitol Planning Region,"30,577"
06033,Glastonbury,Capitol Planning Region,"29,921"
06340,Groton,Southeastern Connecticut Planning Region,"29,863"
06095,Windsor,Capitol Planning Region,"29,670"
06708,Waterbury,Naugatuck Valley Planning Region,"29,594"
06051,New Britain,Capitol Planning Region,"29,548"
06410,Cheshire,Naugatuck Valley Planning Region,"28,904"
06512,East Haven,South Central Connecticut Planning Region,"28,830"
06405,Branford,South Central Connecticut Planning Region,"28,217"
06851,Norwalk,Western Connecticut Planning Region,"27,865"
06320,New London,Southeastern Connecticut Planning Region,"27,703"
06880,Westport,Western Connecticut Planning Region,"27,583"
06118,East Hartford,Capitol Planning Region,"27,419"
06109,Wethersfield,Capitol Planning Region,"27,250"
06776,New Milford,Western Connecticut Planning Region,"27,010"
06074,South Windsor,Capitol Planning Region,"26,907"
06514,Hamden,South Central Connecticut Planning Region,"26,803"
06114,Hartford,Capitol Planning Region,"26,458"
06605,Bridgeport,Greater Bridgeport Planning Region,"25,929"
06705,Waterbury,Naugatuck Valley Planning Region,"25,266"
06877,Ridgefield,Western Connecticut Planning Region,"25,110"
06830,Greenwich,Western Connecticut Planning Region,"24,880"
06451,Meriden,South Central Connecticut Planning Region,"24,851"
06473,North Haven,South Central Connecticut Planning Region,"24,743"
06042,Manchester,Capitol Planning Region,"23,822"
06108,East Hartford,Capitol Planning Region,"23,499"
06112,Hartford,Capitol Planning Region,"22,333"
06437,Guilford,South Central Connecticut Planning Region,"22,067"
06610,Bridgeport,Greater Bridgeport Planning Region,"22,020"
06825,Fairfield,Greater Bridgeport Planning Region,"21,982"
06820,Darien,Western Connecticut Planning Region,"21,936"
06002,Bloomfield,Capitol Planning Region,"21,865"
06067,Rocky Hill,Capitol Planning Region,"20,872"
06840,New Canaan,Western Connecticut Planning Region,"20,870"
06801,Bethel,Western Connecticut Planning Region,"20,796"
06905,Stamford,Western Connecticut Planning Region,"20,725"
06518,Hamden,South Central Connecticut Planning Region,"20,126"
06488,Southbury,Naugatuck Valley Planning Region,"20,071"
06107,West Hartford,Capitol Planning Region,"19,891"
06850,Norwalk,Western Connecticut Planning Region,"19,692"
06226,Willimantic,Southeastern Connecticut Planning Region,"19,344"
06401,Ansonia,Naugatuck Valley Planning Region,"19,315"
06105,Hartford,Capitol Planning Region,"19,174"
06037,Berlin,Capitol Planning Region,"19,173"
06001,Avon,Capitol Planning Region,"19,153"
06032,Farmington,Capitol Planning Region,"19,135"
06515,New Haven,South Central Connecticut Planning Region,"19,006"
06468,Monroe,Greater Bridgeport Planning Region,"18,949"
06897,Wilton,Western Connecticut Planning Region,"18,777"
06804,Brookfield,Western Connecticut Planning Region,"17,908"
06443,Madison,South Central Connecticut Planning Region,"17,657"
06062,Plainville,Capitol Planning Region,"17,555"
06615,Stratford,Greater Bridgeport Planning Region,"17,136"
06483,Seymour,Naugatuck Valley Planning Region,"16,889"
06029,Ellington,Capitol Planning Region,"16,238"
06117,West Hartford,Capitol Planning Region,"16,116"
06716,Wolcott,Naugatuck Valley Planning Region,"16,113"
06415,Colchester,Southeastern Connecticut Planning Region,"16,038"
06385,Waterford,Southeastern Connecticut Planning Region,"15,966"
06351,Jewett City,Southeastern Connecticut Planning Region,"15,760"
06519,New Haven,South Central Connecticut Planning Region,"15,605"
06470,Newtown,Western Connecticut Planning Region,"15,593"
06706,Waterbury,Naugatuck Valley Planning Region,"15,551"
06070,Simsbury,Capitol Planning Region,"15,254"
06831,Greenwich,Western Connecticut Planning Region,"15,210"
06461,Milford,South Central Connecticut Planning Region,"15,035"
06084,Tolland,Capitol Planning Region,"14,823"
06119,West Hartford,Capitol Planning Region,"14,793"
06416,Cromwell,Lower Connecticut River Valley Planning Region,"14,334"
06477,Orange,South Central Connecticut Planning Region,"14,315"
06517,Hamden,South Central Connecticut Planning Region,"14,221"
06903,Stamford,Western Connecticut Planning Region,"14,010"
06120,Hartford,Capitol Planning Region,"13,926"
06795,Watertown,Naugatuck Valley Planning Region,"13,889"
06812,New Fairfield,Western Connecticut Planning Region,"13,584"
06413,Clinton,Lower Connecticut River Valley Planning Region,"13,377"
06478,Oxford,Naugatuck Valley Planning Region,"12,991"
06424,East Hampton,Lower Connecticut River Valley Planning Region,"12,751"
06110,West Hartford,Capitol Planning Region,"12,641"
06096,Windsor Locks,Capitol Planning Region,"12,579"
06238,Coventry,Capitol Planning Region,"12,326"
06418,Derby,Naugatuck Valley Planning Region,"12,205"
06355,Mystic,Southeastern Connecticut Planning Region,"12,173"
06608,Bridgeport,Greater Bridgeport Planning Region,"12,146"
06482,Sandy Hook,Western Connecticut Planning Region,"12,000"
06076,Stafford Springs,Capitol Planning Region,"11,953"
06268,Storrs Mansfield,Capitol Planning Region,"11,772"
06357,Niantic,Southeastern Connecticut Planning Region,"11,332"
06239,Danielson,Northeastern Connecticut Planning Region,"11,185"
06901,Stamford,Western Connecticut Planning Region,"11,037"
06071,Somers,Capitol Planning Region,"10,723"
06475,Old Saybrook,Lower Connecticut River Valley Planning Region,"10,575"
