ZIP,City,County,Population
19720,New Castle,New Castle County,"62,392"
19702,Newark,New Castle County,"55,683"
19709,Middletown,New Castle County,"53,234"
19711,Newark,New Castle County,"49,432"
19701,Bear,New Castle County,"42,984"
19805,Wilmington,New Castle County,"41,402"
19808,Wilmington,New Castle County,"39,082"
19904,Dover,Kent County,"38,818"
19901,Dover,Kent County,"37,763"
19966,Millsboro,Sussex County,"35,884"
19958,Lewes,Sussex County,"31,938"
19713,Newark,New Castle County,"30,747"
19977,Smyrna,Kent County,"27,704"
19973,Seaford,Sussex County,"26,834"
19810,Wilmington,New Castle County,"26,530"
19802,Wilmington,New Castle County,"26,051"
19963,Milford,Sussex County,"23,500"
19803,Wilmington,New Castle County,"22,279"
19947,Georgetown,Sussex County,"20,760"
19804,Wilmington,New Castle County,"18,779"
19707,Hockessin,New Castle County,"17,376"
19801,Wilmington,New Castle County,"16,327"
19956,Laurel,Sussex County,"16,327"
19968,Milton,Sussex County,"15,486"
19703,Claymont,New Castle County,"15,460"
19971,Rehoboth Beach,Sussex County,"14,886"
19809,Wilmington,New Castle County,"14,311"
19734,Townsend,New Castle County,"14,214"
19934,Camden Wyoming,Kent County,"14,061"
19962,Magnolia,Kent County,"13,770"
19943,Felton,Kent County,"13,410"
19952,Harrington,Kent County,"10,908"
19975,Selbyville,Sussex County,"10,862"
19933,Bridgeville,Sussex County,"10,597"
19806,Wilmington,New Castle County,"9,777"
19945,Frankford,Sussex County,"9,640"
19938,Clayton,Kent County,"9,561"
19970,Ocean View,Sussex County,"8,524"
19950,Greenwood,Sussex County,"7,918"
19807,Wilmington,New Castle County,"7,815"
19940,Delmar,Sussex County,"7,540"
19939,Dagsboro,Sussex County,"7,490"
19960,Lincoln,Sussex County,"6,774"
19717,Newark,New Castle County,"6,036"
19946,Frederica,Kent County,"5,603"
19953,Hartly,Kent County,"5,255"
19941,Ellendale,Sussex County,"3,435"
19930,Bethany Beach,Sussex County,"3,014"
19967,Millville,Sussex County,"2,376"
19951,Harbeson,Sussex County,"2,245"
19706,Delaware City,New Castle County,"2,038"
19954,Houston,Kent County,"1,427"
19964,Marydel,Kent County,"1,418"
19731,Port Penn,New Castle County,655
19944,Fenwick Island,Sussex County,636
19979,Viola,Kent County,619
19730,Odessa,New Castle County,425
19931,Bethel,Sussex County,375
19955,Kenton,Kent County,352
19980,Woodside,Kent County,268
19733,Saint Georges,New Castle County,186
19936,Cheswold,Kent County,152
19736,Yorklyn,New Castle County,127
19732,Rockland,New Castle County,89
19902,Dover Afb,Kent County,44
19735,Winterthur,New Castle County,0
19716,Newark,New Castle County,0
19710,Montchanin,New Castle County,0
