ZIP,City,County,Population
34787,Winter Garden,Orange County,"101,441"
34953,Port Saint Lucie,St. Lucie County,"86,875"
33025,Hollywood,Broward County,"76,967"
33411,West Palm Beach,Palm Beach County,"76,863"
33024,Hollywood,Broward County,"76,585"
32259,Saint Johns,St. Johns County,"75,016"
33311,Fort Lauderdale,Broward County,"74,898"
33647,Tampa,Hillsborough County,"74,844"
32218,Jacksonville,Duval County,"72,905"
33023,Hollywood,Broward County,"72,344"
33033,Homestead,Miami-Dade County,"71,458"
33012,Hialeah,Miami-Dade County,"71,017"
33157,Miami,Miami-Dade County,"70,596"
34711,Clermont,Lake County,"70,317"
33186,Miami,Miami-Dade County,"69,757"
32828,Orlando,Orange County,"69,202"
33015,Hialeah,Miami-Dade County,"68,891"
33178,Miami,Miami-Dade County,"67,789"
32822,Orlando,Orange County,"67,081"
34744,Kissimmee,Osceola County,"66,582"
32210,Jacksonville,Duval County,"65,729"
33463,Lake Worth,Palm Beach County,"65,478"
33032,Homestead,Miami-Dade County,"65,132"
33027,Hollywood,Broward County,"65,116"
33064,Pompano Beach,Broward County,"64,563"
32765,Oviedo,Seminole County,"64,477"
32825,Orlando,Orange County,"63,698"
32244,Jacksonville,Duval County,"63,592"
33313,Fort Lauderdale,Broward County,"62,807"
32771,Sanford,Seminole County,"62,606"
32246,Jacksonville,Duval County,"62,562"
33511,Brandon,Hillsborough County,"62,138"
33578,Riverview,Hillsborough County,"60,651"
34746,Kissimmee,Osceola County,"60,595"
32808,Orlando,Orange County,"60,203"
33414,Wellington,Palm Beach County,"60,184"
32703,Apopka,Orange County,"59,269"
32818,Orlando,Orange County,"59,114"
33177,Miami,Miami-Dade County,"59,056"
32068,Middleburg,Clay County,"58,983"
33065,Coral Springs,Broward County,"58,916"
33142,Miami,Miami-Dade County,"58,908"
34741,Kissimmee,Osceola County,"58,716"
33467,Lake Worth,Palm Beach County,"58,411"
32824,Orlando,Orange County,"58,368"
32256,Jacksonville,Duval County,"58,192"
33018,Hialeah,Miami-Dade County,"57,921"
33125,Miami,Miami-Dade County,"56,897"
32164,Palm Coast,Flagler County,"56,658"
34221,Palmetto,Manatee County,"56,208"
32225,Jacksonville,Duval County,"55,905"
33458,Jupiter,Palm Beach County,"55,512"
33063,Pompano Beach,Broward County,"55,466"
32162,The Villages,Sumter County,"55,424"
33810,Lakeland,Polk County,"55,137"
33161,Miami,Miami-Dade County,"54,814"
32174,Ormond Beach,Volusia County,"54,783"
33196,Miami,Miami-Dade County,"54,668"
33415,West Palm Beach,Palm Beach County,"54,581"
32608,Gainesville,Alachua County,"54,566"
