ZIP,City,County,Population
30044,Lawrenceville,Gwinnett County,"101,475"
30024,Suwanee,Gwinnett County,"88,067"
30043,Lawrenceville,Gwinnett County,"87,929"
30040,Cumming,Forsyth County,"82,532"
30349,Atlanta,Fulton County,"79,872"
30052,Loganville,Walton County,"79,811"
30041,Cumming,Forsyth County,"77,664"
30096,Duluth,Gwinnett County,"71,732"
30127,Powder Springs,Cobb County,"71,626"
30281,Stockbridge,Henry County,"71,603"
30047,Lilburn,Gwinnett County,"70,121"
30188,Woodstock,Cherokee County,"69,518"
30004,Alpharetta,Fulton County,"68,707"
30135,Douglasville,Douglas County,"66,800"
30253,Mcdonough,Henry County,"64,779"
30022,Alpharetta,Fulton County,"64,546"
30016,Covington,Newton County,"62,968"
30083,Stone Mountain,DeKalb County,"62,724"
30058,Lithonia,DeKalb County,"62,614"
30101,Acworth,Cobb County,"62,593"
30331,Atlanta,Fulton County,"62,567"
30114,Canton,Cherokee County,"62,391"
30062,Marietta,Cobb County,"62,284"
30066,Marietta,Cobb County,"61,761"
30263,Newnan,Coweta County,"61,695"
30906,Augusta,Richmond County,"60,423"
30519,Buford,Gwinnett County,"59,997"
30144,Kennesaw,Cobb County,"59,661"
30318,Atlanta,Fulton County,"59,609"
31907,Columbus,Muscogee County,"59,110"
31088,Warner Robins,Houston County,"58,585"
30518,Buford,Gwinnett County,"57,912"
31419,Savannah,Chatham County,"57,077"
30075,Roswell,Fulton County,"56,263"
30809,Evans,Columbia County,"54,743"
30115,Canton,Cherokee County,"53,687"
30157,Dallas,Paulding County,"53,445"
30132,Dallas,Paulding County,"53,348"
30080,Smyrna,Cobb County,"53,316"
30721,Dalton,Whitfield County,"53,060"
30039,Snellville,Gwinnett County,"52,783"
30813,Grovetown,Columbia County,"52,466"
30228,Hampton,Henry County,"52,402"
30064,Marietta,Cobb County,"52,125"
30019,Dacula,Gwinnett County,"51,162"
30213,Fairburn,Fulton County,"50,621"
30236,Jonesboro,Clayton County,"50,089"
30458,Statesboro,Bulloch County,"49,717"
30252,Mcdonough,Henry County,"49,554"
30680,Winder,Barrow County,"48,388"
30606,Athens,Clarke County,"47,865"
30134,Douglasville,Douglas County,"47,580"
30067,Marietta,Cobb County,"47,271"
30907,Augusta,Columbia County,"46,975"
30097,Duluth,Fulton County,"46,876"
30909,Augusta,Richmond County,"46,501"
30093,Norcross,Gwinnett County,"46,410"
30076,Roswell,Fulton County,"46,054"
30319,Atlanta,DeKalb County,"45,985"
30506,Gainesville,Hall County,"45,612"
30102,Acworth,Cherokee County,"45,319"
30045,Lawrenceville,Gwinnett County,"44,993"
30152,Kennesaw,Cobb County,"44,977"
30120,Cartersville,Bartow County,"44,896"
30701,Calhoun,Gordon County,"44,691"
30736,Ringgold,Catoosa County,"44,499"
30815,Hephzibah,Richmond County,"44,109"
30038,Lithonia,DeKalb County,"43,776"
30238,Jonesboro,Clayton County,"43,191"
30180,Villa Rica,Carroll County,"43,013"
