ZIP,City,County,Population
96706,Ewa Beach,Honolulu County,"83,692"
96797,Waipahu,Honolulu County,"72,435"
96744,Kaneohe,Honolulu County,"57,620"
96817,Honolulu,Honolulu County,"55,492"
96818,Honolulu,Honolulu County,"54,822"
96789,Mililani,Honolulu County,"54,278"
96720,Hilo,Hawaii County,"52,979"
96816,Honolulu,Honolulu County,"50,883"
96734,Kailua,Honolulu County,"50,670"
96819,Honolulu,Honolulu County,"50,345"
96792,Waianae,Honolulu County,"49,618"
96707,Kapolei,Honolulu County,"48,807"
96822,Honolulu,Honolulu County,"43,747"
96786,Wahiawa,Honolulu County,"40,658"
96740,Kailua Kona,Hawaii County,"39,338"
96701,Aiea,Honolulu County,"39,200"
96782,Pearl City,Honolulu County,"37,475"
96793,Wailuku,Maui County,"32,739"
96825,Honolulu,Honolulu County,"30,913"
96826,Honolulu,Honolulu County,"29,174"
96753,Kihei,Maui County,"28,003"
96815,Honolulu,Honolulu County,"27,530"
96732,Kahului,Maui County,"27,444"
96813,Honolulu,Honolulu County,"26,766"
96814,Honolulu,Honolulu County,"24,689"
96761,Lahaina,Maui County,"20,952"
96821,Honolulu,Honolulu County,"20,053"
96746,Kapaa,Kauai County,"19,329"
96749,Keaau,Hawaii County,"19,132"
96768,Makawao,Maui County,"18,569"
96766,Lihue,Kauai County,"17,526"
96778,Pahoa,Hawaii County,"15,262"
96743,Kamuela,Hawaii County,"12,422"
96708,Haiku,Maui County,"11,152"
96795,Waimanalo,Honolulu County,"10,675"
96790,Kula,Maui County,"9,756"
96712,Haleiwa,Honolulu County,"8,204"
96738,Waikoloa,Hawaii County,"7,862"
96771,Mountain View,Hawaii County,"7,793"
96704,Captain Cook,Hawaii County,"7,261"
96756,Koloa,Kauai County,"6,448"
96791,Waialua,Honolulu County,"6,377"
96741,Kalaheo,Kauai County,"6,183"
96762,Laie,Honolulu County,"5,710"
96748,Kaunakakai,Maui County,"5,609"
96725,Holualoa,Hawaii County,"5,009"
96860,Jbphh,Honolulu County,"4,710"
96717,Hauula,Honolulu County,"4,580"
96727,Honokaa,Hawaii County,"4,577"
96785,Volcano,Hawaii County,"4,433"
96737,Ocean View,Hawaii County,"4,380"
96754,Kilauea,Kauai County,"4,272"
96760,Kurtistown,Hawaii County,"4,261"
96857,Schofield Barracks,Honolulu County,"4,039"
96752,Kekaha,Kauai County,"3,809"
96755,Kapaau,Hawaii County,"3,677"
96763,Lanai City,Maui County,"3,443"
96703,Anahola,Kauai County,"3,366"
96750,Kealakekua,Hawaii County,"3,203"
96731,Kahuku,Honolulu County,"2,782"
96779,Paia,Maui County,"2,780"
96716,Hanapepe,Kauai County,"2,650"
96705,Eleele,Kauai County,"2,522"
96772,Naalehu,Hawaii County,"2,470"
96722,Princeville,Kauai County,"2,377"
96863,Mcbh Kaneohe Bay,Honolulu County,"2,302"
96783,Pepeekeo,Hawaii County,"2,251"
96781,Papaikou,Hawaii County,"2,073"
96719,Hawi,Hawaii County,"1,974"
96796,Waimea,Kauai County,"1,840"
96777,Pahala,Hawaii County,"1,822"
96729,Hoolehua,Maui County,"1,670"
96714,Hanalei,Kauai County,"1,592"
96730,Kaaawa,Honolulu County,"1,478"
96776,Paauilo,Hawaii County,"1,355"
96713,Hana,Maui County,"1,023"
96747,Kaumakani,Kauai County,"1,012"
96757,Kualapuu,Maui County,881
96774,Ookala,Hawaii County,579
96848,Honolulu,Honolulu County,573
96853,Jbphh,Honolulu County,526
96764,Laupahoehoe,Hawaii County,516
96765,Lawai,Kauai County,513
96770,Maunaloa,Maui County,501
96780,Papaaloa,Hawaii County,400
96728,Honomu,Hawaii County,376
96858,Fort Shafter,Honolulu County,323
96769,Makaweli,Kauai County,292
96710,Hakalau,Hawaii County,162
96726,Honaunau,Hawaii County,107
96773,Ninole,Hawaii County,95
96742,Kalaupapa,Kalawao County,67
96850,Honolulu,Honolulu County,0
96759,Kunia,Honolulu County,0
96859,Tripler Army Medical Center,Honolulu County,0
96820,Honolulu,Honolulu County,0
96751,Kealia,Kauai County,0
