ZIP,City,County,Population
60629,Chicago,Cook County,"108,324"
60618,Chicago,Cook County,"91,901"
60632,Chicago,Cook County,"89,107"
60647,Chicago,Cook County,"84,749"
60639,Chicago,Cook County,"84,240"
60804,Cicero,Cook County,"82,797"
60623,Chicago,Cook County,"81,277"
60608,Chicago,Cook County,"80,737"
60625,Chicago,Cook County,"76,760"
60617,Chicago,Cook County,"74,790"
60634,Chicago,Cook County,"73,885"
60085,Waukegan,Lake County,"72,341"
60657,Chicago,Cook County,"71,904"
60614,Chicago,Cook County,"70,693"
60641,Chicago,Cook County,"68,894"
60640,Chicago,Cook County,"65,445"
60620,Chicago,Cook County,"64,871"
60402,Berwyn,Cook County,"63,721"
60651,Chicago,Cook County,"63,335"
60073,Round Lake,Lake County,"62,868"
60609,Chicago,Cook County,"62,028"
60016,Des Plaines,Cook County,"60,898"
60628,Chicago,Cook County,"60,431"
60619,Chicago,Cook County,"59,503"
60505,Aurora,Kane County,"57,199"
60638,Chicago,Cook County,"57,074"
60453,Oak Lawn,Cook County,"56,861"
60056,Mount Prospect,Cook County,"55,818"
60630,Chicago,Cook County,"55,486"
60622,Chicago,Cook County,"54,609"
60616,Chicago,Cook County,"54,308"
61761,Normal,McLean County,"54,075"
60637,Chicago,Cook County,"52,721"
60148,Lombard,DuPage County,"52,596"
60613,Chicago,Cook County,"52,244"
60411,Chicago Heights,Cook County,"52,175"
60440,Bolingbrook,Will County,"51,940"
60004,Arlington Heights,Cook County,"51,835"
60120,Elgin,Cook County,"51,225"
60506,Aurora,Kane County,"50,038"
60626,Chicago,Cook County,"49,662"
60014,Crystal Lake,McHenry County,"48,590"
60123,Elgin,Kane County,"48,379"
60645,Chicago,Cook County,"48,208"
60435,Joliet,Will County,"48,167"
60649,Chicago,Cook County,"48,056"
60586,Plainfield,Will County,"47,834"
60126,Elmhurst,DuPage County,"47,516"
60644,Chicago,Cook County,"47,210"
60564,Naperville,Will County,"47,016"
60643,Chicago,Cook County,"45,942"
60010,Barrington,Cook County,"45,747"
60610,Chicago,Cook County,"44,883"
60047,Lake Zurich,Lake County,"44,240"
61265,Moline,Rock Island County,"43,748"
60201,Evanston,Cook County,"43,744"
60543,Oswego,Kendall County,"43,047"
60615,Chicago,Cook County,"42,975"
60089,Buffalo Grove,Lake County,"42,872"
60660,Chicago,Cook County,"42,724"
60115,Dekalb,DeKalb County,"42,536"
60188,Carol Stream,DuPage County,"42,307"
60540,Naperville,DuPage County,"42,252"
60659,Chicago,Cook County,"41,728"
60025,Glenview,Cook County,"41,689"
60446,Romeoville,Will County,"41,672"
60462,Orland Park,Cook County,"41,456"
60062,Northbrook,Cook County,"41,406"
60103,Bartlett,DuPage County,"41,382"
60707,Elmwood Park,Cook County,"41,116"
60652,Chicago,Cook County,"41,074"
61820,Champaign,Champaign County,"40,599"
61554,Pekin,Tazewell County,"40,577"
60565,Naperville,DuPage County,"40,483"
62040,Granite City,Madison County,"40,404"
60193,Schaumburg,Cook County,"40,146"
62704,Springfield,Sangamon County,"40,046"
60504,Aurora,DuPage County,"39,358"
60563,Naperville,DuPage County,"39,330"
60107,Streamwood,Cook County,"38,886"
60137,Glen Ellyn,DuPage County,"38,696"
60068,Park Ridge,Cook County,"38,650"
60110,Carpentersville,Kane County,"38,558"
60090,Wheeling,Cook County,"38,298"
60067,Palatine,Cook County,"38,204"
60611,Chicago,Cook County,"37,705"
60101,Addison,DuPage County,"37,448"
60451,New Lenox,Will County,"37,361"
60060,Mundelein,Lake County,"37,344"
61704,Bloomington,McLean County,"37,279"
60031,Gurnee,Lake County,"37,107"
60441,Lockport,Will County,"36,844"
61201,Rock Island,Rock Island County,"36,766"
60133,Hanover Park,DuPage County,"36,732"
60074,Palatine,Cook County,"36,460"
60605,Chicago,Cook County,"36,210"
60477,Tinley Park,Cook County,"35,976"
62269,O'Fallon,St. Clair County,"35,923"
60030,Grayslake,Lake County,"35,792"
60612,Chicago,Cook County,"35,744"
62025,Edwardsville,Madison County,"35,520"
60624,Chicago,Cook County,"35,263"
61701,Bloomington,McLean County,"35,136"
60409,Calumet City,Cook County,"35,100"
60046,Lake Villa,Lake County,"34,613"
60185,West Chicago,DuPage County,"33,703"
61008,Belvidere,Boone County,"33,582"
60169,Hoffman Estates,Cook County,"33,401"
60653,Chicago,Cook County,"33,383"
60517,Woodridge,DuPage County,"33,156"
60098,Woodstock,McHenry County,"33,130"
60901,Kankakee,Kankakee County,"33,128"
60076,Skokie,Cook County,"32,953"
60302,Oak Park,Cook County,"32,862"
60139,Glendale Heights,DuPage County,"32,848"
60423,Frankfort,Will County,"32,836"
62521,Decatur,Macon County,"32,665"
60007,Elk Grove Village,Cook County,"32,592"
61832,Danville,Vermilion County,"32,450"
60607,Chicago,Cook County,"32,392"
60202,Evanston,Cook County,"32,341"
60102,Algonquin,McHenry County,"32,286"
60636,Chicago,Cook County,"32,198"
60050,Mchenry,McHenry County,"31,781"
62234,Collinsville,Madison County,"31,648"
60174,Saint Charles,Kane County,"31,402"
60525,La Grange,Cook County,"31,324"
60189,Wheaton,DuPage County,"31,042"
62702,Springfield,Sangamon County,"31,033"
60631,Chicago,Cook County,"30,924"
60099,Zion,Lake County,"30,881"
61107,Rockford,Winnebago County,"30,765"
62301,Quincy,Adams County,"30,746"
61401,Galesburg,Knox County,"30,580"
60538,Montgomery,Kendall County,"30,514"
62526,Decatur,Macon County,"30,483"
60035,Highland Park,Lake County,"30,398"
61108,Rockford,Winnebago County,"30,355"
60181,Villa Park,DuPage County,"30,346"
60714,Niles,Cook County,"30,305"
62221,Belleville,St. Clair County,"29,875"
60515,Downers Grove,DuPage County,"29,762"
60134,Geneva,Kane County,"29,743"
60142,Huntley,McHenry County,"29,692"
62002,Alton,Madison County,"29,543"
60656,Chicago,Cook County,"29,538"
60048,Libertyville,Lake County,"29,124"
60510,Batavia,Kane County,"29,038"
60527,Willowbrook,DuPage County,"29,028"
61032,Freeport,Stephenson County,"29,020"
62703,Springfield,Sangamon County,"28,922"
60005,Arlington Heights,Cook County,"28,843"
60187,Wheaton,DuPage County,"28,815"
60438,Lansing,Cook County,"28,806"
60156,Lake In The Hills,McHenry County,"28,800"
60560,Yorkville,Kendall County,"28,795"
60646,Chicago,Cook County,"28,780"
60459,Burbank,Cook County,"28,739"
60914,Bourbonnais,Kankakee County,"28,673"
61821,Champaign,Champaign County,"28,611"
60532,Lisle,DuPage County,"28,547"
60077,Skokie,Cook County,"28,501"
60655,Chicago,Cook County,"28,434"
61604,Peoria,Peoria County,"28,313"
60621,Chicago,Cook County,"28,301"
62226,Belleville,St. Clair County,"28,255"
60015,Deerfield,Lake County,"28,096"
60516,Downers Grove,DuPage County,"28,062"
60061,Vernon Hills,Lake County,"27,974"
60018,Des Plaines,Cook County,"27,952"
61801,Urbana,Champaign County,"27,891"
62959,Marion,Williamson County,"27,793"
61822,Champaign,Champaign County,"27,642"
61614,Peoria,Peoria County,"27,370"
60091,Wilmette,Cook County,"27,333"
60544,Plainfield,Will County,"27,306"
60087,Waukegan,Lake County,"27,293"
60431,Joliet,Will County,"27,138"
61109,Rockford,Winnebago County,"26,768"
60452,Oak Forest,Cook County,"26,739"
60013,Cary,McHenry County,"26,694"
60487,Tinley Park,Cook County,"26,043"
60585,Plainfield,Will County,"25,960"
60654,Chicago,Cook County,"25,755"
60175,Saint Charles,Kane County,"25,553"
62650,Jacksonville,Morgan County,"24,821"
60827,Riverdale,Cook County,"24,713"
60051,Mchenry,McHenry County,"24,621"
60053,Morton Grove,Cook County,"24,619"
60160,Melrose Park,Cook County,"24,549"
60124,Elgin,Kane County,"24,487"
61571,Washington,Tazewell County,"24,470"
60177,South Elgin,Kane County,"24,416"
60448,Mokena,Will County,"24,405"
60467,Orland Park,Cook County,"24,398"
60706,Harwood Heights,Cook County,"24,260"
60002,Antioch,Lake County,"24,232"
60559,Westmont,DuPage County,"24,231"
60439,Lemont,Cook County,"24,192"
60172,Roselle,DuPage County,"24,141"
61611,East Peoria,Tazewell County,"24,040"
60426,Harvey,Cook County,"23,906"
61350,Ottawa,LaSalle County,"23,713"
60108,Bloomingdale,DuPage County,"23,604"
61615,Peoria,Peoria County,"23,523"
60406,Blue Island,Cook County,"23,327"
60502,Aurora,DuPage County,"23,308"
61244,East Moline,Rock Island County,"23,308"
61111,Loves Park,Winnebago County,"23,286"
60153,Maywood,Cook County,"23,201"
60561,Darien,DuPage County,"23,069"
62901,Carbondale,Jackson County,"22,946"
61103,Rockford,Winnebago County,"22,869"
60008,Rolling Meadows,Cook County,"22,800"
62864,Mount Vernon,Jefferson County,"22,779"
60491,Homer Glen,Will County,"22,757"
60140,Hampshire,Kane County,"22,689"
61115,Machesney Park,Winnebago County,"22,364"
61021,Dixon,Lee County,"22,308"
60178,Sycamore,DeKalb County,"22,224"
60490,Bolingbrook,Will County,"22,156"
60803,Alsip,Cook County,"22,106"
60642,Chicago,Cook County,"21,789"
60466,Park Forest,Cook County,"21,461"
