ZIP,City,County,Population
47906,West Lafayette,Tippecanoe County,"75,198"
46307,Crown Point,Lake County,"71,673"
46143,Greenwood,Johnson County,"61,803"
46227,Indianapolis,Marion County,"57,587"
46032,Carmel,Hamilton County,"51,515"
47130,Jeffersonville,Clark County,"50,514"
47150,New Albany,Floyd County,"49,144"
46074,Westfield,Hamilton County,"48,901"
46037,Fishers,Hamilton County,"48,713"
47201,Columbus,Bartholomew County,"47,900"
46060,Noblesville,Hamilton County,"47,610"
46226,Indianapolis,Marion County,"47,099"
46350,La Porte,LaPorte County,"44,763"
47374,Richmond,Wayne County,"44,615"
46112,Brownsburg,Hendricks County,"44,220"
46360,Michigan City,LaPorte County,"43,817"
46038,Fishers,Hamilton County,"43,754"
47909,Lafayette,Tippecanoe County,"43,561"
46140,Greenfield,Hancock County,"43,511"
46237,Indianapolis,Marion County,"43,473"
46123,Avon,Hendricks County,"43,353"
46514,Elkhart,Elkhart County,"42,389"
47905,Lafayette,Tippecanoe County,"42,219"
46383,Valparaiso,Porter County,"42,183"
46062,Noblesville,Hamilton County,"41,060"
46033,Carmel,Hamilton County,"40,881"
46385,Valparaiso,Porter County,"40,856"
46254,Indianapolis,Marion County,"40,674"
47401,Bloomington,Monroe County,"40,607"
46368,Portage,Porter County,"40,301"
46224,Indianapolis,Marion County,"40,228"
47630,Newburgh,Warrick County,"39,818"
46410,Merrillville,Lake County,"39,243"
46222,Indianapolis,Marion County,"38,887"
46219,Indianapolis,Marion County,"38,855"
46168,Plainfield,Hendricks County,"38,826"
46835,Fort Wayne,Allen County,"38,166"
46901,Kokomo,Howard County,"38,082"
46203,Indianapolis,Marion County,"37,758"
46902,Kokomo,Howard County,"37,017"
46220,Indianapolis,Marion County,"36,952"
46217,Indianapolis,Marion County,"36,917"
46077,Zionsville,Boone County,"36,760"
46235,Indianapolis,Marion County,"36,317"
46260,Indianapolis,Marion County,"35,707"
46131,Franklin,Johnson County,"34,647"
47403,Bloomington,Monroe County,"34,396"
46142,Greenwood,Johnson County,"34,348"
46239,Indianapolis,Marion County,"33,931"
46526,Goshen,Elkhart County,"33,668"
47802,Terre Haute,Vigo County,"33,135"
