ZIP,City,County,Population
50023,Ankeny,Polk County,"46,306"
50613,Cedar Falls,Black Hawk County,"43,867"
52001,Dubuque,Dubuque County,"43,101"
52404,Cedar Rapids,Linn County,"42,958"
52402,Cedar Rapids,Linn County,"42,938"
52302,Marion,Linn County,"42,706"
52722,Bettendorf,Scott County,"41,264"
51503,Council Bluffs,Pottawattamie County,"37,972"
50266,West Des Moines,Dallas County,"37,523"
50317,Des Moines,Polk County,"36,548"
52240,Iowa City,Johnson County,"35,074"
50315,Des Moines,Polk County,"34,816"
51501,Council Bluffs,Pottawattamie County,"34,618"
50010,Ames,Story County,"33,799"
50265,West Des Moines,Polk County,"33,488"
50014,Ames,Story County,"32,958"
50322,Urbandale,Polk County,"31,931"
50158,Marshalltown,Marshall County,"31,396"
50310,Des Moines,Polk County,"31,177"
52501,Ottumwa,Wapello County,"30,371"
50021,Ankeny,Polk County,"30,283"
50701,Waterloo,Black Hawk County,"30,232"
50263,Waukee,Dallas County,"29,611"
52761,Muscatine,Muscatine County,"29,474"
50501,Fort Dodge,Webster County,"28,823"
50401,Mason City,Cerro Gordo County,"28,703"
51106,Sioux City,Woodbury County,"28,592"
52601,Burlington,Des Moines County,"27,341"
52806,Davenport,Scott County,"26,871"
52804,Davenport,Scott County,"26,835"
52405,Cedar Rapids,Linn County,"26,526"
52732,Clinton,Clinton County,"25,880"
50320,Des Moines,Polk County,"24,807"
50131,Johnston,Polk County,"24,583"
52241,Coralville,Johnson County,"23,250"
51104,Sioux City,Woodbury County,"23,197"
52317,North Liberty,Johnson County,"23,097"
50009,Altoona,Polk County,"22,886"
52245,Iowa City,Johnson County,"22,853"
52803,Davenport,Scott County,"22,742"
52403,Cedar Rapids,Linn County,"22,551"
52246,Iowa City,Johnson County,"22,308"
50702,Waterloo,Black Hawk County,"20,882"
50208,Newton,Jasper County,"20,595"
50125,Indianola,Warren County,"20,121"
50325,Clive,Polk County,"19,012"
50703,Waterloo,Black Hawk County,"17,952"
50313,Des Moines,Polk County,"17,440"
50323,Urbandale,Dallas County,"17,265"
52002,Dubuque,Dubuque County,"17,005"
51103,Sioux City,Woodbury County,"16,895"
50111,Grimes,Polk County,"16,865"
50211,Norwalk,Warren County,"16,835"
50316,Des Moines,Polk County,"16,710"
50036,Boone,Boone County,"16,154"
50312,Des Moines,Polk County,"15,802"
52807,Davenport,Scott County,"15,617"
52577,Oskaloosa,Mahaska County,"14,585"
50311,Des Moines,Polk County,"14,574"
50219,Pella,Marion County,"14,416"
52003,Dubuque,Dubuque County,"13,796"
50588,Storm Lake,Buena Vista County,"13,431"
50327,Pleasant Hill,Polk County,"13,177"
51031,Le Mars,Plymouth County,"12,808"
52101,Decorah,Winneshiek County,"12,706"
52627,Fort Madison,Lee County,"12,677"
50677,Waverly,Bremer County,"12,673"
51301,Spencer,Clay County,"12,638"
52641,Mount Pleasant,Henry County,"12,428"
51401,Carroll,Carroll County,"11,990"
50112,Grinnell,Poweshiek County,"11,862"
52632,Keokuk,Lee County,"11,711"
52556,Fairfield,Jefferson County,"11,448"
50138,Knoxville,Marion County,"11,117"
50314,Des Moines,Polk County,"10,438"
51105,Sioux City,Woodbury County,"10,415"
50035,Bondurant,Polk County,"10,131"
50309,Des Moines,Polk County,"10,110"
51250,Sioux Center,Sioux County,"9,970"
50003,Adel,Dallas County,"9,948"
51442,Denison,Crawford County,"9,692"
52748,Eldridge,Scott County,"9,594"
52802,Davenport,Scott County,"9,466"
50616,Charles City,Floyd County,"9,358"
52353,Washington,Washington County,"9,241"
50220,Perry,Dallas County,"9,216"
50428,Clear Lake,Cerro Gordo County,"9,071"
50801,Creston,Union County,"9,034"
50273,Winterset,Madison County,"8,950"
50595,Webster City,Hamilton County,"8,885"
51534,Glenwood,Mills County,"8,874"
51360,Spirit Lake,Dickinson County,"8,653"
52205,Anamosa,Jones County,"8,627"
50022,Atlantic,Cass County,"8,526"
50644,Independence,Buchanan County,"8,419"
52411,Cedar Rapids,Linn County,"8,342"
50201,Nevada,Story County,"8,320"
52057,Manchester,Delaware County,"8,193"
52544,Centerville,Appanoose County,"8,121"
52060,Maquoketa,Jackson County,"8,007"
50321,Des Moines,Polk County,"7,900"
50707,Evansdale,Black Hawk County,"7,784"
50226,Polk City,Polk County,"7,759"
52349,Vinton,Benton County,"7,737"
50213,Osceola,Clarke County,"7,489"
51041,Orange City,Sioux County,"7,324"
52333,Solon,Johnson County,"7,295"
52742,De Witt,Clinton County,"7,284"
50511,Algona,Kossuth County,"7,240"
52537,Bloomfield,Davis County,"7,069"
51566,Red Oak,Montgomery County,"7,010"
52233,Hiawatha,Linn County,"7,000"
51334,Estherville,Emmet County,"6,960"
50047,Carlisle,Warren County,"6,690"
51632,Clarinda,Page County,"6,624"
50662,Oelwein,Fayette County,"6,576"
52310,Monticello,Jones County,"6,450"
51201,Sheldon,Sioux County,"6,430"
50049,Chariton,Lucas County,"6,414"
51537,Harlan,Shelby County,"6,382"
50126,Iowa Falls,Hardin County,"6,368"
51012,Cherokee,Cherokee County,"6,311"
52314,Mount Vernon,Linn County,"6,200"
52340,Tiffin,Johnson County,"6,128"
52531,Albia,Monroe County,"6,036"
52753,Le Claire,Scott County,"6,020"
51108,Sioux City,Plymouth County,"5,960"
52247,Kalona,Johnson County,"5,914"
52172,Waukon,Allamakee County,"5,877"
52136,Cresco,Howard County,"5,840"
50436,Forest City,Winnebago County,"5,771"
50548,Humboldt,Humboldt County,"5,722"
50659,New Hampton,Chickasaw County,"5,688"
51601,Shenandoah,Page County,"5,629"
52040,Dyersville,Delaware County,"5,584"
51054,Sergeant Bluff,Woodbury County,"5,583"
50441,Hampton,Franklin County,"5,450"
52031,Bellevue,Jackson County,"5,403"
52772,Tipton,Cedar County,"5,348"
52068,Peosta,Dubuque County,"5,280"
50461,Osage,Mitchell County,"5,228"
52726,Blue Grass,Scott County,"5,160"
