ZIP,City,County,Population
66062,Olathe,Johnson County,"78,841"
66061,Olathe,Johnson County,"67,967"
67401,Salina,Saline County,"50,217"
66502,Manhattan,Riley County,"43,693"
67212,Wichita,Sedgwick County,"42,902"
66048,Leavenworth,Leavenworth County,"35,717"
67846,Garden City,Finney County,"34,475"
66212,Overland Park,Johnson County,"32,917"
67217,Wichita,Sedgwick County,"32,603"
66614,Topeka,Shawnee County,"32,538"
66049,Lawrence,Douglas County,"32,015"
67801,Dodge City,Ford County,"30,967"
67203,Wichita,Sedgwick County,"30,710"
66213,Overland Park,Johnson County,"30,539"
67037,Derby,Sedgwick County,"30,278"
66102,Kansas City,Wyandotte County,"29,443"
66044,Lawrence,Douglas County,"28,820"
66109,Kansas City,Wyandotte County,"28,355"
66801,Emporia,Lyon County,"27,585"
67207,Wichita,Sedgwick County,"27,414"
66104,Kansas City,Wyandotte County,"27,033"
66030,Gardner,Johnson County,"26,328"
66215,Lenexa,Johnson County,"25,960"
66441,Junction City,Geary County,"25,828"
66221,Overland Park,Johnson County,"25,550"
66762,Pittsburg,Crawford County,"24,907"
66216,Shawnee,Johnson County,"24,881"
66223,Overland Park,Johnson County,"24,747"
67501,Hutchinson,Reno County,"24,605"
67601,Hays,Ellis County,"24,330"
66106,Kansas City,Wyandotte County,"24,245"
67218,Wichita,Sedgwick County,"23,383"
67216,Wichita,Sedgwick County,"23,254"
67502,Hutchinson,Reno County,"23,099"
66604,Topeka,Shawnee County,"23,006"
67204,Wichita,Sedgwick County,"22,538"
67226,Wichita,Sedgwick County,"21,596"
66208,Prairie Village,Johnson County,"21,576"
67114,Newton,Harvey County,"20,919"
67901,Liberal,Seward County,"20,902"
66605,Topeka,Shawnee County,"20,891"
66047,Lawrence,Douglas County,"20,473"
66209,Leawood,Johnson County,"20,413"
66210,Overland Park,Johnson County,"20,347"
67205,Wichita,Sedgwick County,"20,098"
67213,Wichita,Sedgwick County,"19,699"
66046,Lawrence,Douglas County,"19,658"
66203,Shawnee,Johnson County,"19,441"
67211,Wichita,Sedgwick County,"19,105"
67208,Wichita,Sedgwick County,"18,950"
66204,Overland Park,Johnson County,"17,948"
67530,Great Bend,Barton County,"17,798"
66202,Mission,Johnson County,"17,408"
67206,Wichita,Sedgwick County,"17,380"
66503,Manhattan,Riley County,"17,273"
67002,Andover,Butler County,"17,221"
67042,El Dorado,Butler County,"16,978"
66442,Fort Riley,Riley County,"16,890"
67460,Mcpherson,McPherson County,"16,348"
66067,Ottawa,Franklin County,"16,330"
67220,Wichita,Sedgwick County,"16,270"
66226,Shawnee,Johnson County,"16,219"
66207,Overland Park,Johnson County,"15,739"
67214,Wichita,Sedgwick County,"15,243"
67005,Arkansas City,Cowley County,"15,073"
67235,Wichita,Sedgwick County,"14,958"
67156,Winfield,Cowley County,"14,513"
67060,Haysville,Sedgwick County,"14,125"
66205,Mission,Johnson County,"14,032"
67010,Augusta,Butler County,"13,947"
66219,Lenexa,Johnson County,"13,519"
67209,Wichita,Sedgwick County,"13,289"
66002,Atchison,Atchison County,"13,276"
66083,Spring Hill,Miami County,"13,011"
67301,Independence,Montgomery County,"12,953"
66112,Kansas City,Wyandotte County,"12,881"
66103,Kansas City,Wyandotte County,"12,730"
66224,Overland Park,Johnson County,"12,683"
67219,Wichita,Sedgwick County,"12,586"
66101,Kansas City,Wyandotte County,"12,556"
66071,Paola,Miami County,"12,400"
66214,Overland Park,Johnson County,"12,351"
66206,Leawood,Johnson County,"12,153"
67230,Wichita,Sedgwick County,"11,981"
67357,Parsons,Labette County,"11,853"
66701,Fort Scott,Bourbon County,"11,503"
66085,Stilwell,Johnson County,"11,486"
66043,Lansing,Leavenworth County,"11,056"
66086,Tonganoxie,Leavenworth County,"10,940"
67337,Coffeyville,Montgomery County,"10,890"
67147,Valley Center,Sedgwick County,"10,792"
66720,Chanute,Neosho County,"10,631"
