ZIP,City,County,Population
40475,Richmond,Madison County,"65,961"
42101,Bowling Green,Warren County,"65,421"
41042,Florence,Boone County,"57,634"
42701,Elizabethtown,Hardin County,"53,987"
40324,Georgetown,Scott County,"53,406"
40601,Frankfort,Franklin County,"51,893"
40509,Lexington,Fayette County,"47,036"
40356,Nicholasville,Jessamine County,"45,849"
42301,Owensboro,Daviess County,"45,445"
40214,Louisville,Jefferson County,"45,405"
40216,Louisville,Jefferson County,"44,047"
40299,Louisville,Jefferson County,"42,207"
42303,Owensboro,Daviess County,"42,119"
42104,Bowling Green,Warren County,"42,076"
42240,Hopkinsville,Christian County,"41,415"
40229,Louisville,Jefferson County,"41,299"
40291,Louisville,Jefferson County,"41,222"
41017,Ft Mitchell,Kenton County,"40,719"
40219,Louisville,Jefferson County,"39,909"
40245,Louisville,Jefferson County,"39,835"
40165,Shepherdsville,Bullitt County,"38,403"
40272,Louisville,Jefferson County,"38,289"
40511,Lexington,Fayette County,"38,176"
42420,Henderson,Henderson County,"38,133"
40515,Lexington,Fayette County,"37,384"
40391,Winchester,Clark County,"36,796"
40517,Lexington,Fayette County,"35,656"
40220,Louisville,Jefferson County,"35,078"
40218,Louisville,Jefferson County,"33,736"
41051,Independence,Kenton County,"33,054"
40065,Shelbyville,Shelby County,"32,160"
42141,Glasgow,Barren County,"31,506"
42071,Murray,Calloway County,"30,981"
42001,Paducah,McCracken County,"30,856"
40241,Louisville,Jefferson County,"30,696"
40004,Bardstown,Nelson County,"30,601"
40701,Corbin,Whitley County,"30,526"
42003,Paducah,McCracken County,"29,672"
41018,Erlanger,Kenton County,"28,940"
40207,Louisville,Jefferson County,"28,903"
40403,Berea,Madison County,"27,607"
40503,Lexington,Fayette County,"27,451"
42431,Madisonville,Hopkins County,"27,207"
41011,Covington,Kenton County,"26,981"
40258,Louisville,Jefferson County,"26,841"
42718,Campbellsville,Taylor County,"26,768"
40031,La Grange,Oldham County,"26,259"
40502,Lexington,Fayette County,"26,122"
40422,Danville,Boyle County,"25,950"
40504,Lexington,Fayette County,"25,816"
41005,Burlington,Boone County,"25,718"
40505,Lexington,Fayette County,"25,594"
42503,Somerset,Pulaski County,"25,321"
41091,Union,Boone County,"25,244"
40383,Versailles,Woodford County,"24,793"
40205,Louisville,Jefferson County,"24,664"
40342,Lawrenceburg,Anderson County,"23,963"
42066,Mayfield,Graves County,"23,917"
40508,Lexington,Fayette County,"23,756"
41501,Pikeville,Pike County,"23,754"
40047,Mount Washington,Bullitt County,"23,662"
40160,Radcliff,Hardin County,"23,624"
40741,London,Laurel County,"23,397"
40014,Crestwood,Oldham County,"23,101"
40223,Louisville,Jefferson County,"22,798"
40353,Mount Sterling,Montgomery County,"22,725"
40351,Morehead,Rowan County,"22,322"
42103,Bowling Green,Warren County,"21,911"
40222,Louisville,Jefferson County,"21,470"
40330,Harrodsburg,Mercer County,"21,250"
40059,Prospect,Oldham County,"20,892"
41015,Latonia,Kenton County,"20,823"
41102,Ashland,Boyd County,"20,621"
40215,Louisville,Jefferson County,"20,532"
40211,Louisville,Jefferson County,"20,407"
40206,Louisville,Jefferson County,"20,161"
40744,London,Laurel County,"20,137"
42025,Benton,Marshall County,"19,941"
41071,Newport,Campbell County,"19,680"
42134,Franklin,Simpson County,"19,380"
41001,Alexandria,Campbell County,"19,323"
41101,Ashland,Boyd County,"19,189"
42223,Fort Campbell,Montgomery County,"19,006"
42633,Monticello,Wayne County,"18,606"
40361,Paris,Bourbon County,"18,361"
40769,Williamsburg,Whitley County,"18,218"
42501,Somerset,Pulaski County,"18,214"
40228,Louisville,Jefferson County,"18,085"
40203,Louisville,Jefferson County,"17,742"
42164,Scottsville,Allen County,"17,673"
41701,Hazard,Perry County,"17,453"
40962,Manchester,Clay County,"17,310"
41075,Fort Thomas,Campbell County,"17,240"
40071,Taylorsville,Spencer County,"17,239"
41076,Newport,Campbell County,"17,158"
40514,Lexington,Fayette County,"16,961"
42754,Leitchfield,Grayson County,"16,918"
41031,Cynthiana,Harrison County,"16,624"
42728,Columbia,Adair County,"16,412"
41048,Hebron,Boone County,"16,211"
40213,Louisville,Jefferson County,"16,054"
42276,Russellville,Logan County,"16,044"
40175,Vine Grove,Meade County,"15,718"
40208,Louisville,Jefferson County,"15,605"
40212,Louisville,Jefferson County,"14,661"
41094,Walton,Boone County,"14,486"
40444,Lancaster,Garrard County,"14,276"
40204,Louisville,Jefferson County,"14,034"
40210,Louisville,Jefferson County,"13,518"
42211,Cadiz,Trigg County,"13,475"
42642,Russell Springs,Russell County,"13,459"
41056,Maysville,Mason County,"13,445"
41143,Grayson,Carter County,"13,242"
40108,Brandenburg,Meade County,"12,821"
40336,Irvine,Estill County,"12,718"
41230,Louisa,Lawrence County,"12,638"
41164,Olive Hill,Carter County,"12,574"
40484,Stanford,Lincoln County,"12,331"
40243,Louisville,Jefferson County,"12,002"
40033,Lebanon,Marion County,"11,923"
40217,Louisville,Jefferson County,"11,663"
40965,Middlesboro,Bell County,"11,561"
42345,Greenville,Muhlenberg County,"11,440"
41035,Dry Ridge,Grant County,"11,415"
40242,Louisville,Jefferson County,"11,168"
41653,Prestonsburg,Floyd County,"11,103"
40513,Lexington,Fayette County,"11,032"
40906,Barbourville,Knox County,"10,813"
41472,West Liberty,Morgan County,"10,792"
40118,Fairdale,Jefferson County,"10,697"
41339,Jackson,Breathitt County,"10,590"
42445,Princeton,Caldwell County,"10,533"
41465,Salyersville,Magoffin County,"10,048"
42262,Oak Grove,Christian County,"9,665"
42261,Morgantown,Butler County,"9,641"
42330,Central City,Muhlenberg County,"9,367"
42748,Hodgenville,Larue County,"9,365"
42743,Greensburg,Green County,"9,342"
42539,Liberty,Casey County,"9,249"
42320,Beaver Dam,Ohio County,"9,128"
41144,Greenup,Greenup County,"9,064"
41129,Catlettsburg,Boyd County,"9,010"
42602,Albany,Clinton County,"8,948"
40121,Fort Knox,Hardin County,"8,836"
40456,Mount Vernon,Rockcastle County,"8,370"
40977,Pineville,Bell County,"8,367"
42167,Tompkinsville,Monroe County,"8,172"
42064,Marion,Crittenden County,"8,098"
41139,Flatwoods,Greenup County,"8,085"
40069,Springfield,Washington County,"8,015"
40447,McKee,Jackson County,"8,014"
41097,Williamstown,Grant County,"7,801"
41041,Flemingsburg,Fleming County,"7,750"
41008,Carrollton,Carroll County,"7,698"
40311,Carlisle,Nicholas County,"7,672"
40360,Owingsville,Bath County,"7,595"
40390,Wilmore,Jessamine County,"7,429"
41014,Covington,Kenton County,"7,392"
42129,Edmonton,Metcalfe County,"7,302"
40202,Louisville,Jefferson County,"7,261"
42765,Munfordville,Hart County,"7,149"
40380,Stanton,Powell County,"7,100"
42437,Morganfield,Union County,"7,064"
41040,Falmouth,Pendleton County,"7,040"
41858,Whitesburg,Letcher County,"7,031"
42127,Cave City,Barren County,"7,030"
40359,Owenton,Owen County,"6,989"
41179,Vanceburg,Lewis County,"6,908"
42376,Utica,Daviess County,"6,886"
40023,Fisherville,Jefferson County,"6,870"
42171,Smiths Grove,Warren County,"6,723"
40013,Coxs Creek,Nelson County,"6,670"
41240,Paintsville,Johnson County,"6,408"
40067,Simpsonville,Shelby County,"6,365"
41311,Beattyville,Lee County,"6,331"
42038,Eddyville,Lyon County,"6,282"
40162,Rineyville,Hardin County,"6,180"
41030,Crittenden,Grant County,"6,162"
40312,Clay City,Powell County,"5,994"
40026,Goshen,Oldham County,"5,975"
42717,Burkesville,Cumberland County,"5,969"
41301,Campton,Wolfe County,"5,953"
42220,Elkton,Todd County,"5,947"
42206,Auburn,Logan County,"5,897"
42408,Dawson Springs,Hopkins County,"5,888"
42366,Philpot,Daviess County,"5,851"
42347,Hartford,Ohio County,"5,829"
40729,East Bernstadt,Laurel County,"5,799"
41016,Covington,Kenton County,"5,795"
40143,Hardinsburg,Breckinridge County,"5,756"
41074,Dayton,Campbell County,"5,756"
42553,Science Hill,Pulaski County,"5,649"
41073,Bellevue,Campbell County,"5,636"
41169,Russell,Greenup County,"5,560"
42029,Calvert City,Marshall County,"5,552"
41175,South Shore,Greenup County,"5,542"
42544,Nancy,Pulaski County,"5,520"
42122,Alvaton,Warren County,"5,513"
42567,Eubank,Pulaski County,"5,390"
42724,Cecilia,Hardin County,"5,345"
42053,Kevil,Ballard County,"5,307"
