ZIP,City,County,Population
70726,Denham Springs,Livingston Parish,"63,575"
70072,Marrero,Jefferson Parish,"55,693"
70301,Thibodaux,Lafourche Parish,"50,095"
70769,Prairieville,Ascension Parish,"49,278"
70737,Gonzales,Ascension Parish,"49,084"
70065,Kenner,Jefferson Parish,"48,936"
70816,Baton Rouge,East Baton Rouge Parish,"45,718"
71111,Bossier City,Bossier Parish,"43,925"
70810,Baton Rouge,East Baton Rouge Parish,"42,659"
70506,Lafayette,Lafayette Parish,"42,318"
70433,Covington,St. Tammany Parish,"41,876"
70508,Lafayette,Lafayette Parish,"40,592"
70605,Lake Charles,Calcasieu Parish,"40,482"
70056,Gretna,Jefferson Parish,"40,348"
70058,Harvey,Jefferson Parish,"39,578"
70003,Metairie,Jefferson Parish,"39,344"
70458,Slidell,St. Tammany Parish,"39,034"
70001,Metairie,Jefferson Parish,"38,950"
71203,Monroe,Ouachita Parish,"38,354"
70570,Opelousas,St. Landry Parish,"37,565"
70119,New Orleans,Orleans Parish,"37,253"
70560,New Iberia,Iberia Parish,"36,996"
70118,New Orleans,Orleans Parish,"36,072"
70808,Baton Rouge,East Baton Rouge Parish,"35,843"
71291,West Monroe,Ouachita Parish,"35,269"
70122,New Orleans,Orleans Parish,"35,253"
70461,Slidell,St. Tammany Parish,"34,808"
71360,Pineville,Rapides Parish,"34,653"
70454,Ponchatoula,Tangipahoa Parish,"34,564"
71106,Shreveport,Caddo Parish,"34,117"
71112,Bossier City,Bossier Parish,"33,587"
70817,Baton Rouge,East Baton Rouge Parish,"33,482"
71270,Ruston,Lincoln Parish,"32,885"
70068,La Place,St. John the Baptist Parish,"32,720"
70592,Youngsville,Lafayette Parish,"32,167"
70094,Westwego,Jefferson Parish,"32,130"
71107,Shreveport,Caddo Parish,"31,734"
70115,New Orleans,Orleans Parish,"31,183"
70815,Baton Rouge,East Baton Rouge Parish,"31,024"
70601,Lake Charles,Calcasieu Parish,"30,872"
70791,Zachary,East Baton Rouge Parish,"30,385"
70403,Hammond,Tangipahoa Parish,"30,173"
70364,Houma,Terrebonne Parish,"28,716"
70503,Lafayette,Lafayette Parish,"28,643"
70360,Houma,Terrebonne Parish,"28,574"
70806,Baton Rouge,East Baton Rouge Parish,"28,302"
70663,Sulphur,Calcasieu Parish,"27,799"
70123,New Orleans,Jefferson Parish,"27,386"
70607,Lake Charles,Calcasieu Parish,"27,080"
70126,New Orleans,Orleans Parish,"27,047"
70501,Lafayette,Lafayette Parish,"26,465"
70448,Mandeville,St. Tammany Parish,"26,338"
70517,Breaux Bridge,St. Martin Parish,"26,024"
70809,Baton Rouge,East Baton Rouge Parish,"25,732"
70117,New Orleans,Orleans Parish,"25,652"
71202,Monroe,Ouachita Parish,"25,444"
70634,Deridder,Beauregard Parish,"25,194"
70131,New Orleans,Orleans Parish,"25,151"
71303,Alexandria,Rapides Parish,"25,138"
70802,Baton Rouge,East Baton Rouge Parish,"25,118"
71457,Natchitoches,Natchitoches Parish,"24,370"
70471,Mandeville,St. Tammany Parish,"24,199"
70363,Houma,Terrebonne Parish,"24,127"
70510,Abbeville,Vermilion Parish,"24,107"
70005,Metairie,Jefferson Parish,"24,088"
70785,Walker,Livingston Parish,"23,921"
70820,Baton Rouge,East Baton Rouge Parish,"23,377"
70805,Baton Rouge,East Baton Rouge Parish,"23,288"
71118,Shreveport,Caddo Parish,"23,219"
70127,New Orleans,Orleans Parish,"23,107"
70128,New Orleans,Orleans Parish,"22,986"
71292,West Monroe,Ouachita Parish,"22,935"
70114,New Orleans,Orleans Parish,"22,659"
70043,Chalmette,St. Bernard Parish,"22,638"
70435,Covington,St. Tammany Parish,"22,475"
70611,Lake Charles,Calcasieu Parish,"22,124"
70706,Denham Springs,Livingston Parish,"21,833"
71201,Monroe,Ouachita Parish,"21,782"
70124,New Orleans,Orleans Parish,"21,778"
70460,Slidell,St. Tammany Parish,"21,669"
71446,Leesville,Vernon Parish,"21,275"
70401,Hammond,Tangipahoa Parish,"21,221"
71037,Haughton,Bossier Parish,"21,192"
70380,Morgan City,Assumption Parish,"20,529"
71220,Bastrop,Morehouse Parish,"20,398"
70520,Carencro,Lafayette Parish,"20,390"
71105,Shreveport,Caddo Parish,"20,179"
70563,New Iberia,Iberia Parish,"20,165"
70507,Lafayette,Lafayette Parish,"20,096"
70002,Metairie,Jefferson Parish,"19,426"
70438,Franklinton,Washington Parish,"19,349"
70586,Ville Platte,Evangeline Parish,"19,320"
70582,Saint Martinville,St. Martin Parish,"19,209"
70535,Eunice,Acadia Parish,"18,466"
71108,Shreveport,Caddo Parish,"18,072"
70447,Madisonville,St. Tammany Parish,"17,897"
70125,New Orleans,Orleans Parish,"17,821"
71055,Minden,Webster Parish,"17,772"
70062,Kenner,Jefferson Parish,"17,771"
70427,Bogalusa,Washington Parish,"17,596"
70714,Baker,East Baton Rouge Parish,"17,433"
71109,Shreveport,Caddo Parish,"17,412"
70518,Broussard,Lafayette Parish,"17,263"
71301,Alexandria,Rapides Parish,"17,035"
70037,Belle Chasse,Plaquemines Parish,"16,639"
70053,Gretna,Jefferson Parish,"16,621"
70526,Crowley,Acadia Parish,"16,566"
71006,Benton,Bossier Parish,"16,454"
70578,Rayne,Acadia Parish,"16,432"
70006,Metairie,Jefferson Parish,"16,170"
70422,Amite,Tangipahoa Parish,"15,399"
70807,Baton Rouge,East Baton Rouge Parish,"15,300"
