ZIP,City,County,Population
04401,Bangor,Penobscot County,"44,854"
04240,Lewiston,Androscoggin County,"38,324"
04103,Portland,Cumberland County,"32,024"
04901,Waterville,Kennebec County,"27,870"
04106,South Portland,Cumberland County,"27,019"
04330,Augusta,Kennebec County,"26,690"
04005,Biddeford,York County,"24,772"
04210,Auburn,Androscoggin County,"24,602"
04074,Scarborough,Cumberland County,"23,076"
04011,Brunswick,Cumberland County,"22,336"
04072,Saco,York County,"20,819"
04092,Westbrook,Cumberland County,"20,775"
04062,Windham,Cumberland County,"19,188"
04101,Portland,Cumberland County,"18,431"
04038,Gorham,Cumberland County,"18,300"
04073,Sanford,York County,"17,414"
04102,Portland,Cumberland County,"17,267"
04605,Ellsworth,Hancock County,"14,529"
04105,Falmouth,Cumberland County,"12,755"
04345,Gardiner,Kennebec County,"12,579"
04043,Kennebunk,York County,"11,820"
04090,Wells,York County,"11,713"
04530,Bath,Sagadahoc County,"11,275"
03909,York,York County,"10,943"
04938,Farmington,Franklin County,"10,542"
04730,Houlton,Aroostook County,"10,106"
04976,Skowhegan,Somerset County,"10,072"
04086,Topsham,Sagadahoc County,"9,706"
04107,Cape Elizabeth,Cumberland County,"9,656"
04412,Brewer,Penobscot County,"9,652"
04444,Hampden,Penobscot County,"9,371"
04468,Old Town,Penobscot County,"9,291"
04915,Belfast,Waldo County,"9,107"
04096,Yarmouth,Cumberland County,"9,053"
04736,Caribou,Aroostook County,"9,025"
04032,Freeport,Cumberland County,"8,802"
04769,Presque Isle,Aroostook County,"8,736"
04064,Old Orchard Beach,York County,"8,632"
04093,Buxton,York County,"8,512"
03904,Kittery,York County,"8,389"
04473,Orono,Penobscot County,"8,371"
03901,Berwick,York County,"8,175"
04039,Gray,Cumberland County,"8,102"
04046,Kennebunkport,York County,"8,102"
04084,Standish,Cumberland County,"7,900"
04002,Alfred,York County,"7,737"
04963,Oakland,Kennebec County,"7,524"
03908,South Berwick,York County,"7,431"
03903,Eliot,York County,"7,146"
04280,Sabattus,Androscoggin County,"7,040"
04841,Rockland,Knox County,"7,035"
04021,Cumberland Center,Cumberland County,"6,990"
04027,Lebanon,York County,"6,629"
04937,Fairfield,Somerset County,"6,358"
04270,Oxford,Oxford County,"6,284"
04364,Winthrop,Kennebec County,"6,191"
04274,Poland,Androscoggin County,"5,954"
04276,Rumford,Oxford County,"5,942"
04282,Turner,Androscoggin County,"5,891"
04457,Lincoln,Penobscot County,"5,823"
04260,New Gloucester,Cumberland County,"5,766"
04416,Bucksport,Hancock County,"5,497"
04009,Bridgton,Cumberland County,"5,478"
03906,North Berwick,York County,"5,368"
04281,South Paris,Oxford County,"5,317"
04572,Waldoboro,Lincoln County,"5,253"
04609,Bar Harbor,Hancock County,"5,244"
04843,Camden,Knox County,"5,242"
04268,Norway,Oxford County,"5,228"
04429,Holden,Hancock County,"5,008"
04426,Dover Foxcroft,Piscataquis County,"4,999"
04071,Raymond,Cumberland County,"4,971"
04252,Lisbon Falls,Androscoggin County,"4,968"
04864,Warren,Knox County,"4,932"
04042,Hollis Center,York County,"4,872"
04083,Springvale,York County,"4,833"
04250,Lisbon,Androscoggin County,"4,782"
04950,Madison,Somerset County,"4,782"
04743,Fort Kent,Aroostook County,"4,770"
04578,Wiscasset,Lincoln County,"4,709"
04239,Jay,Franklin County,"4,657"
04989,Vassalboro,Kennebec County,"4,592"
04358,South China,Kennebec County,"4,526"
04462,Millinocket,Piscataquis County,"4,464"
04236,Greene,Androscoggin County,"4,417"
04222,Durham,Androscoggin County,"4,262"
04930,Dexter,Penobscot County,"4,258"
04097,North Yarmouth,Cumberland County,"4,240"
04079,Harpswell,Cumberland County,"4,026"
04037,Fryeburg,Oxford County,"4,024"
04862,Union,Knox County,"4,023"
04049,Limington,York County,"4,017"
04849,Lincolnville,Waldo County,"4,017"
04957,Norridgewock,Somerset County,"4,006"
04055,Naples,Cumberland County,"3,985"
04294,Wilton,Franklin County,"3,982"
04967,Pittsfield,Somerset County,"3,930"
04474,Orrington,Penobscot County,"3,853"
04496,Winterport,Waldo County,"3,850"
04220,Buckfield,Oxford County,"3,717"
04015,Casco,Cumberland County,"3,696"
04350,Litchfield,Kennebec County,"3,680"
04856,Rockport,Knox County,"3,675"
04259,Monmouth,Kennebec County,"3,610"
04357,Richmond,Sagadahoc County,"3,566"
04469,Orono,Penobscot County,"3,531"
04348,Jefferson,Lincoln County,"3,484"
04048,Limerick,York County,"3,400"
04217,Bethel,Oxford County,"3,387"
04927,Clinton,Kennebec County,"3,385"
