ZIP,City,County,Population
02301,Brockton,Plymouth County,"68,969"
02148,Malden,Middlesex County,"65,906"
02360,Plymouth,Plymouth County,"63,689"
02169,Quincy,Norfolk County,"62,993"
02155,Medford,Middlesex County,"61,730"
02151,Revere,Suffolk County,"60,012"
02124,Dorchester Center,Suffolk County,"56,216"
01960,Peabody,Essex County,"54,474"
02780,Taunton,Bristol County,"53,461"
01844,Methuen,Essex County,"53,420"
01841,Lawrence,Essex County,"52,769"
01902,Lynn,Essex County,"50,066"
02149,Everett,Middlesex County,"50,045"
02703,Attleboro,Bristol County,"46,713"
02740,New Bedford,Bristol County,"46,281"
01201,Pittsfield,Berkshire County,"44,848"
01970,Salem,Essex County,"44,738"
01453,Leominster,Worcester County,"43,851"
02128,East Boston,Suffolk County,"43,345"
02135,Brighton,Suffolk County,"43,149"
01915,Beverly,Essex County,"41,994"
01801,Woburn,Middlesex County,"41,939"
01420,Fitchburg,Worcester County,"41,839"
01752,Marlborough,Middlesex County,"41,647"
01085,Westfield,Hampden County,"41,102"
02130,Jamaica Plain,Suffolk County,"40,055"
02139,Cambridge,Middlesex County,"40,033"
02150,Chelsea,Suffolk County,"39,908"
01604,Worcester,Worcester County,"39,812"
01702,Framingham,Middlesex County,"39,789"
02184,Braintree,Norfolk County,"38,899"
01545,Shrewsbury,Worcester County,"38,876"
02138,Cambridge,Middlesex County,"38,509"
01040,Holyoke,Hampden County,"37,813"
02136,Hyde Park,Suffolk County,"37,265"
01852,Lowell,Middlesex County,"37,144"
01760,Natick,Middlesex County,"36,782"
02127,South Boston,Suffolk County,"36,769"
02302,Brockton,Plymouth County,"36,417"
01810,Andover,Essex County,"35,648"
02472,Watertown,Middlesex County,"35,620"
02368,Randolph,Norfolk County,"34,912"
02125,Dorchester,Suffolk County,"33,662"
01851,Lowell,Middlesex County,"33,403"
02038,Franklin,Norfolk County,"33,154"
01826,Dracut,Middlesex County,"32,629"
01701,Framingham,Middlesex County,"32,618"
01845,North Andover,Essex County,"32,494"
02453,Waltham,Middlesex County,"31,591"
02062,Norwood,Norfolk County,"31,542"
02446,Brookline,Norfolk County,"31,310"
02131,Roslindale,Suffolk County,"31,151"
01109,Springfield,Hampden County,"31,124"
01876,Tewksbury,Middlesex County,"31,004"
02720,Fall River,Bristol County,"30,940"
01757,Milford,Worcester County,"30,609"
01605,Worcester,Worcester County,"30,579"
01610,Worcester,Worcester County,"30,444"
01020,Chicopee,Hampden County,"30,167"
01821,Billerica,Middlesex County,"30,143"
01854,Lowell,Middlesex County,"30,081"
01930,Gloucester,Essex County,"30,075"
02115,Boston,Suffolk County,"29,705"
02176,Melrose,Middlesex County,"29,650"
02072,Stoughton,Norfolk County,"29,225"
02760,North Attleboro,Bristol County,"29,177"
02121,Dorchester,Suffolk County,"29,040"
02118,Boston,Suffolk County,"28,946"
01906,Saugus,Essex County,"28,773"
01089,West Springfield,Hampden County,"28,772"
02186,Milton,Norfolk County,"28,735"
02474,Arlington,Middlesex County,"28,642"
01905,Lynn,Essex County,"28,221"
01923,Danvers,Essex County,"27,991"
01880,Wakefield,Middlesex County,"27,793"
02145,Somerville,Middlesex County,"27,495"
01843,Lawrence,Essex County,"27,445"
01108,Springfield,Hampden County,"27,405"
02119,Roxbury,Suffolk County,"27,377"
02478,Belmont,Middlesex County,"27,175"
01602,Worcester,Worcester County,"27,092"
01824,Chelmsford,Middlesex County,"26,650"
02126,Mattapan,Suffolk County,"26,583"
01830,Haverhill,Essex County,"26,530"
02721,Fall River,Bristol County,"26,521"
02132,West Roxbury,Suffolk County,"26,444"
01832,Haverhill,Essex County,"26,386"
01002,Amherst,Hampshire County,"26,370"
01803,Burlington,Middlesex County,"26,274"
02050,Marshfield,Plymouth County,"25,963"
02324,Bridgewater,Plymouth County,"25,704"
01867,Reading,Middlesex County,"25,612"
02143,Somerville,Middlesex County,"25,513"
02144,Somerville,Middlesex County,"25,448"
02026,Dedham,Norfolk County,"25,237"
02021,Canton,Norfolk County,"24,748"
01886,Westford,Middlesex County,"24,690"
02215,Boston,Suffolk County,"24,581"
02745,New Bedford,Bristol County,"24,519"
02346,Middleboro,Plymouth County,"24,505"
02043,Hingham,Plymouth County,"24,283"
02048,Mansfield,Bristol County,"23,931"
01720,Acton,Middlesex County,"23,526"
02122,Dorchester,Suffolk County,"23,479"
01890,Winchester,Middlesex County,"23,406"
02180,Stoneham,Middlesex County,"23,355"
01887,Wilmington,Middlesex County,"23,336"
01013,Chicopee,Hampden County,"23,284"
01104,Springfield,Hampden County,"23,209"
02467,Chestnut Hill,Norfolk County,"23,001"
01606,Worcester,Worcester County,"22,844"
02445,Brookline,Norfolk County,"22,560"
02747,North Dartmouth,Bristol County,"22,445"
01609,Worcester,Worcester County,"22,047"
02116,Boston,Suffolk County,"21,978"
01581,Westborough,Worcester County,"21,944"
02492,Needham,Norfolk County,"21,424"
02536,East Falmouth,Barnstable County,"21,328"
01440,Gardner,Worcester County,"21,276"
02140,Cambridge,Middlesex County,"21,204"
01904,Lynn,Essex County,"21,003"
01056,Ludlow,Hampden County,"20,904"
01603,Worcester,Worcester County,"20,868"
01945,Marblehead,Essex County,"20,470"
02171,Quincy,Norfolk County,"20,164"
01749,Hudson,Middlesex County,"20,077"
02129,Charlestown,Suffolk County,"20,032"
02190,South Weymouth,Norfolk County,"19,695"
01748,Hopkinton,Middlesex County,"19,358"
02081,Walpole,Norfolk County,"19,343"
01776,Sudbury,Middlesex County,"19,270"
02766,Norton,Bristol County,"19,240"
02066,Scituate,Plymouth County,"19,099"
01721,Ashland,Middlesex County,"18,873"
02170,Quincy,Norfolk County,"18,809"
02152,Winthrop,Suffolk County,"18,759"
01950,Newburyport,Essex County,"18,652"
02035,Foxboro,Norfolk County,"18,615"
02067,Sharon,Norfolk County,"18,538"
02724,Fall River,Bristol County,"18,505"
02459,Newton Center,Middlesex County,"18,449"
01742,Concord,Middlesex County,"18,448"
02359,Pembroke,Plymouth County,"18,382"
02421,Lexington,Middlesex County,"18,080"
01550,Southbridge,Worcester County,"17,928"
01301,Greenfield,Franklin County,"17,876"
01075,South Hadley,Hampshire County,"17,754"
01570,Webster,Worcester County,"17,748"
01850,Lowell,Middlesex County,"17,740"
01027,Easthampton,Hampshire County,"17,716"
02476,Arlington,Middlesex County,"17,708"
02370,Rockland,Plymouth County,"17,701"
02134,Allston,Suffolk County,"17,667"
02746,New Bedford,Bristol County,"17,531"
02481,Wellesley Hills,Norfolk County,"17,415"
02019,Bellingham,Norfolk County,"17,410"
01913,Amesbury,Essex County,"17,403"
02451,Waltham,Middlesex County,"17,393"
02777,Swansea,Bristol County,"17,359"
02723,Fall River,Bristol County,"17,067"
02351,Abington,Plymouth County,"17,053"
01520,Holden,Worcester County,"16,912"
02790,Westport,Bristol County,"16,901"
01501,Auburn,Worcester County,"16,877"
01060,Northampton,Hampshire County,"16,492"
01028,East Longmeadow,Hampden County,"16,321"
02090,Westwood,Norfolk County,"16,318"
01001,Agawam,Hampden County,"16,234"
02420,Lexington,Middlesex County,"16,215"
02332,Duxbury,Plymouth County,"16,185"
02188,Weymouth,Norfolk County,"16,179"
02601,Hyannis,Barnstable County,"16,071"
02726,Somerset,Bristol County,"16,041"
02719,Fairhaven,Bristol County,"15,903"
01106,Longmeadow,Hampden County,"15,853"
02452,Waltham,Middlesex County,"15,808"
