ZIP,City,County,Population
48197,Ypsilanti,Washtenaw County,"66,525"
48180,Taylor,Wayne County,"62,081"
48044,Macomb,Macomb County,"58,754"
48103,Ann Arbor,Washtenaw County,"55,054"
48187,Canton,Wayne County,"53,376"
48126,Dearborn,Wayne County,"51,997"
48439,Grand Blanc,Genesee County,"51,900"
48228,Detroit,Wayne County,"50,117"
48823,East Lansing,Ingham County,"50,034"
49424,Holland,Ottawa County,"49,810"
49201,Jackson,Jackson County,"49,107"
48185,Westland,Wayne County,"48,530"
48843,Howell,Livingston County,"48,014"
49009,Kalamazoo,Kalamazoo County,"47,971"
48219,Detroit,Wayne County,"47,208"
48066,Roseville,Macomb County,"47,123"
49423,Holland,Allegan County,"47,060"
48188,Canton,Wayne County,"45,665"
48235,Detroit,Wayne County,"45,600"
49442,Muskegon,Muskegon County,"44,766"
48307,Rochester,Oakland County,"44,714"
48111,Belleville,Wayne County,"44,709"
48038,Clinton Township,Macomb County,"44,422"
48104,Ann Arbor,Washtenaw County,"43,979"
48212,Hamtramck,Wayne County,"43,384"
48310,Sterling Heights,Macomb County,"43,354"
49508,Grand Rapids,Kent County,"42,720"
48858,Mount Pleasant,Isabella County,"42,226"
48183,Trenton,Wayne County,"41,765"
48221,Detroit,Wayne County,"41,392"
49221,Adrian,Lenawee County,"41,087"
49426,Hudsonville,Ottawa County,"40,523"
48047,New Baltimore,Macomb County,"40,302"
48227,Detroit,Wayne County,"40,302"
48170,Plymouth,Wayne County,"40,076"
49504,Grand Rapids,Kent County,"40,036"
48911,Lansing,Ingham County,"39,876"
48224,Detroit,Wayne County,"39,668"
48127,Dearborn Heights,Wayne County,"39,646"
49503,Grand Rapids,Kent County,"39,489"
49341,Rockford,Kent County,"39,409"
48060,Port Huron,St. Clair County,"39,342"
48430,Fenton,Livingston County,"39,309"
48146,Lincoln Park,Wayne County,"39,257"
48198,Ypsilanti,Washtenaw County,"39,244"
48706,Bay City,Bay County,"38,974"
49507,Grand Rapids,Kent County,"38,487"
48178,South Lyon,Oakland County,"37,789"
48105,Ann Arbor,Washtenaw County,"37,048"
48154,Livonia,Wayne County,"37,045"
48239,Redford,Wayne County,"36,976"
49441,Muskegon,Muskegon County,"36,779"
49120,Niles,Berrien County,"36,495"
49203,Jackson,Jackson County,"36,474"
48186,Westland,Wayne County,"35,103"
49548,Grand Rapids,Kent County,"34,777"
49546,Grand Rapids,Kent County,"34,721"
49506,Grand Rapids,Kent County,"34,673"
48124,Dearborn,Wayne County,"34,479"
48312,Sterling Heights,Macomb County,"34,401"
48205,Detroit,Wayne County,"34,187"
48642,Midland,Midland County,"34,039"
48313,Sterling Heights,Macomb County,"34,015"
48021,Eastpointe,Macomb County,"33,982"
49417,Grand Haven,Ottawa County,"33,878"
49855,Marquette,Marquette County,"33,876"
48042,Macomb,Macomb County,"33,875"
48423,Davison,Genesee County,"33,757"
48035,Clinton Township,Macomb County,"33,569"
48073,Royal Oak,Oakland County,"33,106"
48322,West Bloomfield,Oakland County,"32,885"
48910,Lansing,Ingham County,"32,800"
48234,Detroit,Wayne County,"32,760"
48640,Midland,Midland County,"32,492"
48917,Lansing,Eaton County,"32,483"
49505,Grand Rapids,Kent County,"32,426"
48174,Romulus,Wayne County,"32,211"
49418,Grandville,Kent County,"31,913"
48089,Warren,Macomb County,"31,853"
48601,Saginaw,Saginaw County,"31,601"
48236,Grosse Pointe,Wayne County,"31,435"
49525,Grand Rapids,Kent County,"30,887"
49024,Portage,Kalamazoo County,"30,823"
48091,Warren,Macomb County,"30,696"
48309,Rochester,Oakland County,"30,685"
48446,Lapeer,Lapeer County,"30,581"
48152,Livonia,Wayne County,"30,119"
49401,Allendale,Ottawa County,"29,674"
49022,Benton Harbor,Berrien County,"29,460"
48195,Southgate,Wayne County,"29,366"
48237,Oak Park,Oakland County,"29,318"
49464,Zeeland,Ottawa County,"28,914"
48316,Utica,Macomb County,"28,784"
48507,Flint,Genesee County,"28,723"
48315,Utica,Macomb County,"28,472"
48071,Madison Heights,Oakland County,"28,419"
48306,Rochester,Oakland County,"28,389"
49428,Jenison,Ottawa County,"28,209"
48162,Monroe,Monroe County,"28,156"
49509,Wyoming,Kent County,"28,152"
49519,Wyoming,Kent County,"27,965"
48101,Allen Park,Wayne County,"27,925"
49015,Battle Creek,Calhoun County,"27,765"
48603,Saginaw,Saginaw County,"27,757"
48108,Ann Arbor,Washtenaw County,"27,666"
48317,Utica,Macomb County,"27,565"
48867,Owosso,Shiawassee County,"27,500"
48092,Warren,Macomb County,"27,374"
48116,Brighton,Livingston County,"27,289"
48085,Troy,Oakland County,"27,231"
48209,Detroit,Wayne County,"27,184"
48602,Saginaw,Saginaw County,"27,127"
49315,Byron Center,Kent County,"27,091"
48135,Garden City,Wayne County,"26,739"
48210,Detroit,Wayne County,"26,722"
48150,Livonia,Wayne County,"26,687"
49006,Kalamazoo,Kalamazoo County,"26,507"
48336,Farmington,Oakland County,"26,432"
49316,Caledonia,Kent County,"26,427"
48433,Flushing,Genesee County,"26,384"
49444,Muskegon,Muskegon County,"26,372"
48161,Monroe,Monroe County,"26,304"
48371,Oxford,Oakland County,"25,972"
48906,Lansing,Clinton County,"25,901"
48340,Pontiac,Oakland County,"25,669"
48708,Bay City,Bay County,"25,635"
49686,Traverse City,Grand Traverse County,"25,492"
48141,Inkster,Wayne County,"25,428"
48076,Southfield,Oakland County,"25,405"
48335,Farmington,Oakland County,"25,077"
48168,Northville,Wayne County,"25,038"
48093,Warren,Macomb County,"25,014"
48067,Royal Oak,Oakland County,"24,868"
49036,Coldwater,Branch County,"24,826"
48238,Detroit,Wayne County,"24,731"
48329,Waterford,Oakland County,"24,715"
48167,Northville,Oakland County,"24,713"
48506,Flint,Genesee County,"24,712"
48348,Clarkston,Oakland County,"24,574"
48326,Auburn Hills,Oakland County,"24,514"
48192,Wyandotte,Wayne County,"24,489"
48382,Commerce Township,Oakland County,"24,479"
48328,Waterford,Oakland County,"24,478"
48504,Flint,Genesee County,"24,218"
48045,Harrison Township,Macomb County,"24,061"
48375,Novi,Oakland County,"24,029"
48390,Walled Lake,Oakland County,"23,939"
48134,Flat Rock,Wayne County,"23,935"
48864,Okemos,Ingham County,"23,901"
49085,Saint Joseph,Berrien County,"23,827"
48083,Troy,Oakland County,"23,771"
49534,Grand Rapids,Ottawa County,"23,719"
48176,Saline,Washtenaw County,"23,451"
48346,Clarkston,Oakland County,"23,167"
48088,Warren,Macomb County,"22,991"
48075,Southfield,Oakland County,"22,841"
49048,Kalamazoo,Kalamazoo County,"22,791"
48442,Holly,Oakland County,"22,788"
48223,Detroit,Wayne County,"22,622"
48036,Clinton Township,Macomb County,"22,538"
48503,Flint,Genesee County,"22,347"
48473,Swartz Creek,Genesee County,"22,339"
48125,Dearborn Heights,Wayne County,"22,125"
49601,Cadillac,Wexford County,"22,092"
49014,Battle Creek,Calhoun County,"21,980"
48842,Holt,Ingham County,"21,945"
49707,Alpena,Alpena County,"21,881"
48314,Sterling Heights,Macomb County,"21,803"
48009,Birmingham,Oakland County,"21,772"
48846,Ionia,Ionia County,"21,613"
48114,Brighton,Livingston County,"21,588"
49684,Traverse City,Leelanau County,"21,585"
48331,Farmington,Oakland County,"21,562"
48080,Saint Clair Shores,Macomb County,"21,561"
48220,Ferndale,Oakland County,"21,527"
49685,Traverse City,Grand Traverse County,"21,308"
49017,Battle Creek,Calhoun County,"21,295"
49445,Muskegon,Muskegon County,"21,289"
48420,Clio,Genesee County,"21,195"
48327,Waterford,Oakland County,"20,960"
49001,Kalamazoo,Kalamazoo County,"20,946"
48098,Troy,Oakland County,"20,936"
48207,Detroit,Wayne County,"20,848"
49735,Gaylord,Otsego County,"20,773"
48094,Washington,Macomb County,"20,736"
48204,Detroit,Wayne County,"20,696"
48813,Charlotte,Eaton County,"20,564"
49037,Battle Creek,Calhoun County,"20,550"
48081,Saint Clair Shores,Macomb County,"20,530"
