ZIP,City,County,Population
55044,Lakeville,Dakota County,"64,762"
55901,Rochester,Olmsted County,"58,495"
55106,Saint Paul,Ramsey County,"56,708"
55124,Saint Paul,Dakota County,"55,658"
55303,Anoka,Anoka County,"52,614"
56001,Mankato,Blue Earth County,"51,585"
55379,Shakopee,Scott County,"50,041"
55304,Andover,Anoka County,"49,737"
55337,Burnsville,Dakota County,"47,633"
55104,Saint Paul,Ramsey County,"45,762"
55330,Elk River,Sherburne County,"45,721"
55112,Saint Paul,Ramsey County,"45,346"
55117,Saint Paul,Ramsey County,"44,697"
55119,Saint Paul,Ramsey County,"44,567"
56560,Moorhead,Clay County,"44,405"
55125,Saint Paul,Washington County,"44,185"
55113,Saint Paul,Ramsey County,"40,819"
55016,Cottage Grove,Washington County,"40,695"
55369,Osseo,Hennepin County,"39,290"
55311,Maple Grove,Hennepin County,"38,472"
55407,Minneapolis,Hennepin County,"37,667"
55110,Saint Paul,Ramsey County,"37,305"
55024,Farmington,Dakota County,"37,287"
55423,Minneapolis,Hennepin County,"36,724"
55406,Minneapolis,Hennepin County,"36,581"
55082,Stillwater,Washington County,"36,277"
56301,Saint Cloud,Stearns County,"35,580"
55416,Minneapolis,Hennepin County,"35,015"
55414,Minneapolis,Hennepin County,"35,007"
56601,Bemidji,Beltrami County,"34,784"
55372,Prior Lake,Scott County,"34,772"
55433,Minneapolis,Anoka County,"34,463"
55449,Minneapolis,Anoka County,"34,443"
55129,Saint Paul,Washington County,"34,120"
55987,Winona,Winona County,"34,072"
55432,Minneapolis,Anoka County,"33,672"
55443,Minneapolis,Hennepin County,"33,660"
55109,Saint Paul,Ramsey County,"33,461"
55068,Rosemount,Dakota County,"33,119"
55434,Minneapolis,Anoka County,"33,029"
55428,Minneapolis,Hennepin County,"32,499"
55122,Saint Paul,Dakota County,"32,261"
55378,Savage,Scott County,"32,162"
56401,Brainerd,Crow Wing County,"31,841"
55408,Minneapolis,Hennepin County,"31,507"
55418,Minneapolis,Hennepin County,"31,505"
55021,Faribault,Rice County,"30,908"
55421,Minneapolis,Anoka County,"30,843"
55347,Eden Prairie,Hennepin County,"30,429"
55318,Chaska,Carver County,"30,369"
55419,Minneapolis,Hennepin County,"29,738"
55033,Hastings,Dakota County,"29,674"
55904,Rochester,Olmsted County,"29,639"
55912,Austin,Mower County,"29,632"
55060,Owatonna,Steele County,"29,599"
55118,Saint Paul,Dakota County,"29,564"
55128,Saint Paul,Washington County,"29,384"
55014,Circle Pines,Anoka County,"29,047"
55448,Minneapolis,Anoka County,"29,005"
55404,Minneapolis,Hennepin County,"28,920"
55105,Saint Paul,Ramsey County,"28,617"
55422,Minneapolis,Hennepin County,"28,452"
55446,Minneapolis,Hennepin County,"28,247"
55811,Duluth,St. Louis County,"28,118"
55411,Minneapolis,Hennepin County,"27,741"
55126,Saint Paul,Ramsey County,"27,456"
55343,Hopkins,Hennepin County,"27,102"
55429,Minneapolis,Hennepin County,"27,024"
56308,Alexandria,Douglas County,"27,008"
55123,Saint Paul,Dakota County,"26,501"
55902,Rochester,Olmsted County,"26,464"
55116,Saint Paul,Ramsey County,"25,918"
55025,Forest Lake,Anoka County,"25,891"
56303,Saint Cloud,Stearns County,"25,827"
55057,Northfield,Rice County,"25,650"
55426,Minneapolis,Hennepin County,"25,251"
56201,Willmar,Kandiyohi County,"25,146"
55417,Minneapolis,Hennepin County,"25,102"
55038,Hugo,Washington County,"25,061"
55313,Buffalo,Wright County,"24,913"
55427,Minneapolis,Hennepin County,"24,764"
55412,Minneapolis,Hennepin County,"24,460"
55420,Minneapolis,Hennepin County,"24,451"
55316,Champlin,Hennepin County,"23,294"
55430,Minneapolis,Hennepin County,"22,749"
55317,Chanhassen,Carver County,"22,299"
55309,Big Lake,Sherburne County,"21,378"
56007,Albert Lea,Freeborn County,"21,377"
55076,Inver Grove Heights,Dakota County,"21,374"
55305,Hopkins,Hennepin County,"21,068"
56377,Sartell,Stearns County,"21,063"
55447,Minneapolis,Hennepin County,"20,931"
55345,Minnetonka,Hennepin County,"20,789"
55075,South Saint Paul,Dakota County,"20,714"
55362,Monticello,Wright County,"20,663"
55906,Rochester,Olmsted County,"20,437"
55410,Minneapolis,Hennepin County,"20,422"
55744,Grand Rapids,Itasca County,"20,295"
55376,Saint Michael,Wright County,"20,106"
56537,Fergus Falls,Otter Tail County,"19,856"
55331,Excelsior,Hennepin County,"19,805"
55102,Saint Paul,Ramsey County,"19,630"
55066,Red Wing,Goodhue County,"19,226"
55437,Minneapolis,Hennepin County,"18,881"
55431,Minneapolis,Hennepin County,"18,664"
55350,Hutchinson,McLeod County,"18,610"
55346,Eden Prairie,Hennepin County,"18,588"
55371,Princeton,Mille Lacs County,"18,103"
55127,Saint Paul,Ramsey County,"18,090"
56501,Detroit Lakes,Becker County,"18,004"
55441,Minneapolis,Hennepin County,"17,944"
55130,Saint Paul,Ramsey County,"17,775"
55398,Zimmerman,Sherburne County,"17,688"
55803,Duluth,St. Louis County,"17,662"
56379,Sauk Rapids,Benton County,"17,607"
55403,Minneapolis,Hennepin County,"17,601"
56304,Saint Cloud,Sherburne County,"17,473"
55720,Cloquet,Carlton County,"17,448"
56073,New Ulm,Brown County,"17,339"
55405,Minneapolis,Hennepin County,"17,198"
55306,Burnsville,Dakota County,"16,830"
55746,Hibbing,St. Louis County,"16,730"
55008,Cambridge,Isanti County,"16,729"
55374,Rogers,Hennepin County,"16,661"
55444,Minneapolis,Hennepin County,"16,559"
55804,Duluth,St. Louis County,"15,922"
56258,Marshall,Lyon County,"15,888"
55438,Minneapolis,Hennepin County,"15,701"
55391,Wayzata,Hennepin County,"15,502"
55107,Saint Paul,Ramsey County,"15,377"
56003,Mankato,Nicollet County,"15,258"
55108,Saint Paul,Ramsey County,"15,224"
56187,Worthington,Nobles County,"15,214"
55387,Waconia,Carver County,"15,030"
56345,Little Falls,Morrison County,"15,008"
55040,Isanti,Isanti County,"14,837"
55056,North Branch,Chisago County,"14,753"
55413,Minneapolis,Hennepin County,"14,655"
56082,Saint Peter,Nicollet County,"14,606"
55077,Inver Grove Heights,Dakota County,"14,503"
55436,Minneapolis,Hennepin County,"14,462"
55435,Minneapolis,Hennepin County,"14,192"
55364,Mound,Hennepin County,"14,097"
55344,Eden Prairie,Hennepin County,"14,034"
55042,Lake Elmo,Washington County,"13,705"
55445,Minneapolis,Hennepin County,"13,546"
55301,Albertville,Wright County,"13,482"
56071,New Prague,Le Sueur County,"13,157"
55103,Saint Paul,Ramsey County,"13,125"
56701,Thief River Falls,Pennington County,"12,705"
55442,Minneapolis,Hennepin County,"12,694"
56093,Waseca,Waseca County,"12,672"
55401,Minneapolis,Hennepin County,"11,816"
56031,Fairmont,Martin County,"11,665"
55011,Cedar,Anoka County,"11,482"
55092,Wyoming,Anoka County,"11,200"
55409,Minneapolis,Hennepin County,"11,188"
56470,Park Rapids,Hubbard County,"11,186"
55425,Minneapolis,Hennepin County,"10,908"
55812,Duluth,St. Louis County,"10,859"
56721,East Grand Forks,Polk County,"10,679"
55805,Duluth,St. Louis County,"10,602"
55352,Jordan,Scott County,"10,515"
55308,Becker,Sherburne County,"10,321"
55424,Minneapolis,Hennepin County,"10,289"
55340,Hamel,Hennepin County,"10,183"
55386,Victoria,Carver County,"10,077"
56374,Saint Joseph,Stearns County,"10,029"
55328,Delano,Wright County,"10,019"
55051,Mora,Kanabec County,"9,935"
56011,Belle Plaine,Scott County,"9,921"
55807,Duluth,St. Louis County,"9,763"
55355,Litchfield,Meeker County,"9,663"
55792,Virginia,St. Louis County,"9,663"
56353,Milaca,Mille Lacs County,"9,546"
55439,Minneapolis,Hennepin County,"9,459"
55806,Duluth,St. Louis County,"9,356"
56431,Aitkin,Aitkin County,"9,312"
55920,Byron,Olmsted County,"9,271"
55063,Pine City,Pine County,"9,212"
55121,Saint Paul,Dakota County,"9,198"
55115,Saint Paul,Washington County,"8,949"
56425,Baxter,Crow Wing County,"8,932"
56716,Crookston,Polk County,"8,903"
55454,Minneapolis,Hennepin County,"8,880"
56472,Pequot Lakes,Cass County,"8,830"
56649,International Falls,Koochiching County,"8,825"
56378,Sauk Centre,Stearns County,"8,649"
55976,Stewartville,Olmsted County,"8,509"
55079,Stacy,Chisago County,"8,508"
56320,Cold Spring,Stearns County,"8,482"
55070,Saint Francis,Anoka County,"8,441"
55336,Glencoe,McLeod County,"8,296"
55810,Duluth,St. Louis County,"8,285"
55944,Kasson,Dodge County,"8,161"
55009,Cannon Falls,Goodhue County,"8,127"
56347,Long Prairie,Todd County,"8,042"
55101,Saint Paul,Ramsey County,"7,911"
55045,Lindstrom,Chisago County,"7,846"
56329,Foley,Benton County,"7,778"
56387,Waite Park,Stearns County,"7,756"
56482,Wadena,Wadena County,"7,619"
55041,Lake City,Wabasha County,"7,510"
55947,La Crescent,Houston County,"7,403"
55302,Annandale,Wright County,"7,326"
55616,Two Harbors,Lake County,"7,250"
56265,Montevideo,Chippewa County,"7,225"
56573,Perham,Otter Tail County,"7,221"
56367,Rice,Benton County,"7,209"
55315,Carver,Carver County,"7,147"
55013,Chisago City,Chisago County,"7,015"
55359,Maple Plain,Hennepin County,"6,997"
55415,Minneapolis,Hennepin County,"6,900"
56267,Morris,Stevens County,"6,783"
56283,Redwood Falls,Redwood County,"6,481"
56156,Luverne,Rock County,"6,371"
55734,Eveleth,St. Louis County,"6,265"
56081,Saint James,Watonwan County,"6,172"
56101,Windom,Cottonwood County,"6,157"
55046,Lonsdale,Rice County,"6,145"
56352,Melrose,Stearns County,"6,112"
56058,Le Sueur,Le Sueur County,"6,067"
55327,Dayton,Hennepin County,"6,016"
55320,Clearwater,Stearns County,"5,998"
55388,Watertown,Carver County,"5,893"
55069,Rush City,Chisago County,"5,836"
56572,Pelican Rapids,Otter Tail County,"5,827"
55373,Rockford,Hennepin County,"5,822"
55363,Montrose,Wright County,"5,814"
56334,Glenwood,Pope County,"5,776"
56362,Paynesville,Stearns County,"5,773"
56751,Roseau,Roseau County,"5,761"
56544,Frazee,Becker County,"5,726"
55071,Saint Paul Park,Washington County,"5,719"
56364,Pierz,Morrison County,"5,708"
55356,Long Lake,Hennepin County,"5,696"
55808,Duluth,St. Louis County,"5,691"
55321,Cokato,Wright County,"5,646"
55719,Chisholm,St. Louis County,"5,613"
55992,Zumbrota,Goodhue County,"5,544"
56164,Pipestone,Pipestone County,"5,516"
55972,Saint Charles,Winona County,"5,434"
56310,Avon,Stearns County,"5,431"
55455,Minneapolis,Hennepin County,"5,390"
56307,Albany,Stearns County,"5,385"
55731,Ely,Lake County,"5,361"
55963,Pine Island,Goodhue County,"5,244"
55037,Hinckley,Pine County,"5,215"
55319,Clear Lake,Sherburne County,"5,185"
56763,Warroad,Roseau County,"5,180"
55733,Esko,Carlton County,"5,139"
55358,Maple Lake,Wright County,"5,061"
55120,Saint Paul,Dakota County,"5,058"
56464,Menahga,Wadena County,"5,053"
55114,Saint Paul,Ramsey County,"5,049"
56085,Sleepy Eye,Brown County,"5,047"
56549,Hawley,Clay County,"5,028"
56479,Staples,Todd County,"5,021"
56069,Montgomery,Le Sueur County,"4,991"
56273,New London,Kandiyohi County,"4,956"
56633,Cass Lake,Cass County,"4,802"
55325,Dassel,Meeker County,"4,795"
55055,Newport,Washington County,"4,754"
56529,Dilworth,Clay County,"4,713"
56288,Spicer,Kandiyohi County,"4,697"
56215,Benson,Swift County,"4,677"
55921,Caledonia,Houston County,"4,659"
56636,Deer River,Itasca County,"4,643"
55709,Bovey,Itasca County,"4,628"
55767,Moose Lake,Carlton County,"4,582"
56013,Blue Earth,Faribault County,"4,535"
56468,Nisswa,Crow Wing County,"4,520"
56143,Jackson,Jackson County,"4,509"
56474,Pine River,Cass County,"4,475"
55975,Spring Valley,Fillmore County,"4,433"
55072,Sandstone,Pine County,"4,418"
55964,Plainview,Wabasha County,"4,400"
55005,Bethel,Anoka County,"4,376"
55923,Chatfield,Fillmore County,"4,375"
56621,Bagley,Clearwater County,"4,336"
55375,Saint Bonifacius,Hennepin County,"4,326"
55927,Dodge Center,Dodge County,"4,297"
56368,Richmond,Stearns County,"4,262"
55073,Scandia,Washington County,"4,169"
55020,Elko New Market,Scott County,"4,115"
55721,Cohasset,Itasca County,"4,044"
56048,Janesville,Waseca County,"4,025"
56514,Barnesville,Clay County,"3,994"
55981,Wabasha,Wabasha County,"3,955"
56241,Granite Falls,Yellow Medicine County,"3,933"
56057,Le Center,Le Sueur County,"3,919"
55003,Bayport,Washington County,"3,905"
55779,Saginaw,St. Louis County,"3,905"
56055,Lake Crystal,Blue Earth County,"3,898"
56520,Breckenridge,Wilkin County,"3,852"
55322,Cologne,Carver County,"3,775"
56360,Osakis,Todd County,"3,721"
55604,Grand Marais,Cook County,"3,719"
55006,Braham,Kanabec County,"3,694"
55382,South Haven,Stearns County,"3,691"
56024,Eagle Lake,Blue Earth County,"3,647"
55341,Hanover,Wright County,"3,561"
55349,Howard Lake,Wright County,"3,549"
56359,Onamia,Mille Lacs County,"3,521"
56473,Pillager,Cass County,"3,518"
55390,Waverly,Wright County,"3,492"
56097,Wells,Faribault County,"3,487"
55707,Barnum,Carlton County,"3,470"
55934,Eyota,Olmsted County,"3,466"
55043,Lakeland,Washington County,"3,424"
55357,Loretto,Hennepin County,"3,419"
55032,Harris,Chisago County,"3,416"
55917,Blooming Prairie,Steele County,"3,410"
55397,Young America,Carver County,"3,404"
55946,Kenyon,Goodhue County,"3,395"
55960,Oronoco,Olmsted County,"3,375"
56567,New York Mills,Otter Tail County,"3,367"
55353,Kimball,Stearns County,"3,361"
56441,Crosby,Crow Wing County,"3,348"
55360,Mayer,Carver County,"3,341"
56461,Laporte,Hubbard County,"3,337"
56444,Deerwood,Crow Wing County,"3,331"
56373,Royalton,Morrison County,"3,329"
56466,Motley,Cass County,"3,284"
56484,Walker,Cass County,"3,252"
56062,Madelia,Watonwan County,"3,234"
55943,Houston,Houston County,"3,221"
56063,Madison Lake,Blue Earth County,"3,221"
55705,Aurora,St. Louis County,"3,211"
55080,Stanchfield,Isanti County,"3,180"
55354,Lester Prairie,McLeod County,"3,159"
55718,Carlton,Carlton County,"3,111"
56358,Ogilvie,Kanabec County,"3,107"
56087,Springfield,Brown County,"3,105"
55001,Afton,Washington County,"3,027"
55971,Rushford,Fillmore County,"3,018"
56172,Slayton,Murray County,"2,987"
55307,Arlington,Sibley County,"2,981"
56175,Tracy,Lyon County,"2,972"
55768,Mountain Iron,St. Louis County,"2,964"
56671,Redlake,Clearwater County,"2,961"
56096,Waterville,Le Sueur County,"2,953"
55741,Gilbert,St. Louis County,"2,947"
56438,Browerville,Todd County,"2,942"
56277,Olivia,Renville County,"2,905"
55760,Mcgregor,Aitkin County,"2,894"
55054,Elko New Market,Scott County,"2,831"
56467,Nevis,Hubbard County,"2,827"
56150,Lakefield,Jackson County,"2,802"
56435,Backus,Cass County,"2,801"
55940,Hayfield,Dodge County,"2,791"
56342,Isle,Aitkin County,"2,788"
56065,Mapleton,Blue Earth County,"2,766"
56442,Crosslake,Crow Wing County,"2,762"
56547,Glyndon,Clay County,"2,762"
56557,Mahnomen,Mahnomen County,"2,758"
56554,Lake Park,Becker County,"2,752"
55027,Goodhue,Goodhue County,"2,739"
56623,Baudette,Lake of the Woods County,"2,733"
55334,Gaylord,Sibley County,"2,727"
55395,Winsted,McLeod County,"2,723"
56515,Battle Lake,Otter Tail County,"2,723"
56278,Ortonville,Big Stone County,"2,698"
56159,Mountain Lake,Cottonwood County,"2,668"
55783,Sturgeon Lake,Pine County,"2,639"
55049,Medford,Steele County,"2,636"
56220,Canby,Yellow Medicine County,"2,617"
55955,Mantorville,Dodge County,"2,605"
56477,Sebeka,Wadena County,"2,594"
56361,Parkers Prairie,Otter Tail County,"2,592"
