ZIP,City,County,Population
38654,Olive Branch,DeSoto County,"57,898"
39503,Gulfport,Harrison County,"55,059"
39110,Madison,Madison County,"50,443"
38655,Oxford,Lafayette County,"46,156"
39402,Hattiesburg,Lamar County,"44,620"
39564,Ocean Springs,Jackson County,"43,240"
39759,Starkville,Oktibbeha County,"42,783"
39401,Hattiesburg,Forrest County,"42,531"
39047,Brandon,Rankin County,"40,808"
39042,Brandon,Rankin County,"39,142"
38671,Southaven,DeSoto County,"37,319"
39532,Biloxi,Harrison County,"36,662"
39208,Pearl,Rankin County,"34,442"
38632,Hernando,DeSoto County,"31,374"
38801,Tupelo,Lee County,"29,858"
39452,Lucedale,George County,"29,181"
39120,Natchez,Adams County,"29,039"
39180,Vicksburg,Warren County,"28,479"
39046,Canton,Madison County,"28,442"
39466,Picayune,Pearl River County,"28,025"
38834,Corinth,Alcorn County,"27,308"
39056,Clinton,Hinds County,"26,836"
38637,Horn Lake,DeSoto County,"26,647"
39209,Jackson,Hinds County,"25,776"
39212,Jackson,Hinds County,"25,659"
39157,Ridgeland,Madison County,"24,562"
39211,Jackson,Hinds County,"23,838"
39350,Philadelphia,Neshoba County,"23,778"
39601,Brookhaven,Lincoln County,"23,583"
39702,Columbus,Lowndes County,"23,484"
39206,Jackson,Hinds County,"23,257"
39465,Petal,Forrest County,"22,882"
39443,Laurel,Jones County,"22,767"
38930,Greenwood,Leflore County,"22,700"
39501,Gulfport,Harrison County,"22,565"
39305,Meridian,Lauderdale County,"21,638"
39073,Florence,Rankin County,"21,066"
39565,Vancleave,Jackson County,"20,984"
38701,Greenville,Washington County,"20,853"
39301,Meridian,Lauderdale County,"20,807"
39648,Mccomb,Pike County,"20,509"
39440,Laurel,Jones County,"19,385"
38863,Pontotoc,Pontotoc County,"19,046"
39531,Biloxi,Harrison County,"18,918"
39426,Carriere,Pearl River County,"18,737"
39194,Yazoo City,Yazoo County,"18,714"
39560,Long Beach,Harrison County,"18,702"
39213,Jackson,Hinds County,"18,691"
38829,Booneville,Prentiss County,"18,605"
39507,Gulfport,Harrison County,"18,564"
