ZIP,City,County,Population
63376,Saint Peters,St. Charles County,"74,962"
65203,Columbia,Boone County,"61,539"
65807,Springfield,Greene County,"56,659"
63021,Ballwin,St. Louis County,"55,666"
63366,O'Fallon,St. Charles County,"54,769"
63301,Saint Charles,St. Charles County,"52,667"
63129,Saint Louis,St. Louis County,"51,553"
63385,Wentzville,St. Charles County,"51,330"
63031,Florissant,St. Louis County,"50,196"
65201,Columbia,Boone County,"50,011"
63123,Saint Louis,St. Louis County,"49,077"
65202,Columbia,Boone County,"47,327"
63368,O'Fallon,St. Charles County,"46,966"
65802,Springfield,Greene County,"46,739"
63303,Saint Charles,St. Charles County,"46,089"
63026,Fenton,Jefferson County,"45,354"
63017,Chesterfield,St. Louis County,"43,243"
63304,Saint Charles,St. Charles County,"43,195"
63033,Florissant,St. Louis County,"43,056"
65803,Springfield,Greene County,"42,882"
63116,Saint Louis,St. Louis city,"42,170"
64118,Kansas City,Clay County,"41,984"
63122,Saint Louis,St. Louis County,"41,634"
65109,Jefferson City,Cole County,"41,145"
65804,Springfield,Greene County,"40,935"
63136,Saint Louis,St. Louis County,"40,929"
63701,Cape Girardeau,Cape Girardeau County,"39,345"
64068,Liberty,Clay County,"37,758"
64804,Joplin,Newton County,"37,016"
65714,Nixa,Christian County,"37,013"
64801,Joplin,Jasper County,"36,287"
64133,Kansas City,Jackson County,"36,249"
64055,Independence,Jackson County,"35,960"
63011,Ballwin,St. Louis County,"35,920"
63901,Poplar Bluff,Butler County,"35,324"
65301,Sedalia,Pettis County,"35,091"
63010,Arnold,Jefferson County,"34,478"
63119,Saint Louis,St. Louis County,"34,181"
63114,Saint Louis,St. Louis County,"33,969"
65721,Ozark,Christian County,"33,452"
63125,Saint Louis,St. Louis County,"33,294"
64119,Kansas City,Clay County,"33,199"
65401,Rolla,Phelps County,"32,714"
64015,Blue Springs,Jackson County,"32,245"
64152,Kansas City,Platte County,"31,545"
63146,Saint Louis,St. Louis County,"30,678"
63128,Saint Louis,St. Louis County,"30,540"
65536,Lebanon,Laclede County,"29,915"
63367,Lake Saint Louis,St. Charles County,"29,725"
64012,Belton,Cass County,"29,304"
63640,Farmington,St. Francois County,"29,263"
63130,Saint Louis,St. Louis County,"28,910"
64155,Kansas City,Clay County,"28,824"
65101,Jefferson City,Cole County,"28,793"
64014,Blue Springs,Jackson County,"28,788"
63052,Imperial,Jefferson County,"28,712"
64151,Kansas City,Platte County,"28,526"
65616,Branson,Taney County,"28,460"
63028,Festus,Jefferson County,"28,457"
64093,Warrensburg,Johnson County,"28,199"
63379,Troy,Lincoln County,"27,731"
63755,Jackson,Cape Girardeau County,"27,629"
64836,Carthage,Jasper County,"26,562"
64030,Grandview,Jackson County,"26,422"
64083,Raymore,Cass County,"26,201"
63118,Saint Louis,St. Louis city,"25,913"
65775,West Plains,Howell County,"25,773"
64081,Lees Summit,Jackson County,"25,305"
63109,Saint Louis,St. Louis city,"25,236"
64850,Neosho,Newton County,"25,126"
63121,Saint Louis,St. Louis County,"25,008"
64114,Kansas City,Jackson County,"24,229"
64138,Kansas City,Jackson County,"23,805"
64086,Lees Summit,Jackson County,"23,599"
63090,Washington,Franklin County,"23,258"
64157,Kansas City,Clay County,"23,030"
64134,Kansas City,Jackson County,"22,964"
65251,Fulton,Callaway County,"22,579"
64052,Independence,Jackson County,"22,138"
65810,Springfield,Greene County,"22,137"
63801,Sikeston,Scott County,"22,027"
64029,Grain Valley,Jackson County,"21,961"
64131,Kansas City,Jackson County,"21,942"
63043,Maryland Heights,St. Louis County,"21,924"
64063,Lees Summit,Jackson County,"21,863"
63139,Saint Louis,St. Louis city,"21,631"
63401,Hannibal,Marion County,"21,489"
64506,Saint Joseph,Buchanan County,"21,461"
63108,Saint Louis,St. Louis city,"21,336"
65738,Republic,Greene County,"21,283"
63501,Kirksville,Adair County,"21,218"
64050,Independence,Jackson County,"21,079"
63141,Saint Louis,St. Louis County,"20,932"
63084,Union,Franklin County,"20,708"
63020,De Soto,Jefferson County,"20,166"
64082,Lees Summit,Jackson County,"20,068"
64064,Lees Summit,Jackson County,"20,050"
63005,Chesterfield,St. Louis County,"19,779"
63137,Saint Louis,St. Louis County,"19,684"
64130,Kansas City,Jackson County,"19,644"
63025,Eureka,St. Louis County,"19,508"
63104,Saint Louis,St. Louis city,"19,007"
63034,Florissant,St. Louis County,"18,908"
63105,Saint Louis,St. Louis County,"18,875"
63111,Saint Louis,St. Louis city,"18,851"
63050,Hillsboro,Jefferson County,"18,744"
