ZIP,City,County,Population
59901,Kalispell,Flathead County,"63,161"
59102,Billings,Yellowstone County,"47,977"
59718,Bozeman,Gallatin County,"44,585"
59101,Billings,Yellowstone County,"42,250"
59715,Bozeman,Gallatin County,"39,643"
59105,Billings,Yellowstone County,"35,480"
59701,Butte,Silver Bow County,"34,232"
59405,Great Falls,Cascade County,"33,350"
59601,Helena,Lewis and Clark County,"31,728"
59801,Missoula,Missoula County,"30,916"
59602,Helena,Lewis and Clark County,"30,754"
59404,Great Falls,Cascade County,"28,822"
59714,Belgrade,Gallatin County,"24,282"
59808,Missoula,Missoula County,"23,574"
59106,Billings,Yellowstone County,"21,417"
59802,Missoula,Missoula County,"19,864"
59803,Missoula,Missoula County,"18,401"
59912,Columbia Falls,Flathead County,"15,752"
59840,Hamilton,Ravalli County,"15,679"
59937,Whitefish,Flathead County,"15,114"
59047,Livingston,Park County,"14,092"
59401,Great Falls,Cascade County,"13,255"
59870,Stevensville,Ravalli County,"12,506"
59044,Laurel,Yellowstone County,"12,302"
59501,Havre,Hill County,"12,243"
59860,Polson,Lake County,"11,897"
59301,Miles City,Custer County,"11,643"
59923,Libby,Lincoln County,"10,450"
59711,Anaconda,Deer Lodge County,"9,529"
59911,Bigfork,Lake County,"9,493"
59457,Lewistown,Fergus County,"9,135"
59270,Sidney,Richland County,"8,571"
59725,Dillon,Beaverhead County,"8,343"
59635,East Helena,Lewis and Clark County,"8,292"
59330,Glendive,Dawson County,"8,133"
59804,Missoula,Missoula County,"8,123"
59417,Browning,Glacier County,"7,470"
59864,Ronan,Lake County,"7,301"
59833,Florence,Ravalli County,"6,316"
59847,Lolo,Missoula County,"6,015"
59828,Corvallis,Ravalli County,"5,827"
59741,Manhattan,Gallatin County,"5,748"
59722,Deer Lodge,Powell County,"5,732"
59634,Clancy,Jefferson County,"5,521"
59752,Three Forks,Gallatin County,"5,404"
59201,Wolf Point,Roosevelt County,"5,073"
59034,Hardin,Big Horn County,"5,008"
59427,Cut Bank,Glacier County,"5,008"
