ZIP,City,County,Population
68516,Lincoln,Lancaster County,"48,903"
68521,Lincoln,Lancaster County,"37,050"
68104,Omaha,Douglas County,"36,673"
68022,Elkhorn,Douglas County,"36,538"
68046,Papillion,Sarpy County,"35,085"
68116,Omaha,Douglas County,"34,501"
68123,Bellevue,Sarpy County,"33,804"
68025,Fremont,Dodge County,"31,658"
68107,Omaha,Douglas County,"31,540"
68701,Norfolk,Madison County,"31,417"
68601,Columbus,Platte County,"30,944"
68801,Grand Island,Hall County,"30,824"
68135,Omaha,Douglas County,"30,523"
68134,Omaha,Douglas County,"28,823"
68164,Omaha,Douglas County,"28,564"
68506,Lincoln,Lancaster County,"27,531"
69101,North Platte,Lincoln County,"27,198"
68901,Hastings,Adams County,"26,264"
68502,Lincoln,Lancaster County,"25,846"
68144,Omaha,Douglas County,"25,732"
68803,Grand Island,Hall County,"25,534"
68137,Omaha,Douglas County,"24,277"
68111,Omaha,Douglas County,"24,210"
68154,Omaha,Douglas County,"24,060"
68105,Omaha,Douglas County,"22,807"
68136,Omaha,Sarpy County,"22,163"
68005,Bellevue,Sarpy County,"21,984"
68130,Omaha,Douglas County,"21,722"
68106,Omaha,Douglas County,"21,224"
68845,Kearney,Buffalo County,"20,536"
68127,Omaha,Douglas County,"20,484"
68007,Bennington,Douglas County,"19,536"
68510,Lincoln,Lancaster County,"19,391"
68128,La Vista,Sarpy County,"18,924"
68505,Lincoln,Lancaster County,"18,834"
68847,Kearney,Buffalo County,"18,354"
68508,Lincoln,Lancaster County,"18,163"
68114,Omaha,Douglas County,"17,596"
68028,Gretna,Sarpy County,"17,529"
68504,Lincoln,Lancaster County,"17,278"
69361,Scottsbluff,Sioux County,"17,187"
68507,Lincoln,Lancaster County,"16,029"
68503,Lincoln,Lancaster County,"15,867"
68124,Omaha,Douglas County,"15,482"
68776,South Sioux City,Dakota County,"15,373"
68522,Lincoln,Lancaster County,"14,836"
68131,Omaha,Douglas County,"14,809"
68133,Papillion,Sarpy County,"14,729"
68108,Omaha,Douglas County,"14,578"
68310,Beatrice,Gage County,"14,093"
68132,Omaha,Douglas County,"13,960"
68512,Lincoln,Lancaster County,"13,802"
68048,Plattsmouth,Cass County,"13,435"
68122,Omaha,Douglas County,"13,352"
68008,Blair,Washington County,"12,823"
68147,Bellevue,Sarpy County,"12,430"
68850,Lexington,Dawson County,"12,428"
68112,Omaha,Douglas County,"12,071"
68138,Omaha,Sarpy County,"11,713"
69341,Gering,Scotts Bluff County,"10,482"
68102,Omaha,Douglas County,"9,767"
68467,York,York County,"9,718"
69301,Alliance,Box Butte County,"9,524"
68333,Crete,Saline County,"9,286"
68110,Omaha,Douglas County,"9,229"
68118,Omaha,Douglas County,"9,169"
68434,Seward,Seward County,"9,099"
69001,McCook,Red Willow County,"9,054"
68410,Nebraska City,Otoe County,"8,980"
68117,Omaha,Douglas County,"8,224"
68526,Lincoln,Lancaster County,"7,944"
68661,Schuyler,Colfax County,"7,459"
69162,Sidney,Cheyenne County,"7,274"
68528,Lincoln,Lancaster County,"7,273"
68152,Omaha,Douglas County,"6,791"
68787,Wayne,Wayne County,"6,791"
68949,Holdrege,Phelps County,"6,662"
69337,Chadron,Dawes County,"6,466"
68524,Lincoln,Lancaster County,"6,139"
68066,Wahoo,Saunders County,"5,941"
69153,Ogallala,Keith County,"5,812"
68818,Aurora,Hamilton County,"5,680"
68157,Omaha,Sarpy County,"5,252"
68003,Ashland,Saunders County,"5,139"
69130,Cozad,Dawson County,"5,004"
68352,Fairbury,Jefferson County,"4,938"
68462,Waverly,Lancaster County,"4,928"
68355,Falls City,Richardson County,"4,860"
68788,West Point,Cuming County,"4,588"
68763,Oneill,Holt County,"4,572"
68142,Omaha,Douglas County,"4,505"
68305,Auburn,Nemaha County,"4,351"
68822,Broken Bow,Custer County,"4,335"
69138,Gothenburg,Dawson County,"4,316"
68372,Hickman,Lancaster County,"4,135"
68959,Minden,Kearney County,"4,048"
68064,Valley,Douglas County,"4,046"
69201,Valentine,Cherry County,"4,012"
68826,Central City,Merrick County,"3,944"
68632,David City,Butler County,"3,942"
68873,Saint Paul,Howard County,"3,785"
69357,Mitchell,Sioux County,"3,677"
68405,Milford,Seward County,"3,575"
68731,Dakota City,Dakota County,"3,469"
68767,Pierce,Pierce County,"3,401"
68059,Springfield,Sarpy County,"3,373"
68069,Waterloo,Douglas County,"3,207"
68450,Tecumseh,Johnson County,"3,124"
68073,Yutan,Saunders County,"2,993"
68620,Albion,Boone County,"2,986"
68862,Ord,Valley County,"2,977"
68739,Hartington,Cedar County,"2,799"
68446,Syracuse,Otoe County,"2,792"
68520,Lincoln,Lancaster County,"2,762"
68748,Madison,Madison County,"2,706"
68023,Fort Calhoun,Washington County,"2,687"
68840,Gibbon,Buffalo County,"2,624"
69033,Imperial,Chase County,"2,610"
68002,Arlington,Washington County,"2,602"
