ZIP,City,County,Population
89031,North Las Vegas,Clark County,"77,305"
89108,Las Vegas,Clark County,"72,814"
89110,Las Vegas,Clark County,"69,107"
89121,Las Vegas,Clark County,"68,406"
89115,Las Vegas,Clark County,"67,542"
89148,Las Vegas,Clark County,"64,426"
89052,Henderson,Clark County,"60,888"
89123,Las Vegas,Clark County,"58,205"
89117,Las Vegas,Clark County,"58,082"
89147,Las Vegas,Clark County,"55,969"
89122,Las Vegas,Clark County,"53,724"
89129,Las Vegas,Clark County,"53,435"
89074,Henderson,Clark County,"52,388"
89030,North Las Vegas,Clark County,"51,341"
89131,Las Vegas,Clark County,"50,731"
89119,Las Vegas,Clark County,"50,196"
89436,Sparks,Washoe County,"49,544"
89032,North Las Vegas,Clark County,"49,473"
89103,Las Vegas,Clark County,"49,041"
89506,Reno,Washoe County,"47,046"
89502,Reno,Washoe County,"46,691"
89139,Las Vegas,Clark County,"45,410"
89149,Las Vegas,Clark County,"45,202"
89015,Henderson,Clark County,"44,704"
89178,Las Vegas,Clark County,"44,165"
89141,Las Vegas,Clark County,"43,469"
89183,Las Vegas,Clark County,"42,996"
89101,Las Vegas,Clark County,"42,739"
89014,Henderson,Clark County,"42,439"
89521,Reno,Washoe County,"41,859"
89081,North Las Vegas,Clark County,"41,408"
89128,Las Vegas,Clark County,"40,040"
89104,Las Vegas,Clark County,"39,937"
89431,Sparks,Washoe County,"39,833"
89084,North Las Vegas,Clark County,"39,759"
89012,Henderson,Clark County,"38,339"
89113,Las Vegas,Clark County,"38,094"
89002,Henderson,Clark County,"37,664"
89011,Henderson,Clark County,"37,538"
89523,Reno,Washoe County,"37,130"
89107,Las Vegas,Clark County,"37,063"
89102,Las Vegas,Clark County,"36,825"
89130,Las Vegas,Clark County,"36,603"
89509,Reno,Washoe County,"35,632"
89142,Las Vegas,Clark County,"35,179"
89135,Las Vegas,Clark County,"32,524"
89166,Las Vegas,Clark County,"32,118"
89511,Reno,Washoe County,"30,956"
89044,Henderson,Clark County,"30,818"
89503,Reno,Washoe County,"30,249"
89156,Las Vegas,Clark County,"30,052"
89701,Carson City,Carson City,"28,766"
89512,Reno,Washoe County,"28,030"
89434,Sparks,Storey County,"27,990"
89106,Las Vegas,Clark County,"27,565"
89138,Las Vegas,Clark County,"26,947"
89145,Las Vegas,Clark County,"26,891"
89048,Pahrump,Nye County,"26,486"
89801,Elko,Elko County,"26,480"
89406,Fallon,Churchill County,"25,739"
89408,Fernley,Churchill County,"24,564"
89134,Las Vegas,Clark County,"24,091"
89120,Las Vegas,Clark County,"23,389"
89433,Sun Valley,Washoe County,"23,016"
89118,Las Vegas,Clark County,"22,610"
89169,Las Vegas,Clark County,"22,171"
89146,Las Vegas,Clark County,"22,150"
89706,Carson City,Carson City,"20,478"
89144,Las Vegas,Clark County,"19,414"
89027,Mesquite,Clark County,"18,967"
89403,Dayton,Lyon County,"17,506"
89445,Winnemucca,Humboldt County,"17,153"
89815,Spring Creek,Elko County,"15,636"
89005,Boulder City,Clark County,"14,962"
89508,Reno,Washoe County,"14,858"
89143,Las Vegas,Clark County,"14,683"
89460,Gardnerville,Douglas County,"14,534"
89441,Sparks,Washoe County,"14,460"
89060,Pahrump,Nye County,"12,864"
89179,Las Vegas,Clark County,"12,549"
89423,Minden,Douglas County,"11,221"
89410,Gardnerville,Douglas County,"10,826"
89703,Carson City,Carson City,"10,738"
89086,North Las Vegas,Clark County,"10,455"
89451,Incline Village,Washoe County,"9,285"
89029,Laughlin,Clark County,"9,132"
89519,Reno,Washoe County,"9,110"
89447,Yerington,Lyon County,"9,082"
89061,Pahrump,Nye County,"8,141"
89429,Silver Springs,Lyon County,"7,521"
89301,Ely,White Pine County,"6,568"
89109,Las Vegas,Clark County,"6,504"
89820,Battle Mountain,Lander County,"5,562"
89070,Indian Springs,Clark County,"5,187"
89705,Carson City,Douglas County,"4,935"
89085,North Las Vegas,Clark County,"4,934"
89704,Washoe Valley,Washoe County,"4,846"
89883,West Wendover,Elko County,"4,604"
89419,Lovelock,Pershing County,"4,595"
89021,Logandale,Clark County,"3,543"
89501,Reno,Washoe County,"3,507"
89415,Hawthorne,Mineral County,"3,405"
89444,Wellington,Lyon County,"3,359"
89040,Overton,Clark County,"3,309"
89034,Mesquite,Clark County,"3,092"
89049,Tonopah,Nye County,"2,723"
