ZIP,City,County,Population
03103,Manchester,Hillsborough County,"37,775"
03104,Manchester,Hillsborough County,"35,237"
03038,Derry,Rockingham County,"34,474"
03301,Concord,Merrimack County,"33,995"
03102,Manchester,Hillsborough County,"33,959"
03820,Dover,Strafford County,"33,440"
03060,Nashua,Hillsborough County,"31,657"
03079,Salem,Rockingham County,"30,964"
03062,Nashua,Hillsborough County,"29,441"
03054,Merrimack,Hillsborough County,"28,176"
03053,Londonderry,Rockingham County,"26,327"
03051,Hudson,Hillsborough County,"25,557"
03431,Keene,Cheshire County,"25,065"
03110,Bedford,Hillsborough County,"23,746"
03801,Portsmouth,Rockingham County,"23,484"
03833,Exeter,Rockingham County,"22,817"
03867,Rochester,Strafford County,"22,732"
03246,Laconia,Belknap County,"17,103"
03303,Concord,Merrimack County,"16,571"
03055,Milford,Hillsborough County,"16,337"
03842,Hampton,Rockingham County,"16,324"
03087,Windham,Rockingham County,"16,038"
03063,Nashua,Hillsborough County,"15,805"
03824,Durham,Strafford County,"15,080"
03106,Hooksett,Merrimack County,"15,032"
03076,Pelham,Hillsborough County,"14,449"
03064,Nashua,Hillsborough County,"14,391"
03045,Goffstown,Hillsborough County,"14,080"
03743,Claremont,Sullivan County,"13,704"
03275,Suncook,Merrimack County,"12,205"
03878,Somersworth,Strafford County,"12,205"
03031,Amherst,Hillsborough County,"11,849"
03766,Lebanon,Grafton County,"11,195"
03077,Raymond,Rockingham County,"10,900"
03755,Hanover,Grafton County,"10,569"
03109,Manchester,Hillsborough County,"9,929"
03825,Barrington,Strafford County,"9,489"
03857,Newmarket,Rockingham County,"9,463"
03570,Berlin,Coos County,"9,383"
03281,Weare,Hillsborough County,"9,170"
03276,Tilton,Merrimack County,"9,015"
03235,Franklin,Merrimack County,"8,903"
03049,Hollis,Hillsborough County,"8,603"
03052,Litchfield,Hillsborough County,"8,499"
03874,Seabrook,Rockingham County,"8,487"
03304,Bow,Merrimack County,"8,335"
03244,Hillsborough,Hillsborough County,"8,156"
03865,Plaistow,Rockingham County,"7,861"
03249,Gilford,Belknap County,"7,830"
03885,Stratham,Rockingham County,"7,754"
03773,Newport,Sullivan County,"7,681"
03042,Epping,Rockingham County,"7,430"
03220,Belmont,Belknap County,"7,393"
03811,Atkinson,Rockingham County,"7,267"
03264,Plymouth,Grafton County,"6,885"
03458,Peterborough,Hillsborough County,"6,872"
03835,Farmington,Strafford County,"6,804"
03253,Meredith,Belknap County,"6,707"
03873,Sandown,Rockingham County,"6,628"
03446,Swanzey,Cheshire County,"6,588"
03894,Wolfeboro,Carroll County,"6,554"
03841,Hampstead,Rockingham County,"6,508"
03461,Rindge,Cheshire County,"6,497"
03848,Kingston,Rockingham County,"6,275"
03242,Henniker,Merrimack County,"6,197"
03070,New Boston,Hillsborough County,"6,177"
03868,Rochester,Strafford County,"6,133"
03032,Auburn,Rockingham County,"6,119"
03222,Bristol,Grafton County,"6,097"
03229,Contoocook,Merrimack County,"6,046"
03561,Littleton,Grafton County,"6,040"
03033,Brookline,Hillsborough County,"5,736"
03307,Loudon,Merrimack County,"5,724"
03452,Jaffrey,Cheshire County,"5,448"
03290,Nottingham,Rockingham County,"5,357"
03071,New Ipswich,Hillsborough County,"5,310"
03036,Chester,Rockingham County,"5,300"
03603,Charlestown,Sullivan County,"5,238"
03870,Rye,Rockingham County,"5,188"
03254,Moultonborough,Carroll County,"5,172"
03234,Epsom,Merrimack County,"4,939"
03470,Winchester,Cheshire County,"4,933"
03858,Newton,Rockingham County,"4,836"
03044,Fremont,Rockingham County,"4,831"
03037,Deerfield,Rockingham County,"4,714"
03261,Northwood,Rockingham County,"4,688"
03862,North Hampton,Rockingham County,"4,610"
03861,Lee,Strafford County,"4,576"
03748,Enfield,Grafton County,"4,563"
03257,New London,Merrimack County,"4,484"
03819,Danville,Rockingham County,"4,471"
03872,Sanbornville,Carroll County,"4,438"
03034,Candia,Rockingham County,"4,352"
03851,Milton,Strafford County,"4,333"
03884,Strafford,Strafford County,"4,306"
03839,Rochester,Strafford County,"4,279"
03813,Center Conway,Carroll County,"4,273"
03086,Wilton,Hillsborough County,"4,258"
03741,Canaan,Grafton County,"4,131"
03840,Greenland,Rockingham County,"4,106"
03263,Pittsfield,Merrimack County,"4,105"
03451,Hinsdale,Cheshire County,"3,997"
03225,Center Barnstead,Belknap County,"3,834"
03818,Conway,Carroll County,"3,805"
03784,West Lebanon,Grafton County,"3,804"
03860,North Conway,Carroll County,"3,693"
03809,Alton,Belknap County,"3,680"
03753,Grantham,Sullivan County,"3,509"
03584,Lancaster,Coos County,"3,501"
03223,Campton,Grafton County,"3,441"
03598,Whitefield,Coos County,"3,396"
03827,East Kingston,Rockingham County,"3,279"
03581,Gorham,Coos County,"3,246"
03048,Greenville,Hillsborough County,"3,237"
03101,Manchester,Hillsborough County,"3,201"
03608,Walpole,Cheshire County,"3,167"
03782,Sunapee,Sullivan County,"3,122"
03046,Dunbarton,Merrimack County,"3,097"
03278,Warner,Merrimack County,"3,079"
03269,Sanbornton,Belknap County,"3,066"
03285,Thornton,Grafton County,"2,799"
03576,Colebrook,Coos County,"2,764"
03855,New Durham,Strafford County,"2,748"
03258,Chichester,Merrimack County,"2,721"
03057,Mont Vernon,Hillsborough County,"2,709"
03440,Antrim,Hillsborough County,"2,661"
03826,East Hampstead,Rockingham County,"2,654"
03237,Gilmanton,Belknap County,"2,575"
03574,Bethlehem,Grafton County,"2,573"
03256,New Hampton,Belknap County,"2,497"
03585,Lisbon,Grafton County,"2,456"
03869,Rollinsford,Strafford County,"2,456"
03224,Canterbury,Merrimack County,"2,392"
03602,Alstead,Cheshire County,"2,381"
03844,Hampton Falls,Rockingham County,"2,370"
03814,Center Ossipee,Carroll County,"2,324"
03810,Alton Bay,Belknap County,"2,314"
03447,Fitzwilliam,Cheshire County,"2,278"
03455,Marlborough,Cheshire County,"2,242"
03467,Westmoreland,Cheshire County,"2,237"
03823,Madbury,Strafford County,"2,203"
03221,Bradford,Merrimack County,"2,200"
03217,Ashland,Grafton County,"2,183"
