ZIP,City,County,Population
08701,Lakewood,Ocean County,"139,149"
07305,Jersey City,Hudson County,"72,161"
07002,Bayonne,Hudson County,"71,553"
07055,Passaic,Passaic County,"70,002"
07087,Union City,Hudson County,"66,463"
08753,Toms River,Ocean County,"65,448"
07093,West New York,Hudson County,"63,758"
07047,North Bergen,Hudson County,"61,250"
08854,Piscataway,Middlesex County,"61,088"
07111,Irvington,Essex County,"60,867"
08861,Perth Amboy,Middlesex County,"59,351"
08527,Jackson,Ocean County,"58,991"
07030,Hoboken,Hudson County,"58,668"
07083,Union,Union County,"58,170"
08901,New Brunswick,Middlesex County,"57,263"
07105,Newark,Essex County,"57,093"
08873,Somerset,Somerset County,"56,327"
07302,Jersey City,Hudson County,"56,220"
07728,Freehold,Monmouth County,"55,984"
08831,Monroe Township,Middlesex County,"55,658"
07470,Wayne,Passaic County,"54,112"
07306,Jersey City,Hudson County,"54,017"
07003,Bloomfield,Essex County,"53,771"
07104,Newark,Essex County,"52,266"
07304,Jersey City,Hudson County,"51,306"
08540,Princeton,Mercer County,"50,388"
08081,Sicklerville,Camden County,"50,264"
08816,East Brunswick,Middlesex County,"49,360"
08021,Clementon,Camden County,"49,305"
08817,Edison,Middlesex County,"49,020"
07052,West Orange,Essex County,"48,620"
07060,Plainfield,Union County,"48,363"
08053,Marlton,Burlington County,"48,179"
08234,Egg Harbor Township,Atlantic County,"47,339"
08302,Bridgeton,Cumberland County,"47,279"
07960,Morristown,Morris County,"46,702"
07601,Hackensack,Bergen County,"46,057"
08054,Mount Laurel,Burlington County,"46,026"
07036,Linden,Union County,"45,671"
08360,Vineland,Cumberland County,"45,038"
07202,Elizabeth,Union County,"44,968"
07726,Englishtown,Monmouth County,"44,764"
08844,Hillsborough,Somerset County,"44,463"
08902,North Brunswick,Middlesex County,"43,932"
07107,Newark,Essex County,"43,293"
07307,Jersey City,Hudson County,"42,645"
08724,Brick,Ocean County,"42,345"
07666,Teaneck,Bergen County,"41,876"
08012,Blackwood,Camden County,"41,812"
08094,Williamstown,Gloucester County,"41,595"
07017,East Orange,Essex County,"40,910"
08857,Old Bridge,Middlesex County,"40,891"
07032,Kearny,Hudson County,"40,614"
07731,Howell,Monmouth County,"40,322"
07712,Asbury Park,Monmouth County,"40,194"
07024,Fort Lee,Bergen County,"40,024"
08820,Edison,Middlesex County,"39,978"
08807,Bridgewater,Somerset County,"39,560"
08401,Atlantic City,Atlantic County,"38,925"
07011,Clifton,Passaic County,"38,587"
08080,Sewell,Gloucester County,"38,159"
07109,Belleville,Essex County,"37,984"
07753,Neptune,Monmouth County,"37,297"
07103,Newark,Essex County,"37,293"
07106,Newark,Essex County,"36,383"
08757,Toms River,Ocean County,"36,087"
08618,Trenton,Mercer County,"35,634"
07410,Fair Lawn,Bergen County,"35,610"
07501,Paterson,Passaic County,"35,481"
08096,Woodbury,Gloucester County,"35,336"
08332,Millville,Cumberland County,"35,228"
08016,Burlington,Burlington County,"34,920"
08759,Manchester Township,Ocean County,"34,237"
07050,Orange,Essex County,"34,181"
08610,Trenton,Mercer County,"33,465"
07740,Long Branch,Monmouth County,"32,917"
07026,Garfield,Bergen County,"32,783"
08822,Flemington,Hunterdon County,"32,556"
07747,Matawan,Middlesex County,"32,330"
08723,Brick,Ocean County,"32,141"
07840,Hackettstown,Warren County,"32,105"
08611,Trenton,Mercer County,"31,995"
08046,Willingboro,Burlington County,"31,981"
07208,Elizabeth,Union County,"31,937"
07206,Elizabethport,Union County,"31,930"
08003,Cherry Hill,Camden County,"31,809"
07039,Livingston,Essex County,"31,488"
08865,Phillipsburg,Warren County,"31,427"
08648,Lawrence Township,Mercer County,"31,323"
08043,Voorhees,Camden County,"31,191"
07090,Westfield,Union County,"31,111"
07013,Clifton,Passaic County,"30,811"
08075,Riverside,Burlington County,"30,615"
07065,Rahway,Union County,"30,109"
07110,Nutley,Essex County,"29,980"
08330,Mays Landing,Atlantic County,"29,972"
08755,Toms River,Ocean County,"29,670"
07631,Englewood,Bergen County,"29,638"
08520,Hightstown,Mercer County,"29,504"
07054,Parsippany,Morris County,"29,480"
07112,Newark,Essex County,"29,456"
08055,Medford,Burlington County,"29,109"
07018,East Orange,Essex County,"28,924"
08205,Absecon,Atlantic County,"28,877"
07108,Newark,Essex County,"28,790"
07920,Basking Ridge,Somerset County,"28,753"
07748,Middletown,Monmouth County,"28,633"
07201,Elizabeth,Union County,"28,467"
07621,Bergenfield,Bergen County,"28,450"
07424,Little Falls,Passaic County,"28,085"
08050,Manahawkin,Ocean County,"28,053"
07675,Westwood,Bergen County,"27,349"
07042,Montclair,Essex County,"27,326"
07801,Dover,Morris County,"27,128"
08005,Barnegat,Ocean County,"26,866"
07006,Caldwell,Essex County,"26,654"
07652,Paramus,Bergen County,"26,568"
08105,Camden,Camden County,"26,483"
07450,Ridgewood,Bergen County,"26,308"
07644,Lodi,Bergen County,"26,082"
07860,Newton,Sussex County,"26,047"
07869,Randolph,Morris County,"26,022"
08060,Mount Holly,Burlington County,"25,835"
07010,Cliffside Park,Bergen County,"25,781"
08742,Point Pleasant Beach,Ocean County,"25,732"
07040,Maplewood,Essex County,"25,613"
07008,Carteret,Middlesex County,"25,526"
07430,Mahwah,Bergen County,"25,491"
08859,Parlin,Middlesex County,"25,448"
08087,Tuckerton,Ocean County,"25,342"
08028,Glassboro,Gloucester County,"25,098"
07076,Scotch Plains,Union County,"24,843"
07080,South Plainfield,Middlesex County,"24,411"
07701,Red Bank,Monmouth County,"24,376"
07901,Summit,Union County,"24,314"
08088,Vincentown,Burlington County,"24,215"
08619,Trenton,Mercer County,"24,089"
07016,Cranford,Union County,"24,074"
08109,Merchantville,Camden County,"24,022"
07724,Eatontown,Monmouth County,"24,016"
08002,Cherry Hill,Camden County,"24,015"
07508,Haledon,Passaic County,"23,762"
08879,South Amboy,Middlesex County,"23,556"
08037,Hammonton,Atlantic County,"23,514"
08876,Somerville,Somerset County,"23,380"
07522,Paterson,Passaic County,"23,040"
07029,Harrison,Hudson County,"22,866"
08638,Trenton,Mercer County,"22,816"
08721,Bayville,Ocean County,"22,783"
07866,Rockaway,Morris County,"22,663"
07203,Roselle,Union County,"22,646"
07071,Lyndhurst,Bergen County,"22,463"
07205,Hillside,Union County,"22,349"
08085,Swedesboro,Gloucester County,"22,340"
08104,Camden,Camden County,"22,148"
07719,Belmar,Monmouth County,"22,138"
07094,Secaucus,Hudson County,"21,778"
07950,Morris Plains,Morris County,"21,651"
08731,Forked River,Ocean County,"21,629"
08057,Moorestown,Burlington County,"21,529"
07871,Sparta,Sussex County,"21,437"
07407,Elmwood Park,Bergen County,"21,412"
07751,Morganville,Monmouth County,"21,109"
08550,Princeton Junction,Mercer County,"21,067"
08034,Cherry Hill,Camden County,"20,901"
08536,Plainsboro,Middlesex County,"20,817"
07095,Woodbridge,Middlesex County,"20,756"
07514,Paterson,Passaic County,"20,647"
08077,Riverton,Burlington County,"20,613"
07650,Palisades Park,Bergen County,"20,290"
08872,Sayreville,Middlesex County,"20,204"
08052,Maple Shade,Burlington County,"20,127"
07928,Chatham,Morris County,"19,974"
08232,Pleasantville,Atlantic County,"19,887"
07506,Hawthorne,Passaic County,"19,628"
08015,Browns Mills,Burlington County,"19,567"
08830,Iselin,Middlesex County,"19,551"
08837,Edison,Middlesex County,"19,437"
07503,Paterson,Passaic County,"19,170"
07735,Keyport,Monmouth County,"19,159"
