ZIP,City,County,Population
11368,Corona,Queens County,"105,716"
11208,Brooklyn,Kings County,"105,428"
11385,Ridgewood,Queens County,"101,704"
11373,Elmhurst,Queens County,"98,403"
10467,Bronx,Bronx County,"96,421"
11226,Brooklyn,Kings County,"95,144"
11219,Brooklyn,Kings County,"94,196"
10314,Staten Island,Richmond County,"93,915"
11207,Brooklyn,Kings County,"93,198"
10025,New York,New York County,"93,065"
11206,Brooklyn,Kings County,"93,020"
11221,Brooklyn,Kings County,"91,588"
11220,Brooklyn,Kings County,"90,652"
11214,Brooklyn,Kings County,"89,397"
11212,Brooklyn,Kings County,"89,020"
11236,Brooklyn,Kings County,"88,051"
10456,Bronx,Bronx County,"87,533"
11230,Brooklyn,Kings County,"86,978"
11234,Brooklyn,Kings County,"83,187"
11233,Brooklyn,Kings County,"81,822"
11377,Woodside,Queens County,"81,690"
11355,Flushing,Queens County,"80,801"
11204,Brooklyn,Kings County,"79,800"
10457,Bronx,Bronx County,"79,543"
11235,Brooklyn,Kings County,"78,558"
11229,Brooklyn,Kings County,"78,377"
11223,Brooklyn,Kings County,"78,093"
10029,New York,New York County,"77,447"
10002,New York,New York County,"76,873"
11375,Forest Hills,Queens County,"76,839"
10462,Bronx,Bronx County,"76,320"
10453,Bronx,Bronx County,"76,282"
10452,Bronx,Bronx County,"75,682"
10468,Bronx,Bronx County,"75,557"
10458,Bronx,Bronx County,"74,898"
11203,Brooklyn,Kings County,"74,817"
11218,Brooklyn,Kings County,"72,042"
10977,Spring Valley,Rockland County,"71,571"
10466,Bronx,Bronx County,"71,116"
11209,Brooklyn,Kings County,"71,004"
10701,Yonkers,Westchester County,"70,676"
11201,Brooklyn,Kings County,"70,674"
11215,Brooklyn,Kings County,"70,441"
10463,Bronx,Bronx County,"69,470"
10023,New York,New York County,"69,455"
11691,Far Rockaway,Queens County,"69,359"
11706,Bay Shore,Suffolk County,"68,976"
11213,Brooklyn,Kings County,"68,846"
14850,Ithaca,Tompkins County,"68,610"
10469,Bronx,Bronx County,"68,521"
11434,Jamaica,Queens County,"68,263"
10950,Monroe,Orange County,"68,136"
11746,Huntington Station,Suffolk County,"65,747"
11211,Brooklyn,Kings County,"65,314"
11372,Jackson Heights,Queens County,"64,756"
10472,Bronx,Bronx County,"64,011"
10027,New York,New York County,"63,885"
10312,Staten Island,Richmond County,"63,469"
10024,New York,New York County,"63,115"
11432,Jamaica,Queens County,"62,892"
10031,New York,New York County,"61,058"
11550,Hempstead,Nassau County,"60,960"
11216,Brooklyn,Kings County,"60,685"
10009,New York,New York County,"60,209"
10460,Bronx,Bronx County,"59,396"
10473,Bronx,Bronx County,"58,855"
11238,Brooklyn,Kings County,"58,345"
11225,Brooklyn,Kings County,"58,158"
10128,New York,New York County,"57,976"
11210,Brooklyn,Kings County,"57,915"
10306,Staten Island,Richmond County,"57,428"
11435,Jamaica,Queens County,"56,826"
10032,New York,New York County,"55,610"
14221,Buffalo,Erie County,"55,255"
12550,Newburgh,Orange County,"55,152"
10033,New York,New York County,"54,838"
11758,Massapequa,Nassau County,"54,375"
14580,Webster,Monroe County,"54,180"
10940,Middletown,Orange County,"53,611"
10003,New York,New York County,"53,560"
12180,Troy,Rensselaer County,"53,479"
11354,Flushing,Queens County,"53,028"
10016,New York,New York County,"52,971"
10461,Bronx,Bronx County,"52,012"
11205,Brooklyn,Kings County,"51,676"
10451,Bronx,Bronx County,"50,942"
11224,Brooklyn,Kings County,"50,822"
14094,Lockport,Niagara County,"50,153"
11420,South Ozone Park,Queens County,"49,415"
10028,New York,New York County,"49,077"
10011,New York,New York County,"48,277"
10459,Bronx,Bronx County,"48,270"
10952,Monsey,Rockland County,"48,019"
11249,Brooklyn,Kings County,"47,728"
11590,Westbury,Nassau County,"47,599"
11419,South Richmond Hill,Queens County,"47,441"
11374,Rego Park,Queens County,"46,989"
11413,Springfield Gardens,Queens County,"45,965"
10304,Staten Island,Richmond County,"45,658"
10465,Bronx,Bronx County,"45,404"
11237,Brooklyn,Kings County,"45,334"
11003,Elmont,Nassau County,"45,174"
12065,Clifton Park,Saratoga County,"45,116"
11772,Patchogue,Suffolk County,"45,023"
10019,New York,New York County,"44,942"
11520,Freeport,Nassau County,"44,910"
10455,Bronx,Bronx County,"44,801"
14075,Hamburg,Erie County,"44,520"
11757,Lindenhurst,Suffolk County,"44,413"
14120,North Tonawanda,Niagara County,"44,241"
12601,Poughkeepsie,Dutchess County,"44,164"
11217,Brooklyn,Kings County,"43,490"
11743,Huntington,Suffolk County,"43,490"
11357,Whitestone,Queens County,"43,346"
11580,Valley Stream,Nassau County,"43,092"
13760,Endicott,Broome County,"42,896"
11222,Brooklyn,Kings County,"42,853"
10801,New Rochelle,Westchester County,"42,754"
14450,Fairport,Monroe County,"42,750"
11756,Levittown,Nassau County,"42,665"
10475,Bronx,Bronx County,"42,578"
14215,Buffalo,Erie County,"42,524"
11365,Fresh Meadows,Queens County,"42,322"
12603,Poughkeepsie,Dutchess County,"42,304"
11228,Brooklyn,Kings County,"42,241"
11101,Long Island City,Queens County,"42,219"
11040,New Hyde Park,Nassau County,"41,988"
11801,Hicksville,Nassau County,"41,585"
13440,Rome,Oneida County,"41,555"
10305,Staten Island,Richmond County,"41,270"
14150,Tonawanda,Erie County,"41,260"
14224,Buffalo,Erie County,"41,219"
10301,Staten Island,Richmond County,"41,052"
11106,Astoria,Queens County,"40,930"
11367,Flushing,Queens County,"40,923"
10573,Port Chester,Westchester County,"40,786"
11704,West Babylon,Suffolk County,"40,706"
11421,Woodhaven,Queens County,"40,612"
14609,Rochester,Monroe County,"40,274"
10583,Scarsdale,Westchester County,"40,207"
10040,New York,New York County,"40,096"
12866,Saratoga Springs,Saratoga County,"40,057"
10021,New York,New York County,"39,868"
11412,Saint Albans,Queens County,"39,828"
10454,Bronx,Bronx County,"39,570"
11722,Central Islip,Suffolk County,"39,033"
