ZIP,City,County,Population
27587,Wake Forest,Wake County,"82,886"
28027,Concord,Cabarrus County,"81,772"
27610,Raleigh,Wake County,"81,419"
28269,Charlotte,Mecklenburg County,"79,586"
28277,Charlotte,Mecklenburg County,"73,882"
28078,Huntersville,Mecklenburg County,"71,657"
27519,Cary,Wake County,"69,836"
28215,Charlotte,Mecklenburg County,"66,674"
28173,Waxhaw,Union County,"65,274"
27616,Raleigh,Wake County,"63,520"
27703,Durham,Durham County,"63,458"
27526,Fuquay Varina,Harnett County,"61,588"
27406,Greensboro,Guilford County,"60,651"
28227,Charlotte,Mecklenburg County,"60,482"
27713,Durham,Durham County,"59,197"
27858,Greenville,Pitt County,"58,774"
28025,Concord,Cabarrus County,"58,334"
27284,Kernersville,Forsyth County,"58,065"
28216,Charlotte,Mecklenburg County,"57,507"
28110,Monroe,Union County,"56,971"
27834,Greenville,Pitt County,"56,347"
28314,Fayetteville,Cumberland County,"55,834"
27529,Garner,Wake County,"55,242"
28655,Morganton,Burke County,"55,100"
27410,Greensboro,Guilford County,"54,921"
27405,Greensboro,Guilford County,"54,303"
27603,Raleigh,Wake County,"53,972"
28601,Hickory,Catawba County,"53,329"
28205,Charlotte,Mecklenburg County,"51,806"
27407,Greensboro,Guilford County,"51,697"
27707,Durham,Durham County,"51,274"
28273,Charlotte,Mecklenburg County,"50,966"
27107,Winston Salem,Davidson County,"50,769"
28262,Charlotte,Mecklenburg County,"50,003"
27705,Durham,Durham County,"49,923"
27106,Winston Salem,Forsyth County,"49,670"
27360,Thomasville,Davidson County,"49,510"
28540,Jacksonville,Onslow County,"49,141"
28117,Mooresville,Iredell County,"48,826"
27265,High Point,Guilford County,"48,798"
27502,Apex,Wake County,"48,530"
27520,Clayton,Johnston County,"48,014"
27540,Holly Springs,Wake County,"47,771"
28210,Charlotte,Mecklenburg County,"47,359"
27516,Chapel Hill,Orange County,"47,358"
28546,Jacksonville,Onslow County,"47,256"
27215,Burlington,Alamance County,"47,102"
27513,Cary,Wake County,"46,979"
28451,Leland,Brunswick County,"46,933"
28105,Matthews,Mecklenburg County,"46,817"
27615,Raleigh,Wake County,"46,019"
28645,Lenoir,Caldwell County,"45,997"
28213,Charlotte,Mecklenburg County,"45,904"
27606,Raleigh,Wake County,"45,444"
27613,Raleigh,Wake County,"45,235"
28376,Raeford,Hoke County,"44,880"
27604,Raleigh,Wake County,"44,514"
28412,Wilmington,New Hanover County,"44,166"
28214,Charlotte,Mecklenburg County,"43,837"
28115,Mooresville,Iredell County,"43,544"
28806,Asheville,Buncombe County,"43,433"
28306,Fayetteville,Cumberland County,"43,042"
28079,Indian Trail,Union County,"43,035"
28212,Charlotte,Mecklenburg County,"42,440"
27612,Raleigh,Wake County,"41,952"
28054,Gastonia,Gaston County,"41,707"
27127,Winston Salem,Forsyth County,"41,443"
27217,Burlington,Alamance County,"41,406"
27909,Elizabeth City,Pasquotank County,"40,869"
27560,Morrisville,Wake County,"40,792"
27105,Winston Salem,Forsyth County,"40,678"
28092,Lincolnton,Lincoln County,"40,350"
28403,Wilmington,New Hanover County,"40,319"
27292,Lexington,Davidson County,"40,311"
28208,Charlotte,Mecklenburg County,"40,197"
27704,Durham,Durham County,"40,102"
27330,Sanford,Lee County,"39,778"
28625,Statesville,Iredell County,"39,574"
28226,Charlotte,Mecklenburg County,"39,381"
27295,Lexington,Davidson County,"39,267"
27527,Clayton,Johnston County,"39,256"
28348,Hope Mills,Cumberland County,"39,196"
28562,New Bern,Craven County,"39,082"
27320,Reidsville,Rockingham County,"38,896"
28677,Statesville,Iredell County,"38,819"
27893,Wilson,Wilson County,"38,512"
27530,Goldsboro,Wayne County,"37,634"
28278,Charlotte,Mecklenburg County,"37,420"
28411,Wilmington,New Hanover County,"37,233"
28304,Fayetteville,Cumberland County,"37,140"
27205,Asheboro,Randolph County,"36,947"
27332,Sanford,Lee County,"36,947"
28792,Hendersonville,Henderson County,"36,645"
28104,Matthews,Union County,"36,641"
28311,Fayetteville,Cumberland County,"36,629"
28052,Gastonia,Gaston County,"36,272"
27030,Mount Airy,Surry County,"36,241"
28056,Gastonia,Gaston County,"36,200"
28409,Wilmington,New Hanover County,"36,163"
28607,Boone,Watauga County,"35,679"
27609,Raleigh,Wake County,"35,573"
28405,Wilmington,New Hanover County,"35,467"
27302,Mebane,Alamance County,"35,418"
27614,Raleigh,Wake County,"34,226"
27545,Knightdale,Wake County,"34,163"
28211,Charlotte,Mecklenburg County,"33,925"
28803,Asheville,Buncombe County,"33,718"
27103,Winston Salem,Forsyth County,"33,325"
27511,Cary,Wake County,"33,221"
27253,Graham,Alamance County,"33,114"
28358,Lumberton,Robeson County,"33,071"
27514,Chapel Hill,Orange County,"32,951"
28270,Charlotte,Mecklenburg County,"32,448"
28217,Charlotte,Mecklenburg County,"32,064"
27104,Winston Salem,Forsyth County,"31,783"
28031,Cornelius,Mecklenburg County,"31,733"
28146,Salisbury,Rowan County,"31,292"
28602,Hickory,Catawba County,"31,113"
28303,Fayetteville,Cumberland County,"30,965"
27804,Rocky Mount,Nash County,"30,713"
27012,Clemmons,Forsyth County,"30,543"
27534,Goldsboro,Wayne County,"30,415"
28715,Candler,Buncombe County,"30,328"
28752,Marion,McDowell County,"30,292"
27597,Zebulon,Wake County,"30,184"
27591,Wendell,Wake County,"29,838"
28734,Franklin,Macon County,"29,659"
27517,Chapel Hill,Chatham County,"29,564"
28086,Kings Mountain,Cleveland County,"29,460"
27455,Greensboro,Guilford County,"29,302"
28081,Kannapolis,Cabarrus County,"29,075"
28037,Denver,Lincoln County,"28,768"
28560,New Bern,Craven County,"28,661"
28112,Monroe,Union County,"28,461"
27607,Raleigh,Wake County,"28,438"
28443,Hampstead,Pender County,"28,416"
27577,Smithfield,Johnston County,"28,354"
27262,High Point,Guilford County,"28,353"
28150,Shelby,Cleveland County,"28,142"
28083,Kannapolis,Cabarrus County,"28,095"
28144,Salisbury,Rowan County,"27,977"
27278,Hillsborough,Orange County,"27,925"
28590,Winterville,Pitt County,"27,471"
28328,Clinton,Sampson County,"26,927"
27028,Mocksville,Davie County,"26,566"
28012,Belmont,Gaston County,"26,556"
28001,Albemarle,Stanly County,"26,424"
28658,Newton,Catawba County,"26,336"
28152,Shelby,Cleveland County,"26,134"
28326,Cameron,Harnett County,"26,068"
27539,Apex,Wake County,"25,878"
28147,Salisbury,Rowan County,"25,812"
28120,Mount Holly,Gaston County,"25,805"
28804,Asheville,Buncombe County,"25,776"
28681,Taylorsville,Alexander County,"25,566"
27549,Louisburg,Franklin County,"25,543"
27260,High Point,Guilford County,"25,299"
27870,Roanoke Rapids,Halifax County,"24,958"
27501,Angier,Harnett County,"24,806"
27701,Durham,Durham County,"24,793"
27537,Henderson,Vance County,"24,708"
27889,Washington,Beaufort County,"24,371"
28209,Charlotte,Mecklenburg County,"24,331"
27712,Durham,Durham County,"24,299"
28704,Arden,Buncombe County,"24,138"
28390,Spring Lake,Harnett County,"24,000"
28352,Laurinburg,Scotland County,"23,837"
27565,Oxford,Granville County,"23,826"
28461,Southport,Brunswick County,"23,762"
28379,Rockingham,Richmond County,"23,417"
28613,Conover,Catawba County,"23,357"
27312,Pittsboro,Chatham County,"23,341"
27203,Asheboro,Randolph County,"23,224"
27101,Winston Salem,Forsyth County,"22,973"
28036,Davidson,Mecklenburg County,"22,963"
27288,Eden,Rockingham County,"22,926"
28334,Dunn,Sampson County,"22,873"
28787,Weaverville,Buncombe County,"22,809"
27403,Greensboro,Guilford County,"22,557"
27596,Youngsville,Franklin County,"22,232"
28570,Newport,Carteret County,"22,197"
28786,Waynesville,Haywood County,"22,056"
28401,Wilmington,New Hanover County,"22,007"
27401,Greensboro,Guilford County,"21,920"
27576,Selma,Johnston County,"21,624"
28075,Harrisburg,Cabarrus County,"21,517"
27263,High Point,Randolph County,"21,446"
28659,North Wilkesboro,Wilkes County,"21,422"
27546,Lillington,Harnett County,"21,419"
28547,Camp Lejeune,Onslow County,"21,346"
27592,Willow Spring,Wake County,"21,114"
28574,Richlands,Onslow County,"20,990"
28043,Forest City,Rutherford County,"20,930"
28532,Havelock,Craven County,"20,908"
28739,Hendersonville,Henderson County,"20,843"
28906,Murphy,Cherokee County,"20,526"
28504,Kinston,Lenoir County,"20,407"
27523,Apex,Chatham County,"20,269"
27617,Raleigh,Wake County,"20,237"
27803,Rocky Mount,Nash County,"20,055"
28139,Rutherfordton,Rutherford County,"20,008"
28805,Asheville,Buncombe County,"19,993"
28712,Brevard,Transylvania County,"19,977"
28312,Fayetteville,Cumberland County,"19,793"
28374,Pinehurst,Moore County,"19,782"
27518,Cary,Wake County,"19,735"
27801,Rocky Mount,Edgecombe County,"19,532"
27896,Wilson,Wilson County,"19,455"
28327,Carthage,Moore County,"19,386"
28630,Granite Falls,Caldwell County,"19,382"
28732,Fletcher,Henderson County,"19,279"
27344,Siler City,Chatham County,"19,198"
28034,Dallas,Gaston County,"18,979"
28203,Charlotte,Mecklenburg County,"18,823"
27886,Tarboro,Edgecombe County,"18,381"
28539,Hubert,Onslow County,"18,351"
28779,Sylva,Jackson County,"18,064"
27317,Randleman,Randolph County,"17,870"
28202,Charlotte,Mecklenburg County,"17,653"
28501,Kinston,Lenoir County,"17,642"
27409,Greensboro,Guilford County,"17,551"
27525,Franklinton,Franklin County,"17,110"
27021,King,Stokes County,"17,106"
27856,Nashville,Nash County,"17,081"
27504,Benson,Johnston County,"17,079"
28164,Stanley,Gaston County,"16,874"
28716,Canton,Haywood County,"16,863"
28301,Fayetteville,Cumberland County,"16,798"
28472,Whiteville,Columbus County,"16,780"
27408,Greensboro,Guilford County,"16,519"
28714,Burnsville,Yancey County,"16,397"
27244,Elon,Alamance County,"16,329"
27006,Advance,Davie County,"16,247"
28387,Southern Pines,Moore County,"16,059"
28365,Mount Olive,Duplin County,"15,999"
27282,Jamestown,Guilford County,"15,927"
27358,Summerfield,Guilford County,"15,685"
28023,China Grove,Rowan County,"15,495"
28206,Charlotte,Mecklenburg County,"15,375"
27536,Henderson,Vance County,"15,298"
28557,Morehead City,Carteret County,"15,253"
28791,Hendersonville,Henderson County,"15,108"
27370,Trinity,Randolph County,"15,001"
28584,Swansboro,Carteret County,"14,939"
27574,Roxboro,Person County,"14,928"
27214,Browns Summit,Guilford County,"14,766"
28801,Asheville,Buncombe County,"14,691"
27055,Yadkinville,Yadkin County,"14,674"
27023,Lewisville,Forsyth County,"14,414"
27958,Moyock,Currituck County,"14,408"
28307,Fort Liberty,Cumberland County,"14,263"
28315,Aberdeen,Moore County,"14,084"
28551,La Grange,Lenoir County,"14,078"
27524,Four Oaks,Johnston County,"13,999"
27510,Carrboro,Orange County,"13,868"
28021,Cherryville,Gaston County,"13,865"
27249,Gibsonville,Guilford County,"13,741"
27863,Pikeville,Wayne County,"13,729"
28778,Swannanoa,Buncombe County,"13,536"
28460,Sneads Ferry,Onslow County,"13,532"
28697,Wilkesboro,Wilkes County,"13,412"
28467,Calabash,Brunswick County,"13,313"
27892,Williamston,Martin County,"13,262"
28134,Pineville,Mecklenburg County,"13,245"
28016,Bessemer City,Gaston County,"13,109"
27522,Creedmoor,Granville County,"13,083"
28364,Maxton,Robeson County,"12,819"
28723,Cullowhee,Jackson County,"12,756"
28650,Maiden,Catawba County,"12,746"
27932,Edenton,Chowan County,"12,745"
27040,Pfafftown,Forsyth County,"12,665"
28711,Black Mountain,Buncombe County,"12,663"
27608,Raleigh,Wake County,"12,604"
28360,Lumberton,Robeson County,"12,550"
27025,Madison,Rockingham County,"12,537"
28372,Pembroke,Robeson County,"12,483"
27948,Kill Devil Hills,Dare County,"12,436"
28345,Hamlet,Richmond County,"12,372"
28638,Hudson,Caldwell County,"12,363"
28462,Supply,Brunswick County,"12,340"
28748,Leicester,Buncombe County,"12,230"
28166,Troutman,Iredell County,"11,875"
28580,Snow Hill,Greene County,"11,644"
28377,Red Springs,Hoke County,"11,590"
27573,Roxboro,Person County,"11,537"
28457,Rocky Point,Pender County,"11,464"
28425,Burgaw,Pender County,"11,380"
28384,Saint Pauls,Robeson County,"11,379"
27944,Hertford,Perquimans County,"11,358"
28612,Connelly Springs,Burke County,"11,290"
28516,Beaufort,Carteret County,"11,289"
28470,Shallotte,Brunswick County,"11,219"
27301,McLeansville,Guilford County,"11,067"
27377,Whitsett,Guilford County,"10,885"
27045,Rural Hall,Forsyth County,"10,863"
28445,Holly Ridge,Onslow County,"10,797"
28103,Marshville,Union County,"10,714"
28721,Clyde,Haywood County,"10,698"
28513,Ayden,Pitt County,"10,573"
28333,Dudley,Wayne County,"10,534"
27052,Walnut Cove,Stokes County,"10,506"
27910,Ahoskie,Hertford County,"10,487"
28168,Vale,Lincoln County,"10,484"
28469,Ocean Isle Beach,Brunswick County,"10,404"
28753,Marshall,Madison County,"10,389"
28138,Rockwell,Rowan County,"10,271"
28107,Midland,Cabarrus County,"10,244"
28610,Claremont,Catawba County,"10,192"
28777,Spruce Pine,Mitchell County,"10,178"
28170,Wadesboro,Anson County,"10,103"
27298,Liberty,Randolph County,"10,090"
27017,Dobson,Surry County,"10,085"
28422,Bolivia,Brunswick County,"10,059"
28904,Hayesville,Clay County,"10,050"
27357,Stokesdale,Rockingham County,"9,922"
27601,Raleigh,Wake County,"9,905"
27542,Kenly,Johnston County,"9,850"
28754,Mars Hill,Madison County,"9,682"
28429,Castle Hayne,New Hanover County,"9,662"
28310,Fort Liberty,Cumberland County,"9,583"
28174,Wingate,Union County,"9,573"
28207,Charlotte,Mecklenburg County,"9,527"
28621,Elkin,Surry County,"9,403"
27376,West End,Moore County,"9,317"
28204,Charlotte,Mecklenburg County,"9,314"
28340,Fairmont,Robeson County,"9,265"
28690,Valdese,Burke County,"9,196"
27571,Rolesville,Wake County,"9,095"
28466,Wallace,Duplin County,"8,893"
27569,Princeton,Johnston County,"8,833"
28465,Oak Island,Brunswick County,"8,756"
28731,Flat Rock,Henderson County,"8,672"
27557,Middlesex,Nash County,"8,657"
27310,Oak Ridge,Guilford County,"8,622"
28127,New London,Stanly County,"8,506"
28713,Bryson City,Swain County,"8,425"
27882,Spring Hope,Nash County,"8,358"
28337,Elizabethtown,Bladen County,"8,357"
28785,Waynesville,Haywood County,"8,311"
27041,Pilot Mountain,Surry County,"8,303"
28097,Locust,Stanly County,"8,303"
27949,Kitty Hawk,Dare County,"8,251"
28657,Newland,Avery County,"8,188"
27505,Broadway,Harnett County,"8,152"
28761,Nebo,McDowell County,"8,150"
27983,Windsor,Bertie County,"8,007"
28586,Vanceboro,Craven County,"7,992"
28320,Bladenboro,Bladen County,"7,962"
27239,Denton,Davidson County,"7,954"
27828,Farmville,Pitt County,"7,909"
27051,Walkertown,Forsyth County,"7,873"
28604,Banner Elk,Watauga County,"7,869"
27822,Elm City,Wilson County,"7,838"
27817,Chocowinity,Beaufort County,"7,834"
27048,Stoneville,Rockingham County,"7,814"
27313,Pleasant Garden,Guilford County,"7,781"
27509,Butner,Granville County,"7,766"
28518,Beulaville,Duplin County,"7,651"
28694,West Jefferson,Ashe County,"7,626"
28080,Iron Station,Lincoln County,"7,606"
28730,Fairview,Buncombe County,"7,605"
27371,Troy,Montgomery County,"7,572"
28771,Robbinsville,Graham County,"7,567"
28759,Mills River,Henderson County,"7,555"
28463,Tabor City,Columbus County,"7,522"
27018,East Bend,Yadkin County,"7,388"
28090,Lawndale,Cleveland County,"7,268"
27583,Timberlake,Person County,"7,242"
27954,Manteo,Dare County,"7,237"
28428,Carolina Beach,New Hanover County,"7,136"
28114,Mooresboro,Cleveland County,"7,104"
27316,Ramseur,Randolph County,"7,084"
27349,Snow Camp,Alamance County,"7,061"
28371,Parkton,Robeson County,"7,055"
27850,Littleton,Halifax County,"7,053"
27962,Plymouth,Washington County,"7,043"
28124,Mount Pleasant,Cabarrus County,"7,010"
28040,Ellenboro,Rutherford County,"6,961"
28382,Roseboro,Sampson County,"6,961"
28339,Erwin,Harnett County,"6,894"
28673,Sherrills Ford,Catawba County,"6,874"
28383,Rowland,Robeson County,"6,825"
28719,Cherokee,Swain County,"6,786"
28768,Pisgah Forest,Transylvania County,"6,759"
28675,Sparta,Alleghany County,"6,745"
27589,Warrenton,Warren County,"6,739"
27325,Robbins,Moore County,"6,737"
28705,Bakersville,Mitchell County,"6,732"
28572,Pink Hill,Duplin County,"6,658"
28609,Catawba,Catawba County,"6,615"
28762,Old Fort,McDowell County,"6,599"
28128,Norwood,Stanly County,"6,587"
28479,Winnabow,Brunswick County,"6,581"
28356,Linden,Cumberland County,"6,579"
27013,Cleveland,Rowan County,"6,575"
27823,Enfield,Halifax County,"6,553"
27521,Coats,Harnett County,"6,549"
28782,Tryon,Polk County,"6,519"
28163,Stanfield,Stanly County,"6,491"
27837,Grimesland,Pitt County,"6,489"
28530,Grifton,Pitt County,"6,484"
28398,Warsaw,Duplin County,"6,417"
27258,Haw River,Alamance County,"6,391"
27043,Pinnacle,Stokes County,"6,295"
27605,Raleigh,Wake County,"6,286"
27020,Hamptonville,Yadkin County,"6,207"
27572,Rougemont,Person County,"6,131"
28722,Columbus,Polk County,"6,086"
28543,Tarawa Terrace,Onslow County,"6,069"
28391,Stedman,Cumberland County,"5,963"
27807,Bailey,Nash County,"5,958"
28394,Vass,Moore County,"5,936"
28555,Maysville,Onslow County,"5,914"
