ZIP,City,County,Population
58104,Fargo,Cass County,"49,168"
58103,Fargo,Cass County,"48,796"
58201,Grand Forks,Grand Forks County,"42,373"
58078,West Fargo,Cass County,"40,631"
58503,Bismarck,Burleigh County,"37,683"
58801,Williston,Williams County,"34,277"
58701,Minot,Ward County,"33,086"
58102,Fargo,Cass County,"32,912"
58504,Bismarck,Burleigh County,"30,212"
58601,Dickinson,Stark County,"29,916"
58554,Mandan,Morton County,"29,479"
58501,Bismarck,Burleigh County,"29,405"
58703,Minot,Ward County,"22,139"
58401,Jamestown,Stutsman County,"17,189"
58203,Grand Forks,Grand Forks County,"16,478"
58301,Devils Lake,Ramsey County,"10,100"
58854,Watford City,McKenzie County,"9,368"
58075,Wahpeton,Richland County,"9,046"
58072,Valley City,Barnes County,"7,863"
58316,Belcourt,Rolette County,"5,865"
58047,Horace,Cass County,"5,636"
58237,Grafton,Walsh County,"4,994"
58704,Minot Afb,Ward County,"4,616"
58763,New Town,Mountrail County,"4,426"
58318,Bottineau,Bottineau County,"3,792"
58368,Rugby,Pierce County,"3,415"
58054,Lisbon,Ransom County,"3,400"
58545,Hazen,Mercer County,"3,313"
58523,Beulah,Mercer County,"3,280"
58012,Casselton,Cass County,"3,049"
58421,Carrington,Foster County,"2,969"
58202,Grand Forks,Grand Forks County,"2,865"
58105,Fargo,Cass County,"2,825"
58329,Dunseith,Rolette County,"2,769"
58784,Stanley,Mountrail County,"2,756"
58474,Oakes,Dickey County,"2,656"
58540,Garrison,McLean County,"2,634"
58341,Harvey,Wells County,"2,572"
58220,Cavalier,Pembina County,"2,268"
58045,Hillsboro,Traill County,"2,239"
58249,Langdon,Cavalier County,"2,217"
58257,Mayville,Traill County,"2,180"
58538,Fort Yates,Sioux County,"2,171"
58278,Thompson,Grand Forks County,"2,168"
58852,Tioga,Williams County,"2,087"
58251,Larimore,Grand Forks County,"2,016"
58051,Kindred,Cass County,"1,980"
58563,New Salem,Morton County,"1,961"
58577,Washburn,McLean County,"1,954"
58623,Bowman,Bowman County,"1,953"
58204,Grand Forks Afb,Grand Forks County,"1,834"
58270,Park River,Walsh County,"1,816"
58785,Surrey,Ward County,"1,816"
58639,Hettinger,Adams County,"1,762"
58436,Ellendale,Dickey County,"1,697"
58059,Mapleton,Cass County,"1,670"
58622,Belfield,Billings County,"1,653"
58790,Velva,McHenry County,"1,638"
58356,New Rockford,Eddy County,"1,627"
58267,Northwood,Grand Forks County,"1,569"
58746,Kenmare,Ward County,"1,556"
58552,Linton,Emmons County,"1,531"
58027,Enderlin,Ransom County,"1,530"
58367,Rolla,Rolette County,"1,453"
58261,Minto,Walsh County,"1,442"
58053,Lidgerwood,Richland County,"1,409"
58041,Hankinson,Richland County,"1,389"
58425,Cooperstown,Griggs County,"1,384"
58640,Killdeer,Dunn County,"1,369"
58770,Parshall,Mountrail County,"1,369"
58722,Burlington,Ward County,"1,366"
58042,Harwood,Cass County,"1,344"
58282,Walhalla,Pembina County,"1,321"
58324,Cando,Towner County,"1,320"
58730,Crosby,Divide County,"1,306"
58652,Richardton,Stark County,"1,244"
58335,Fort Totten,Benson County,"1,177"
58621,Beach,Golden Valley County,"1,161"
58646,Mott,Hettinger County,"1,161"
58433,Edgeley,LaMoure County,"1,159"
58060,Milnor,Sargent County,"1,149"
58530,Center,Oliver County,"1,144"
58495,Wishek,McIntosh County,"1,129"
58344,Lakota,Nelson County,"1,115"
58370,Saint Michael,Benson County,"1,108"
58849,Ray,Williams County,"1,101"
58831,Alexander,McKenzie County,"1,089"
58369,Saint John,Rolette County,"1,069"
58576,Underwood,McLean County,"1,063"
58225,Drayton,Pembina County,"1,053"
58647,New England,Slope County,"1,053"
