ZIP,City,County,Population
73099,Yukon,Canadian County,"91,014"
74012,Broken Arrow,Tulsa County,"65,060"
73160,Oklahoma City,Cleveland County,"62,690"
73013,Edmond,Oklahoma County,"58,023"
74055,Owasso,Tulsa County,"51,381"
73072,Norman,Cleveland County,"50,881"
73034,Edmond,Oklahoma County,"48,831"
74133,Tulsa,Tulsa County,"48,699"
73505,Lawton,Comanche County,"47,790"
73012,Edmond,Oklahoma County,"46,993"
74014,Broken Arrow,Wagoner County,"45,212"
73071,Norman,Cleveland County,"43,798"
73170,Oklahoma City,Cleveland County,"41,458"
73401,Ardmore,Carter County,"36,833"
73120,Oklahoma City,Oklahoma County,"35,559"
74008,Bixby,Tulsa County,"34,006"
74011,Broken Arrow,Tulsa County,"33,900"
74074,Stillwater,Payne County,"32,422"
73110,Oklahoma City,Oklahoma County,"32,348"
74066,Sapulpa,Creek County,"32,292"
74820,Ada,Pontotoc County,"31,943"
73159,Oklahoma City,Oklahoma County,"31,447"
74136,Tulsa,Tulsa County,"31,416"
74063,Sand Springs,Tulsa County,"31,370"
74464,Tahlequah,Cherokee County,"31,116"
73703,Enid,Garfield County,"30,556"
73119,Oklahoma City,Oklahoma County,"30,398"
73112,Oklahoma City,Oklahoma County,"30,372"
74403,Muskogee,Muskogee County,"29,217"
74017,Claremore,Rogers County,"29,206"
73064,Mustang,Canadian County,"28,919"
73162,Oklahoma City,Oklahoma County,"28,728"
74501,Mcalester,Pittsburg County,"28,616"
74137,Tulsa,Tulsa County,"28,533"
73069,Norman,Cleveland County,"28,462"
74006,Bartlesville,Washington County,"27,911"
73132,Oklahoma City,Oklahoma County,"27,834"
73533,Duncan,Stephens County,"27,618"
74701,Durant,Bryan County,"27,497"
74105,Tulsa,Tulsa County,"26,951"
74075,Stillwater,Payne County,"26,451"
73127,Oklahoma City,Oklahoma County,"25,865"
73107,Oklahoma City,Oklahoma County,"25,791"
73020,Choctaw,Oklahoma County,"25,645"
73044,Guthrie,Logan County,"25,398"
74037,Jenks,Tulsa County,"24,547"
73701,Enid,Garfield County,"24,476"
74115,Tulsa,Tulsa County,"24,297"
74021,Collinsville,Tulsa County,"23,628"
74134,Tulsa,Tulsa County,"23,323"
73003,Edmond,Oklahoma County,"23,236"
74804,Shawnee,Pottawatomie County,"23,227"
73135,Oklahoma City,Oklahoma County,"22,022"
74801,Shawnee,Pottawatomie County,"21,967"
73010,Blanchard,Grady County,"21,521"
73130,Oklahoma City,Oklahoma County,"21,476"
73008,Bethany,Oklahoma County,"21,472"
73036,El Reno,Canadian County,"21,387"
74112,Tulsa,Tulsa County,"21,386"
73109,Oklahoma City,Oklahoma County,"21,378"
73507,Lawton,Comanche County,"21,046"
74019,Claremore,Rogers County,"21,023"
73018,Chickasha,Grady County,"20,505"
73501,Lawton,Comanche County,"20,397"
73115,Oklahoma City,Oklahoma County,"20,225"
73521,Altus,Jackson County,"20,155"
74135,Tulsa,Tulsa County,"20,138"
73129,Oklahoma City,Oklahoma County,"20,014"
74107,Tulsa,Tulsa County,"19,013"
74601,Ponca City,Kay County,"18,916"
74129,Tulsa,Tulsa County,"18,382"
74145,Tulsa,Tulsa County,"18,196"
73139,Oklahoma City,Oklahoma County,"17,920"
73114,Oklahoma City,Oklahoma County,"17,656"
74361,Pryor,Mayes County,"17,612"
73142,Oklahoma City,Oklahoma County,"17,548"
74354,Miami,Ottawa County,"17,208"
73025,Edmond,Logan County,"16,914"
74429,Coweta,Wagoner County,"16,622"
74146,Tulsa,Tulsa County,"16,507"
74127,Tulsa,Osage County,"16,324"
74401,Muskogee,Muskogee County,"15,951"
74114,Tulsa,Tulsa County,"15,944"
74447,Okmulgee,Okmulgee County,"15,786"
74106,Tulsa,Tulsa County,"15,655"
74070,Skiatook,Osage County,"15,447"
74110,Tulsa,Tulsa County,"15,244"
73108,Oklahoma City,Oklahoma County,"14,919"
73801,Woodward,Woodward County,"14,892"
74344,Grove,Delaware County,"14,876"
74467,Wagoner,Wagoner County,"14,400"
73096,Weatherford,Custer County,"14,364"
