ZIP,City,County,Population
97229,Portland,Washington County,"76,106"
97301,Salem,Marion County,"57,574"
97045,Oregon City,Clackamas County,"57,526"
97702,Bend,Deschutes County,"54,657"
97124,Hillsboro,Washington County,"54,357"
97402,Eugene,Lane County,"53,823"
97504,Medford,Jackson County,"51,089"
97223,Portland,Washington County,"50,527"
97206,Portland,Multnomah County,"49,890"
97401,Eugene,Lane County,"49,437"
97080,Gresham,Multnomah County,"48,411"
97123,Hillsboro,Washington County,"48,410"
97007,Beaverton,Washington County,"47,895"
97405,Eugene,Lane County,"46,933"
97006,Beaverton,Washington County,"46,463"
97305,Salem,Marion County,"45,083"
97756,Redmond,Deschutes County,"44,914"
97501,Medford,Jackson County,"44,670"
97330,Corvallis,Benton County,"43,878"
97230,Portland,Multnomah County,"43,553"
97202,Portland,Multnomah County,"43,533"
97701,Bend,Deschutes County,"43,293"
97219,Portland,Multnomah County,"42,430"
97302,Salem,Marion County,"40,799"
97303,Salem,Marion County,"40,659"
97478,Springfield,Lane County,"39,373"
97128,Mcminnville,Yamhill County,"38,664"
97030,Gresham,Multnomah County,"37,708"
97236,Portland,Multnomah County,"37,558"
97477,Springfield,Lane County,"37,534"
97527,Grants Pass,Josephine County,"37,330"
97224,Portland,Washington County,"36,569"
97322,Albany,Linn County,"36,408"
97222,Portland,Clackamas County,"36,398"
97233,Portland,Multnomah County,"36,236"
97526,Grants Pass,Josephine County,"36,036"
97266,Portland,Multnomah County,"35,423"
97217,Portland,Multnomah County,"35,169"
97304,Salem,Polk County,"34,879"
97086,Happy Valley,Clackamas County,"34,567"
97306,Salem,Marion County,"34,383"
97355,Lebanon,Linn County,"34,292"
97404,Eugene,Lane County,"34,244"
97703,Bend,Deschutes County,"34,108"
97211,Portland,Multnomah County,"33,769"
97603,Klamath Falls,Klamath County,"33,222"
97071,Woodburn,Marion County,"33,123"
97203,Portland,Multnomah County,"33,116"
97132,Newberg,Yamhill County,"32,486"
97471,Roseburg,Douglas County,"32,334"
97213,Portland,Multnomah County,"31,408"
97267,Portland,Clackamas County,"31,311"
97321,Albany,Linn County,"30,672"
97068,West Linn,Clackamas County,"30,161"
97116,Forest Grove,Washington County,"29,800"
97502,Central Point,Jackson County,"29,067"
97062,Tualatin,Washington County,"28,930"
97008,Beaverton,Washington County,"28,611"
97838,Hermiston,Umatilla County,"28,512"
97005,Beaverton,Washington County,"28,311"
97212,Portland,Multnomah County,"28,042"
97140,Sherwood,Washington County,"27,933"
97003,Beaverton,Washington County,"27,811"
97214,Portland,Multnomah County,"27,714"
97420,Coos Bay,Coos County,"27,621"
97220,Portland,Multnomah County,"27,202"
97070,Wilsonville,Clackamas County,"26,902"
97520,Ashland,Jackson County,"26,512"
97317,Salem,Marion County,"25,966"
97035,Lake Oswego,Clackamas County,"25,911"
97225,Portland,Washington County,"25,869"
97078,Beaverton,Washington County,"25,662"
97015,Clackamas,Clackamas County,"24,433"
97013,Canby,Clackamas County,"24,293"
97333,Corvallis,Benton County,"23,934"
97338,Dallas,Polk County,"23,419"
97601,Klamath Falls,Klamath County,"22,964"
97754,Prineville,Crook County,"22,960"
97209,Portland,Multnomah County,"22,296"
97060,Troutdale,Multnomah County,"21,649"
97801,Pendleton,Umatilla County,"21,575"
97034,Lake Oswego,Clackamas County,"21,331"
97058,The Dalles,Wasco County,"20,360"
97055,Sandy,Clackamas County,"19,786"
97914,Ontario,Malheur County,"19,713"
97470,Roseburg,Douglas County,"19,711"
97031,Hood River,Hood River County,"19,138"
97424,Cottage Grove,Lane County,"18,357"
97103,Astoria,Clatsop County,"17,993"
97239,Portland,Multnomah County,"17,804"
97051,Saint Helens,Columbia County,"17,347"
97215,Portland,Multnomah County,"17,296"
97850,La Grande,Union County,"16,903"
97201,Portland,Multnomah County,"16,887"
97216,Portland,Multnomah County,"16,638"
97038,Molalla,Clackamas County,"16,440"
97113,Cornelius,Washington County,"16,268"
97439,Florence,Lane County,"16,025"
97232,Portland,Multnomah County,"15,615"
97218,Portland,Multnomah County,"15,428"
97408,Eugene,Lane County,"15,420"
97381,Silverton,Marion County,"15,405"
97403,Eugene,Lane County,"15,355"
97386,Sweet Home,Linn County,"15,225"
97089,Damascus,Clackamas County,"15,101"
97524,Eagle Point,Jackson County,"15,078"
97459,North Bend,Coos County,"14,835"
97415,Brookings,Curry County,"14,586"
97361,Monmouth,Polk County,"14,488"
97448,Junction City,Lane County,"14,323"
97503,White City,Jackson County,"13,938"
97741,Madras,Jefferson County,"13,663"
97739,La Pine,Deschutes County,"13,183"
97141,Tillamook,Tillamook County,"13,086"
97221,Portland,Multnomah County,"12,915"
97056,Scappoose,Columbia County,"12,795"
97814,Baker City,Baker County,"12,590"
97027,Gladstone,Clackamas County,"12,347"
97862,Milton Freewater,Umatilla County,"12,313"
97023,Estacada,Clackamas County,"12,111"
97024,Fairview,Multnomah County,"12,007"
97351,Independence,Polk County,"11,454"
97210,Portland,Multnomah County,"11,324"
97367,Lincoln City,Lincoln County,"11,158"
97365,Newport,Lincoln County,"11,066"
