ZIP,City,County,Population
19124,Philadelphia,Philadelphia County,"71,004"
17603,Lancaster,Lancaster County,"67,571"
19120,Philadelphia,Philadelphia County,"66,469"
19111,Philadelphia,Philadelphia County,"66,283"
19143,Philadelphia,Philadelphia County,"62,572"
19446,Lansdale,Montgomery County,"61,848"
19149,Philadelphia,Philadelphia County,"56,914"
19020,Bensalem,Bucks County,"56,809"
17331,Hanover,York County,"56,443"
15601,Greensburg,Westmoreland County,"56,425"
17601,Lancaster,Lancaster County,"56,382"
19320,Coatesville,Chester County,"55,941"
19104,Philadelphia,Philadelphia County,"55,172"
19382,West Chester,Chester County,"54,127"
19067,Morrisville,Bucks County,"53,885"
19335,Downingtown,Chester County,"53,629"
19134,Philadelphia,Philadelphia County,"53,594"
19140,Philadelphia,Philadelphia County,"53,385"
17602,Lancaster,Lancaster County,"52,217"
18102,Allentown,Lehigh County,"51,001"
19144,Philadelphia,Philadelphia County,"50,580"
19148,Philadelphia,Philadelphia County,"50,400"
15301,Washington,Washington County,"50,348"
19380,West Chester,Chester County,"49,856"
19464,Pottstown,Montgomery County,"49,101"
18103,Allentown,Lehigh County,"48,746"
18104,Allentown,Lehigh County,"48,683"
15642,Irwin,Westmoreland County,"46,325"
17543,Lititz,Lancaster County,"45,912"
18042,Easton,Northampton County,"45,532"
19460,Phoenixville,Chester County,"45,423"
19403,Norristown,Montgomery County,"44,017"
15317,Canonsburg,Washington County,"43,871"
19131,Philadelphia,Philadelphia County,"43,776"
15237,Pittsburgh,Allegheny County,"43,588"
17050,Mechanicsburg,Cumberland County,"43,571"
19426,Collegeville,Montgomery County,"43,460"
19145,Philadelphia,Philadelphia County,"43,440"
19401,Norristown,Montgomery County,"43,359"
18974,Warminster,Bucks County,"43,122"
17701,Williamsport,Lycoming County,"43,104"
19139,Philadelphia,Philadelphia County,"43,090"
15108,Coraopolis,Allegheny County,"42,799"
17055,Mechanicsburg,Cumberland County,"42,006"
18702,Wilkes Barre,Luzerne County,"41,970"
19121,Philadelphia,Philadelphia County,"41,574"
19082,Upper Darby,Delaware County,"41,541"
19146,Philadelphia,Philadelphia County,"41,058"
16801,State College,Centre County,"40,774"
18017,Bethlehem,Northampton County,"40,640"
17403,York,York County,"40,287"
17042,Lebanon,Lebanon County,"40,161"
19147,Philadelphia,Philadelphia County,"39,704"
17011,Camp Hill,Cumberland County,"39,664"
17404,York,York County,"39,374"
16001,Butler,Butler County,"39,234"
17013,Carlisle,Cumberland County,"38,513"
17112,Harrisburg,Dauphin County,"38,502"
19063,Media,Delaware County,"38,172"
19128,Philadelphia,Philadelphia County,"38,039"
19083,Havertown,Delaware County,"37,590"
17402,York,York County,"37,466"
17111,Harrisburg,Dauphin County,"36,744"
18951,Quakertown,Bucks County,"36,568"
19601,Reading,Berks County,"36,479"
18966,Southampton,Bucks County,"36,370"
19136,Philadelphia,Philadelphia County,"36,262"
15068,New Kensington,Westmoreland County,"36,203"
19152,Philadelphia,Philadelphia County,"35,955"
19606,Reading,Berks County,"35,853"
19115,Philadelphia,Philadelphia County,"35,279"
19013,Chester,Delaware County,"35,064"
18015,Bethlehem,Northampton County,"34,852"
19047,Langhorne,Bucks County,"34,563"
15235,Pittsburgh,Allegheny County,"33,951"
16066,Cranberry Township,Butler County,"33,873"
17522,Ephrata,Lancaster County,"33,852"
19135,Philadelphia,Philadelphia County,"33,803"
19154,Philadelphia,Philadelphia County,"33,796"
19116,Philadelphia,Philadelphia County,"33,654"
17202,Chambersburg,Franklin County,"33,566"
19087,Wayne,Chester County,"33,528"
16601,Altoona,Blair County,"33,515"
19151,Philadelphia,Philadelphia County,"33,267"
19132,Philadelphia,Philadelphia County,"33,006"
18018,Bethlehem,Lehigh County,"32,965"
19026,Drexel Hill,Delaware County,"32,725"
19141,Philadelphia,Philadelphia County,"32,385"
19038,Glenside,Montgomery County,"32,296"
19002,Ambler,Montgomery County,"32,128"
18201,Hazleton,Luzerne County,"32,067"
15001,Aliquippa,Beaver County,"31,976"
17022,Elizabethtown,Lancaster County,"31,908"
17046,Lebanon,Lebanon County,"31,835"
15236,Pittsburgh,Allegheny County,"31,313"
15701,Indiana,Indiana County,"31,269"
18704,Kingston,Luzerne County,"31,149"
19138,Philadelphia,Philadelphia County,"30,821"
16101,New Castle,Lawrence County,"30,767"
15213,Pittsburgh,Allegheny County,"30,466"
18045,Easton,Northampton County,"30,429"
19114,Philadelphia,Philadelphia County,"30,411"
17325,Gettysburg,Adams County,"30,373"
19406,King Of Prussia,Montgomery County,"30,362"
15102,Bethel Park,Allegheny County,"30,344"
19604,Reading,Berks County,"30,124"
19130,Philadelphia,Philadelphia County,"30,116"
18360,Stroudsburg,Monroe County,"30,080"
15401,Uniontown,Fayette County,"29,942"
17815,Bloomsburg,Columbia County,"29,790"
18940,Newtown,Bucks County,"29,626"
