ZIP,City,County,Population
02860,Pawtucket,Providence County,"47,818"
02909,Providence,Providence County,"46,014"
02895,Woonsocket,Providence County,"43,521"
02908,Providence,Providence County,"39,500"
02920,Cranston,Providence County,"37,155"
02864,Cumberland,Providence County,"36,820"
02816,Coventry,Kent County,"33,298"
02904,Providence,Providence County,"32,531"
02907,Providence,Providence County,"31,461"
02886,Warwick,Kent County,"31,293"
02893,West Warwick,Kent County,"31,173"
02919,Johnston,Providence County,"29,802"
02861,Pawtucket,Providence County,"28,124"
02889,Warwick,Kent County,"27,516"
02906,Providence,Providence County,"26,380"
02905,Providence,Providence County,"25,012"
02910,Cranston,Providence County,"23,499"
02840,Newport,Newport County,"23,448"
02852,North Kingstown,Washington County,"23,406"
02863,Central Falls,Providence County,"22,701"
02809,Bristol,Bristol County,"22,220"
02914,East Providence,Providence County,"21,834"
02879,Wakefield,Washington County,"21,802"
02891,Westerly,Washington County,"21,587"
02818,East Greenwich,Kent County,"19,786"
02888,Warwick,Kent County,"19,134"
02865,Lincoln,Providence County,"18,447"
02871,Portsmouth,Newport County,"17,488"
02806,Barrington,Bristol County,"17,126"
02842,Middletown,Newport County,"16,832"
02915,Riverside,Providence County,"16,752"
02878,Tiverton,Newport County,"16,189"
02911,North Providence,Providence County,"15,653"
02917,Smithfield,Providence County,"15,293"
02882,Narragansett,Washington County,"13,091"
02921,Cranston,Providence County,"12,149"
02903,Providence,Providence County,"11,836"
02896,North Smithfield,Providence County,"11,583"
02885,Warren,Bristol County,"11,144"
02916,Rumford,Providence County,"8,695"
02857,North Scituate,Providence County,"8,262"
02813,Charlestown,Washington County,"8,051"
02881,Kingston,Washington County,"7,687"
02814,Chepachet,Providence County,"7,587"
02828,Greenville,Providence County,"7,023"
02859,Pascoag,Providence County,"7,018"
02817,West Greenwich,Kent County,"6,647"
02830,Harrisville,Providence County,"6,637"
02822,Exeter,Washington County,"6,539"
02874,Saunderstown,Washington County,"6,379"
02825,Foster,Providence County,"6,107"
02892,West Kingston,Washington County,"5,768"
02835,Jamestown,Newport County,"5,534"
02832,Hope Valley,Washington County,"4,998"
02912,Providence,Providence County,"4,836"
02838,Manville,Providence County,"3,740"
02837,Little Compton,Newport County,"3,584"
02831,Hope,Providence County,"3,483"
02918,Providence,Providence County,"2,925"
02808,Bradford,Washington County,"2,657"
02804,Ashaway,Washington County,"2,609"
02827,Greene,Kent County,"2,469"
02898,Wyoming,Washington County,"1,912"
02839,Mapleville,Providence County,"1,525"
02812,Carolina,Washington County,"1,479"
02841,Newport,Newport County,"1,426"
02894,Wood River Junction,Washington County,831
02826,Glendale,Providence County,831
02807,Block Island,Washington County,777
02858,Oakland,Providence County,738
02802,Albion,Providence County,677
02833,Hopkinton,Washington County,499
02824,Forestdale,Providence County,448
02876,Slatersville,Providence County,355
02815,Clayville,Providence County,161
02872,Prudence Island,Newport County,156
02873,Rockville,Washington County,124
02836,Kenyon,Washington County,104
02823,Fiskeville,Providence County,59
02829,Harmony,Providence County,51
02875,Shannock,Washington County,44
