ZIP,City,County,Population
29072,Lexington,Lexington County,"69,407"
29681,Simpsonville,Greenville County,"68,650"
29445,Goose Creek,Berkeley County,"59,227"
29483,Summerville,Dorchester County,"59,186"
29485,Summerville,Dorchester County,"58,507"
29730,Rock Hill,York County,"58,199"
29732,Rock Hill,York County,"57,675"
29579,Myrtle Beach,Horry County,"56,915"
29651,Greer,Greenville County,"56,599"
29526,Conway,Horry County,"54,130"
29486,Summerville,Berkeley County,"53,975"
29720,Lancaster,Lancaster County,"53,584"
29073,Lexington,Lexington County,"53,156"
29223,Columbia,Richland County,"53,074"
29464,Mount Pleasant,Charleston County,"53,045"
29910,Bluffton,Beaufort County,"53,019"
29588,Myrtle Beach,Horry County,"52,609"
29229,Columbia,Richland County,"51,861"
29501,Florence,Florence County,"48,673"
29715,Fort Mill,York County,"46,865"
29621,Anderson,Anderson County,"46,482"
29607,Greenville,Greenville County,"46,209"
29466,Mount Pleasant,Charleston County,"44,942"
29687,Taylors,Greenville County,"44,861"
29414,Charleston,Charleston County,"44,727"
29461,Moncks Corner,Berkeley County,"43,816"
29708,Fort Mill,York County,"43,515"
29650,Greer,Greenville County,"42,493"
29456,Ladson,Charleston County,"41,214"
29605,Greenville,Greenville County,"40,717"
29803,Aiken,Aiken County,"40,699"
29203,Columbia,Richland County,"40,653"
29710,Clover,York County,"40,595"
29210,Columbia,Richland County,"39,962"
29412,Charleston,Charleston County,"39,256"
29349,Inman,Spartanburg County,"39,083"
29615,Greenville,Greenville County,"38,811"
29150,Sumter,Sumter County,"38,538"
29063,Irmo,Richland County,"38,201"
29209,Columbia,Richland County,"38,041"
29707,Fort Mill,Lancaster County,"37,629"
29642,Easley,Anderson County,"36,852"
29407,Charleston,Charleston County,"36,706"
29301,Spartanburg,Spartanburg County,"36,278"
29680,Simpsonville,Greenville County,"35,770"
29577,Myrtle Beach,Horry County,"35,446"
29745,York,York County,"34,909"
29576,Murrells Inlet,Horry County,"34,695"
29640,Easley,Pickens County,"33,142"
29316,Boiling Springs,Spartanburg County,"33,104"
29611,Greenville,Greenville County,"32,365"
29841,North Augusta,Aiken County,"32,342"
29609,Greenville,Greenville County,"32,292"
29406,Charleston,Charleston County,"32,001"
29045,Elgin,Kershaw County,"31,372"
29801,Aiken,Aiken County,"31,108"
29673,Piedmont,Greenville County,"30,461"
29016,Blythewood,Richland County,"30,454"
29550,Hartsville,Darlington County,"29,924"
29154,Sumter,Sumter County,"29,454"
29527,Conway,Horry County,"28,451"
29303,Spartanburg,Spartanburg County,"28,381"
29625,Anderson,Anderson County,"28,012"
29646,Greenwood,Greenwood County,"27,902"
29212,Columbia,Lexington County,"27,657"
29455,Johns Island,Charleston County,"27,576"
29115,Orangeburg,Orangeburg County,"27,450"
29440,Georgetown,Georgetown County,"27,319"
29036,Chapin,Lexington County,"26,620"
29617,Greenville,Greenville County,"26,582"
29690,Travelers Rest,Greenville County,"26,358"
29649,Greenwood,Greenwood County,"26,275"
29405,North Charleston,Charleston County,"26,254"
29418,North Charleston,Charleston County,"26,052"
29906,Beaufort,Beaufort County,"25,342"
29201,Columbia,Richland County,"24,605"
29926,Hilton Head Island,Beaufort County,"24,458"
29909,Okatie,Beaufort County,"24,003"
29420,North Charleston,Dorchester County,"23,959"
29505,Florence,Florence County,"23,895"
29566,Little River,Horry County,"23,806"
29678,Seneca,Oconee County,"23,767"
29020,Camden,Kershaw County,"23,266"
29644,Fountain Inn,Greenville County,"22,907"
29488,Walterboro,Colleton County,"22,538"
29403,Charleston,Charleston County,"22,533"
29205,Columbia,Richland County,"22,223"
29360,Laurens,Laurens County,"22,085"
29169,West Columbia,Lexington County,"21,647"
29410,Hanahan,Berkeley County,"21,314"
29170,West Columbia,Lexington County,"21,247"
29053,Gaston,Lexington County,"21,076"
29506,Florence,Florence County,"20,777"
29340,Gaffney,Cherokee County,"20,763"
29575,Myrtle Beach,Horry County,"20,721"
29341,Gaffney,Cherokee County,"20,647"
29492,Charleston,Berkeley County,"20,436"
29582,North Myrtle Beach,Horry County,"20,158"
29302,Spartanburg,Spartanburg County,"19,918"
29532,Darlington,Darlington County,"19,857"
29206,Columbia,Richland County,"19,759"
29108,Newberry,Newberry County,"19,585"
29307,Spartanburg,Spartanburg County,"19,115"
29706,Chester,Chester County,"18,742"
29671,Pickens,Pickens County,"18,666"
29334,Duncan,Spartanburg County,"18,575"
29627,Belton,Anderson County,"18,274"
29860,North Augusta,Edgefield County,"18,201"
29204,Columbia,Richland County,"18,159"
29569,Loris,Horry County,"17,788"
29902,Beaufort,Beaufort County,"17,650"
29379,Union,Union County,"17,607"
29512,Bennettsville,Marlboro County,"17,197"
29568,Longs,Horry County,"17,097"
29585,Pawleys Island,Georgetown County,"16,966"
29388,Woodruff,Spartanburg County,"16,868"
29631,Clemson,Pickens County,"16,849"
29306,Spartanburg,Spartanburg County,"16,714"
29369,Moore,Spartanburg County,"16,503"
29657,Liberty,Pickens County,"16,390"
29078,Lugoff,Kershaw County,"16,283"
29669,Pelzer,Greenville County,"16,080"
29630,Central,Pickens County,"15,982"
29928,Hilton Head Island,Beaufort County,"15,785"
29102,Manning,Clarendon County,"15,698"
29070,Leesville,Lexington County,"15,657"
29323,Chesnee,Spartanburg County,"15,573"
29907,Beaufort,Beaufort County,"15,190"
29118,Orangeburg,Orangeburg County,"15,135"
29693,Westminster,Oconee County,"15,114"
29936,Ridgeland,Jasper County,"14,989"
29662,Mauldin,Greenville County,"14,950"
29536,Dillon,Dillon County,"14,907"
29153,Sumter,Sumter County,"14,434"
29325,Clinton,Laurens County,"14,362"
29365,Lyman,Spartanburg County,"14,068"
29626,Anderson,Anderson County,"13,928"
29601,Greenville,Greenville County,"13,790"
29697,Williamston,Anderson County,"13,581"
29624,Anderson,Anderson County,"13,498"
29571,Marion,Marion County,"13,457"
29520,Cheraw,Chesterfield County,"13,206"
29033,Cayce,Lexington County,"12,837"
29672,Seneca,Oconee County,"12,750"
29472,Ridgeville,Dorchester County,"12,722"
29061,Hopkins,Richland County,"12,538"
29829,Graniteville,Aiken County,"12,385"
29560,Lake City,Florence County,"12,277"
29572,Myrtle Beach,Horry County,"12,124"
29691,Walhalla,Oconee County,"12,084"
29010,Bishopville,Lee County,"11,861"
29180,Winnsboro,Fairfield County,"11,730"
29620,Abbeville,Abbeville County,"11,612"
29927,Hardeeville,Jasper County,"11,373"
29054,Gilbert,Lexington County,"11,174"
29812,Barnwell,Barnwell County,"11,132"
29067,Kershaw,Lancaster County,"11,116"
29654,Honea Path,Anderson County,"11,095"
29670,Pendleton,Anderson County,"11,084"
29645,Gray Court,Laurens County,"11,054"
29322,Campobello,Spartanburg County,"10,931"
29920,Saint Helena Island,Beaufort County,"10,606"
29556,Kingstree,Williamsburg County,"10,559"
29510,Andrews,Williamsburg County,"10,545"
29138,Saluda,Saluda County,"10,018"
29127,Prosperity,Newberry County,"9,920"
29702,Blacksburg,Cherokee County,"9,770"
29161,Timmonsville,Florence County,"9,688"
29574,Mullins,Marion County,"9,413"
29401,Charleston,Charleston County,"9,339"
29541,Effingham,Florence County,"9,326"
29006,Batesburg,Saluda County,"9,199"
29851,Warrenville,Aiken County,"9,070"
29728,Pageland,Chesterfield County,"9,043"
29172,West Columbia,Lexington County,"8,974"
29356,Landrum,Greenville County,"8,946"
29376,Roebuck,Spartanburg County,"8,935"
29040,Dalzell,Sumter County,"8,920"
29554,Hemingway,Georgetown County,"8,681"
29330,Cowpens,Cherokee County,"8,572"
29135,Saint Matthews,Calhoun County,"8,294"
29544,Galivants Ferry,Horry County,"8,252"
29385,Wellford,Spartanburg County,"8,180"
29842,Beech Island,Aiken County,"8,102"
29449,Hollywood,Charleston County,"8,024"
29207,Columbia,Richland County,"8,012"
29123,Pelion,Lexington County,"7,938"
29824,Edgefield,Edgefield County,"7,789"
29431,Bonneau,Berkeley County,"7,580"
29655,Iva,Abbeville County,"7,555"
29160,Swansea,Lexington County,"7,419"
29477,Saint George,Dorchester County,"7,176"
29565,Latta,Dillon County,"7,109"
29666,Ninety Six,Greenwood County,"6,894"
29835,McCormick,McCormick County,"6,887"
29511,Aynor,Horry County,"6,874"
29661,Marietta,Greenville County,"6,657"
