ZIP,City,County,Population
57106,Sioux Falls,Minnehaha County,"51,907"
57701,Rapid City,Pennington County,"45,795"
57702,Rapid City,Pennington County,"35,595"
57103,Sioux Falls,Minnehaha County,"35,582"
57108,Sioux Falls,Lincoln County,"33,966"
57401,Aberdeen,Brown County,"31,939"
57104,Sioux Falls,Minnehaha County,"26,963"
57201,Watertown,Codington County,"26,781"
57006,Brookings,Brookings County,"24,192"
57110,Sioux Falls,Minnehaha County,"23,313"
57105,Sioux Falls,Minnehaha County,"23,287"
57078,Yankton,Yankton County,"20,383"
57301,Mitchell,Davison County,"19,104"
57703,Rapid City,Pennington County,"18,013"
57501,Pierre,Hughes County,"17,326"
57783,Spearfish,Lawrence County,"17,248"
57350,Huron,Beadle County,"16,199"
57069,Vermillion,Clay County,"13,091"
57107,Sioux Falls,Minnehaha County,"12,605"
57005,Brandon,Minnehaha County,"12,290"
57719,Box Elder,Meade County,"12,221"
57785,Sturgis,Meade County,"10,874"
57032,Harrisburg,Lincoln County,"10,467"
57717,Belle Fourche,Butte County,"8,983"
57064,Tea,Lincoln County,"8,032"
57049,North Sioux City,Union County,"7,962"
57718,Black Hawk,Meade County,"7,937"
57042,Madison,Lake County,"7,756"
57747,Hot Springs,Fall River County,"5,839"
57730,Custer,Custer County,"5,596"
57033,Hartford,Minnehaha County,"5,576"
57770,Pine Ridge,Oglala Lakota County,"5,483"
57022,Dell Rapids,Minnehaha County,"5,339"
57262,Sisseton,Roberts County,"5,100"
57252,Milbank,Grant County,"4,883"
57013,Canton,Lincoln County,"4,504"
57580,Winner,Tripp County,"4,386"
57769,Piedmont,Meade County,"4,029"
57004,Beresford,Lincoln County,"3,834"
57625,Eagle Butte,Dewey County,"3,775"
57754,Lead,Lawrence County,"3,749"
57555,Mission,Todd County,"3,740"
57039,Lennox,Lincoln County,"3,622"
57028,Flandreau,Moody County,"3,450"
57601,Mobridge,Dewey County,"3,422"
57325,Chamberlain,Brule County,"3,335"
57380,Wagner,Charles Mix County,"3,316"
57071,Volga,Brookings County,"3,149"
57025,Elk Point,Union County,"3,120"
57532,Fort Pierre,Stanley County,"2,929"
57469,Redfield,Spink County,"2,866"
57706,Ellsworth Afb,Meade County,"2,787"
57369,Platte,Charles Mix County,"2,630"
57274,Webster,Day County,"2,621"
57366,Parkston,Hutchinson County,"2,598"
57030,Garretson,Minnehaha County,"2,510"
