ZIP,City,County,Population
37013,Antioch,Davidson County,"105,212"
37042,Clarksville,Montgomery County,"87,652"
37128,Murfreesboro,Rutherford County,"79,268"
37211,Nashville,Davidson County,"76,573"
37075,Hendersonville,Sumner County,"73,522"
37122,Mount Juliet,Wilson County,"68,492"
37064,Franklin,Williamson County,"67,513"
38401,Columbia,Maury County,"67,482"
37167,Smyrna,Rutherford County,"66,504"
37040,Clarksville,Montgomery County,"64,977"
37066,Gallatin,Sumner County,"64,650"
37129,Murfreesboro,Rutherford County,"63,652"
37027,Brentwood,Williamson County,"61,630"
37043,Clarksville,Montgomery County,"58,742"
37130,Murfreesboro,Rutherford County,"58,064"
38017,Collierville,Shelby County,"56,826"
37087,Lebanon,Wilson County,"56,655"
37174,Spring Hill,Maury County,"53,900"
38305,Jackson,Madison County,"53,488"
37421,Chattanooga,Hamilton County,"52,985"
37918,Knoxville,Knox County,"45,971"
37343,Hixson,Hamilton County,"45,101"
37920,Knoxville,Knox County,"44,995"
38016,Cordova,Shelby County,"44,136"
38134,Memphis,Shelby County,"43,947"
38002,Arlington,Shelby County,"43,882"
38125,Memphis,Shelby County,"43,071"
38501,Cookeville,Putnam County,"42,471"
38109,Memphis,Shelby County,"42,452"
38128,Memphis,Shelby County,"42,162"
37363,Ooltewah,Hamilton County,"42,093"
37221,Nashville,Davidson County,"41,935"
38111,Memphis,Shelby County,"41,934"
37207,Nashville,Davidson County,"41,366"
37660,Kingsport,Sullivan County,"40,996"
37115,Madison,Davidson County,"40,615"
37922,Knoxville,Knox County,"40,394"
38116,Memphis,Shelby County,"40,061"
38127,Memphis,Shelby County,"39,541"
38118,Memphis,Shelby County,"39,107"
37604,Johnson City,Washington County,"39,097"
37076,Hermitage,Davidson County,"39,017"
37086,La Vergne,Rutherford County,"38,872"
38018,Cordova,Shelby County,"38,527"
37620,Bristol,Sullivan County,"38,494"
38115,Memphis,Shelby County,"38,491"
37160,Shelbyville,Bedford County,"38,148"
37601,Johnson City,Washington County,"38,008"
37209,Nashville,Davidson County,"37,817"
37312,Cleveland,Bradley County,"36,669"
37814,Morristown,Hamblen County,"35,239"
37110,Mcminnville,Warren County,"34,296"
37643,Elizabethton,Carter County,"34,120"
37803,Maryville,Blount County,"33,822"
37876,Sevierville,Sevier County,"33,561"
38301,Jackson,Madison County,"33,536"
37830,Oak Ridge,Anderson County,"33,038"
37072,Goodlettsville,Davidson County,"32,208"
37323,Cleveland,Bradley County,"31,948"
37217,Nashville,Davidson County,"31,869"
37931,Knoxville,Knox County,"31,842"
37919,Knoxville,Knox County,"31,754"
37067,Franklin,Williamson County,"31,556"
37172,Springfield,Robertson County,"31,263"
37311,Cleveland,Bradley County,"30,720"
38135,Memphis,Shelby County,"30,317"
37923,Knoxville,Knox County,"30,131"
38506,Cookeville,Putnam County,"30,100"
37214,Nashville,Davidson County,"29,805"
37355,Manchester,Coffee County,"29,805"
37379,Soddy Daisy,Hamilton County,"29,430"
37849,Powell,Knox County,"29,375"
37659,Jonesborough,Washington County,"29,080"
37055,Dickson,Dickson County,"29,035"
37921,Knoxville,Knox County,"28,717"
37206,Nashville,Davidson County,"28,545"
37934,Farragut,Knox County,"28,272"
37664,Kingsport,Sullivan County,"28,267"
37801,Maryville,Blount County,"28,090"
37388,Tullahoma,Coffee County,"27,939"
37716,Clinton,Anderson County,"27,425"
37804,Maryville,Blount County,"27,382"
37148,Portland,Sumner County,"26,274"
38122,Memphis,Shelby County,"26,021"
38024,Dyersburg,Dyer County,"25,952"
38117,Memphis,Shelby County,"25,776"
37303,Athens,McMinn County,"25,688"
38583,Sparta,White County,"25,584"
37932,Knoxville,Knox County,"25,424"
38053,Millington,Shelby County,"25,303"
38138,Germantown,Shelby County,"25,167"
37865,Seymour,Sevier County,"25,074"
37205,Nashville,Davidson County,"24,823"
37091,Lewisburg,Marshall County,"24,747"
37917,Knoxville,Knox County,"24,615"
37743,Greeneville,Greene County,"24,548"
37135,Nolensville,Williamson County,"24,409"
37415,Chattanooga,Hamilton County,"24,181"
38141,Memphis,Shelby County,"23,952"
37334,Fayetteville,Lincoln County,"23,790"
38464,Lawrenceburg,Lawrence County,"23,504"
38119,Memphis,Shelby County,"23,464"
37821,Newport,Cocke County,"22,909"
37615,Johnson City,Washington County,"22,821"
38104,Memphis,Shelby County,"22,634"
37138,Old Hickory,Davidson County,"22,575"
37215,Nashville,Davidson County,"22,018"
37412,Chattanooga,Hamilton County,"21,864"
37774,Loudon,Loudon County,"21,784"
37862,Sevierville,Sevier County,"21,767"
37857,Rogersville,Hawkins County,"21,657"
38555,Crossville,Cumberland County,"21,584"
37912,Knoxville,Knox County,"21,505"
37127,Murfreesboro,Rutherford County,"21,499"
37914,Knoxville,Knox County,"21,478"
37203,Nashville,Davidson County,"21,442"
38133,Memphis,Shelby County,"21,278"
37745,Greeneville,Greene County,"21,090"
37321,Dayton,Rhea County,"21,084"
38106,Memphis,Shelby County,"20,962"
37208,Nashville,Davidson County,"20,889"
37212,Nashville,Davidson County,"20,592"
38114,Memphis,Shelby County,"20,298"
37069,Franklin,Williamson County,"20,209"
37090,Lebanon,Wilson County,"19,774"
38242,Paris,Henry County,"19,293"
37216,Nashville,Davidson County,"19,038"
37411,Chattanooga,Hamilton County,"18,997"
37015,Ashland City,Cheatham County,"18,988"
38478,Pulaski,Giles County,"18,943"
37766,La Follette,Campbell County,"18,554"
37725,Dandridge,Jefferson County,"18,301"
37813,Morristown,Hamblen County,"18,288"
38351,Lexington,Henderson County,"18,248"
37188,White House,Robertson County,"18,241"
37405,Chattanooga,Marion County,"18,109"
37179,Thompsons Station,Williamson County,"18,043"
37771,Lenoir City,Loudon County,"18,042"
38372,Savannah,Hardin County,"17,873"
37210,Nashville,Davidson County,"17,725"
37748,Harriman,Roane County,"17,575"
38108,Memphis,Shelby County,"17,562"
37938,Knoxville,Knox County,"17,437"
37083,Lafayette,Macon County,"17,364"
37354,Madisonville,Monroe County,"17,356"
37377,Signal Mountain,Hamilton County,"17,188"
37763,Kingston,Roane County,"16,984"
38112,Memphis,Shelby County,"16,809"
37909,Knoxville,Knox County,"16,774"
37874,Sweetwater,Monroe County,"16,567"
37204,Nashville,Davidson County,"16,469"
38139,Germantown,Shelby County,"16,466"
38261,Union City,Obion County,"16,385"
38063,Ripley,Lauderdale County,"15,958"
38343,Humboldt,Gibson County,"15,837"
38019,Covington,Tipton County,"15,760"
37398,Winchester,Franklin County,"15,755"
37166,Smithville,DeKalb County,"15,731"
38237,Martin,Weakley County,"15,627"
37341,Harrison,Hamilton County,"15,591"
37916,Knoxville,Knox County,"15,583"
37218,Nashville,Davidson County,"15,292"
37642,Church Hill,Hawkins County,"15,011"
37073,Greenbrier,Robertson County,"14,995"
37617,Blountville,Sullivan County,"14,744"
37404,Chattanooga,Hamilton County,"14,737"
38571,Crossville,Cumberland County,"14,678"
37772,Lenoir City,Loudon County,"14,646"
38103,Memphis,Shelby County,"14,534"
37924,Knoxville,Knox County,"14,420"
37721,Corryton,Knox County,"14,306"
37663,Kingsport,Sullivan County,"14,230"
37416,Chattanooga,Hamilton County,"13,919"
38107,Memphis,Shelby County,"13,912"
37062,Fairview,Williamson County,"13,851"
37327,Dunlap,Sequatchie County,"13,480"
37406,Chattanooga,Hamilton County,"13,364"
38120,Memphis,Shelby County,"13,309"
37760,Jefferson City,Jefferson County,"13,253"
38012,Brownsville,Haywood County,"13,031"
37683,Mountain City,Johnson County,"12,943"
38556,Jamestown,Fentress County,"12,936"
37777,Louisville,Blount County,"12,877"
38358,Milan,Gibson County,"12,874"
37650,Erwin,Unicoi County,"12,774"
