ZIP,City,County,Population
84043,Lehi,Utah County,"88,390"
84096,Herriman,Salt Lake County,"74,603"
84015,Clearfield,Davis County,"71,812"
84404,Ogden,Weber County,"66,587"
84074,Tooele,Tooele County,"59,706"
84003,American Fork,Utah County,"57,430"
84790,Saint George,Washington County,"55,892"
84041,Layton,Davis County,"55,180"
84005,Eagle Mountain,Utah County,"52,530"
84081,West Jordan,Salt Lake County,"52,314"
84321,Logan,Cache County,"51,702"
84120,West Valley City,Salt Lake County,"50,799"
84065,Riverton,Salt Lake County,"50,768"
84020,Draper,Salt Lake County,"50,278"
84119,West Valley City,Salt Lake County,"50,070"
84660,Spanish Fork,Utah County,"48,583"
84770,Saint George,Washington County,"48,397"
84401,Ogden,Weber County,"48,303"
84062,Pleasant Grove,Utah County,"47,813"
84010,Bountiful,Davis County,"46,871"
84045,Saratoga Springs,Utah County,"45,429"
84604,Provo,Utah County,"44,707"
84009,South Jordan,Salt Lake County,"44,186"
84118,Salt Lake City,Salt Lake County,"42,853"
84037,Kaysville,Davis County,"39,415"
84088,West Jordan,Salt Lake County,"39,228"
84121,Salt Lake City,Salt Lake County,"38,912"
84067,Roy,Weber County,"38,794"
84116,Salt Lake City,Salt Lake County,"38,625"
84095,South Jordan,Salt Lake County,"38,532"
84107,Salt Lake City,Salt Lake County,"38,257"
84403,Ogden,Weber County,"37,721"
84129,Salt Lake City,Salt Lake County,"37,442"
84047,Midvale,Salt Lake County,"37,411"
84123,Salt Lake City,Salt Lake County,"37,054"
84057,Orem,Utah County,"36,881"
84663,Springville,Utah County,"36,207"
84606,Provo,Utah County,"35,690"
84075,Syracuse,Davis County,"35,545"
84106,Salt Lake City,Salt Lake County,"35,213"
84058,Orem,Utah County,"35,099"
84405,Ogden,Weber County,"34,818"
84414,Ogden,Weber County,"34,334"
84780,Washington,Washington County,"32,366"
84601,Provo,Utah County,"32,330"
84128,West Valley City,Salt Lake County,"32,126"
84084,West Jordan,Salt Lake County,"31,542"
84078,Vernal,Uintah County,"30,975"
84721,Cedar City,Iron County,"30,641"
84070,Sandy,Salt Lake County,"30,472"
84044,Magna,Salt Lake County,"30,031"
84651,Payson,Utah County,"29,503"
84115,Salt Lake City,Salt Lake County,"28,882"
84040,Layton,Davis County,"28,509"
84092,Sandy,Salt Lake County,"27,651"
84094,Sandy,Salt Lake County,"27,507"
84302,Brigham City,Box Elder County,"27,053"
84032,Heber City,Wasatch County,"26,111"
84720,Cedar City,Iron County,"25,708"
84341,Logan,Cache County,"25,560"
84109,Salt Lake City,Salt Lake County,"25,544"
84025,Farmington,Davis County,"25,389"
84117,Salt Lake City,Salt Lake County,"24,980"
84737,Hurricane,Washington County,"24,359"
84093,Sandy,Salt Lake County,"23,871"
84103,Salt Lake City,Salt Lake County,"23,749"
84105,Salt Lake City,Salt Lake County,"23,491"
84104,Salt Lake City,Salt Lake County,"23,420"
84124,Salt Lake City,Salt Lake County,"22,609"
84108,Salt Lake City,Salt Lake County,"22,390"
84054,North Salt Lake,Davis County,"22,355"
84097,Orem,Utah County,"22,217"
84098,Park City,Summit County,"20,357"
84102,Salt Lake City,Salt Lake County,"18,777"
84655,Santaquin,Utah County,"18,278"
84059,Vineyard,Utah County,"17,616"
84087,Woods Cross,Davis County,"16,808"
84014,Centerville,Davis County,"16,679"
84335,Smithfield,Cache County,"16,210"
84337,Tremonton,Box Elder County,"16,199"
84066,Roosevelt,Duchesne County,"15,154"
84029,Grantsville,Tooele County,"14,869"
84653,Salem,Utah County,"13,051"
84501,Price,Carbon County,"13,042"
84664,Mapleton,Utah County,"13,032"
84111,Salt Lake City,Salt Lake County,"12,782"
84050,Morgan,Morgan County,"12,620"
84042,Lindon,Utah County,"11,725"
84319,Hyrum,Cache County,"10,931"
84532,Moab,Grand County,"10,585"
84004,Alpine,Utah County,"10,427"
84738,Ivins,Washington County,"10,050"
84315,Hooper,Weber County,"9,873"
84101,Salt Lake City,Salt Lake County,"9,381"
84036,Kamas,Summit County,"9,241"
84332,Providence,Cache County,"8,954"
84701,Richfield,Sevier County,"8,796"
84060,Park City,Summit County,"8,619"
84765,Santa Clara,Washington County,"8,152"
84648,Nephi,Juab County,"7,385"
84049,Midway,Wasatch County,"6,833"
84741,Kanab,Kane County,"6,373"
84339,Wellsville,Cache County,"6,295"
84627,Ephraim,Sanpete County,"6,244"
84624,Delta,Millard County,"5,948"
84318,Hyde Park,Cache County,"5,604"
84312,Garland,Box Elder County,"4,857"
84647,Mount Pleasant,Sanpete County,"4,770"
84310,Eden,Weber County,"4,577"
84745,La Verkin,Washington County,"4,476"
84017,Coalville,Summit County,"4,417"
84526,Helper,Carbon County,"4,388"
84511,Blanding,San Juan County,"4,382"
84713,Beaver,Beaver County,"4,330"
84754,Monroe,Sevier County,"4,298"
84056,Hill Afb,Davis County,"3,803"
84634,Gunnison,Sanpete County,"3,747"
84340,Willard,Box Elder County,"3,744"
84642,Manti,Sanpete County,"3,501"
84645,Mona,Juab County,"3,316"
84631,Fillmore,Millard County,"3,196"
84320,Lewiston,Cache County,"3,162"
84333,Richmond,Cache County,"3,093"
84021,Duchesne,Duchesne County,"3,069"
84761,Parowan,Iron County,"3,044"
84317,Huntsville,Weber County,"2,962"
84629,Fairview,Sanpete County,"2,907"
84112,Salt Lake City,Salt Lake County,"2,841"
84528,Huntington,Emery County,"2,752"
84535,Monticello,San Juan County,"2,731"
84654,Salina,Sevier County,"2,574"
84325,Mendon,Cache County,"2,525"
84534,Montezuma Creek,San Juan County,"2,473"
84774,Toquerville,Washington County,"2,344"
84602,Provo,Utah County,"2,340"
84759,Panguitch,Garfield County,"2,084"
84725,Enterprise,Washington County,"2,054"
84071,Stockton,Tooele County,"2,020"
84326,Millville,Cache County,"1,949"
84751,Milford,Beaver County,"1,896"
84646,Moroni,Sanpete County,"1,882"
84328,Paradise,Cache County,"1,681"
84324,Mantua,Box Elder County,"1,677"
84523,Ferron,Emery County,"1,638"
84542,Wellington,Carbon County,"1,624"
84055,Oakley,Summit County,"1,584"
