name,population,zcta
Loudoun County,37639,20105
Rappahannock County,4297,20106
Prince William County,45444,20109
Manassas city,49890,20110
Prince William County,38124,20111
Prince William County,30500,20112
Fauquier County,8173,20115
Loudoun County,2790,20117
Fauquier County,3416,20119
Fairfax County,42896,20120
Fairfax County,27788,20121
Fairfax County,14375,20124
Loudoun County,538,20129
Clarke County,271,20130
Loudoun County,19817,20132
Clarke County,3585,20135
Prince William County,32325,20136
Fauquier County,1938,20137
Loudoun County,8359,20141
Prince William County,1070,20143
Fauquier County,1340,20144
Loudoun County,67692,20147
Loudoun County,64021,20148
Fairfax County,22610,20151
Loudoun County,36674,20152
Prince William County,37486,20155
Loudoun County,4979,20158
Loudoun County,43436,20164
Loudoun County,34088,20165
Loudoun County,14949,20166
Prince William County,28089,20169
Fairfax County,43866,20170
Fairfax County,51286,20171
Loudoun County,34733,20175
Loudoun County,51471,20176
Loudoun County,7531,20180
Prince William County,10774,20181
Loudoun County,635,20184
Fauquier County,15703,20186
Fauquier County,18980,20187
Fairfax County,22012,20190
Fairfax County,31011,20191
Fairfax County,12275,20194
Loudoun County,1825,20197
Fauquier County,2251,20198
Fairfax County,57755,22003
Fairfax County,44647,22015
Prince William County,19356,22025
Prince William County,22897,22026
Fairfax County,1939,22027
Fairfax County,61332,22030
Fairfax County,37276,22031
Fairfax County,29240,22032
Fairfax County,39526,22033
Fairfax County,0,22035
Fairfax County,19626,22039
Fairfax County,29183,22041
Fairfax County,35483,22042
Fairfax County,25750,22043
Fairfax County,13996,22044
Falls Church city,18169,22046
Fairfax County,10641,22060
Fairfax County,17185,22066
Fairfax County,35284,22079
Fairfax County,30953,22101
Fairfax County,29184,22102
Fairfax County,18091,22124
Prince William County,681,22125
Stafford County,8310,22134
Fairfax County,27955,22150
Fairfax County,17017,22151
Fairfax County,28814,22152
Fairfax County,32664,22153
Prince William County,11490,22172
Fairfax County,26568,22180
Fairfax County,15760,22181
Fairfax County,27783,22182
Prince William County,73623,22191
Prince William County,59794,22192
Prince William County,81588,22193
Arlington County,37473,22201
Arlington County,27715,22202
Arlington County,26594,22203
Arlington County,51921,22204
Arlington County,17738,22205
Arlington County,20703,22206
Arlington County,35479,22207
Arlington County,14154,22209
Arlington County,947,22211
Arlington County,4021,22213
Arlington County,0,22214
Alexandria city,13665,22301
Alexandria city,18026,22302
Fairfax County,16922,22303
Alexandria city,48613,22304
Alexandria city,17214,22305
Fairfax County,30602,22306
Fairfax County,10343,22307
Fairfax County,14090,22308
Fairfax County,34316,22309
Fairfax County,28136,22310
Alexandria city,19337,22311
Fairfax County,26768,22312
Alexandria city,36612,22314
Fairfax County,30404,22315
Fredericksburg city,28731,22401
Stafford County,36890,22405
Stafford County,27367,22406
Spotsylvania County,65425,22407
Spotsylvania County,31586,22408
Caroline County,4356,22427
Northumberland County,256,22432
Orange County,111,22433
Northumberland County,2215,22435
Essex County,791,22436
King and Queen County,582,22437
Essex County,252,22438
Westmoreland County,10011,22443
King George County,765,22448
Essex County,2290,22454
Richmond County,1757,22460
Westmoreland County,1967,22469
Richmond County,960,22472
Northumberland County,5498,22473
Essex County,224,22476
Lancaster County,898,22480
Northumberland County,3075,22482
King George County,27131,22485
Westmoreland County,1367,22488
Lancaster County,4296,22503
Essex County,227,22504
Orange County,15557,22508
Essex County,74,22509
Northumberland County,1239,22511
Caroline County,2290,22514
Westmoreland County,4740,22520
Westmoreland County,200,22529
Spotsylvania County,3290,22534
Caroline County,460,22535
Caroline County,348,22538
Northumberland County,2074,22539
Orange County,2418,22542
Caroline County,18392,22546
Richmond County,115,22548
Spotsylvania County,24146,22551
Spotsylvania County,17207,22553
Stafford County,65494,22554
Stafford County,31785,22556
Essex County,6612,22560
Orange County,2717,22567
Richmond County,6597,22572
Lancaster County,1427,22576
Lancaster County,2353,22578
Caroline County,5107,22580
Winchester city,29230,22601
Frederick County,32840,22602
Frederick County,17133,22603
Warren County,2113,22610
Clarke County,9276,22611
Clarke County,2825,22620
Rappahannock County,641,22623
Frederick County,3416,22624
Frederick County,3376,22625
Rappahannock County,945,22627
Warren County,35615,22630
Frederick County,1933,22637
Fauquier County,606,22639
Rappahannock County,556,22640
Shenandoah County,165,22641
Warren County,3933,22642
Fauquier County,137,22643
Shenandoah County,2561,22644
Frederick County,4639,22645
Clarke County,0,22646
Page County,1007,22650
Shenandoah County,1625,22652
Frederick County,1040,22654
Frederick County,22687,22655
Frederick County,5360,22656
Shenandoah County,12067,22657
Shenandoah County,1468,22660
Clarke County,1705,22663
Shenandoah County,9293,22664
Culpeper County,38512,22701
Madison County,920,22709
Madison County,139,22711
Fauquier County,9501,22712
Culpeper County,1489,22713
Culpeper County,946,22714
Madison County,1552,22715
Rappahannock County,1200,22716
Culpeper County,826,22718
Madison County,348,22719
Fauquier County,1497,22720
Madison County,448,22722
Madison County,52,22723
Culpeper County,2518,22724
Madison County,99,22725
Culpeper County,660,22726
Madison County,5742,22727
Fauquier County,3752,22728
Culpeper County,1148,22729
Madison County,336,22730
Madison County,70,22731
Madison County,262,22732
Culpeper County,1711,22733
Fauquier County,3918,22734
Madison County,1628,22735
Culpeper County,844,22736
Culpeper County,3465,22737
Madison County,928,22738
Rappahannock County,1179,22740
Culpeper County,421,22741
Fauquier County,1596,22742
Madison County,276,22743
Culpeper County,539,22746
Rappahannock County,967,22747
Rappahannock County,244,22749
Rockingham County,39983,22801
Rockingham County,30374,22802
Harrisonburg city,5347,22807
Shenandoah County,532,22810
Rockingham County,316,22811
Rockingham County,10660,22812
Rockingham County,8465,22815
Rockingham County,118,22820
Rockingham County,6116,22821
Shenandoah County,6596,22824
Rockingham County,10529,22827
Rockingham County,2209,22830
Rockingham County,352,22831
Rockingham County,1136,22832
Rockingham County,956,22834
Page County,11314,22835
Rockingham County,5239,22840
Rockingham County,3090,22841
Shenandoah County,5580,22842
Augusta County,2697,22843
Shenandoah County,4677,22844
Shenandoah County,48,22845
Rockingham County,1496,22846
Shenandoah County,1054,22847
Page County,5170,22849
Rockingham County,1218,22850
Page County,5903,22851
Rockingham County,5214,22853
Albemarle County,37237,22901
Albemarle County,23486,22902
Albemarle County,40372,22903
Albemarle County,5729,22904
Charlottesville city,0,22908
Albemarle County,19107,22911
Nelson County,3608,22920
Nelson County,2226,22922
Albemarle County,6435,22923
Albemarle County,145,22931
Albemarle County,9148,22932
Greene County,575,22935
Albemarle County,6983,22936
Albemarle County,1743,22937
Nelson County,884,22938
Augusta County,6908,22939
Albemarle County,1066,22940
Louisa County,10560,22942
Albemarle County,402,22943
Albemarle County,195,22946
Albemarle County,5256,22947
Madison County,137,22948
Nelson County,1426,22949
Augusta County,1694,22952
Orange County,0,22957
Nelson County,2306,22958
Albemarle County,1923,22959
Orange County,11657,22960
Fluvanna County,16896,22963
Nelson County,99,22964
Nelson County,2413,22967
Greene County,11235,22968
Nelson County,1429,22969
Nelson County,2359,22971
Orange County,290,22972
Greene County,6292,22973
Fluvanna County,5309,22974
Nelson County,149,22976
Augusta County,32965,22980
Madison County,49,22989
Amelia County,10849,23002
Buckingham County,819,23004
Hanover County,19987,23005
King William County,8270,23009
New Kent County,1682,23011
Hanover County,4601,23015
Mathews County,19,23021
Fluvanna County,1006,23022
King and Queen County,482,23023
Louisa County,11233,23024
Mathews County,686,23025
Cumberland County,1612,23027
Charles City County,4470,23030
Middlesex County,109,23032
Mathews County,1495,23035
Goochland County,1471,23038
Goochland County,938,23039
Cumberland County,4640,23040
Middlesex County,1628,23043
Mathews County,25,23045
Hanover County,1381,23047
Mathews County,437,23050
Fluvanna County,1004,23055
Mathews County,175,23056
Hanover County,42522,23059
Henrico County,36497,23060
Gloucester County,23308,23061
Gloucester County,1745,23062
Goochland County,6164,23063
Goochland County,1292,23065
Mathews County,514,23066
Mathews County,333,23068
Hanover County,3425,23069
Middlesex County,616,23070
Middlesex County,1879,23071
Gloucester County,13328,23072
Henrico County,8347,23075
Mathews County,552,23076
Middlesex County,400,23079
James City County,0,23081
Amelia County,2220,23083
Fluvanna County,1652,23084
King and Queen County,393,23085
King William County,3777,23086
New Kent County,4831,23089
King and Queen County,562,23091
Middlesex County,765,23092
Louisa County,14647,23093
Goochland County,3605,23102
Goochland County,6922,23103
King William County,917,23106
King and Queen County,22,23108
Mathews County,2327,23109
King and Queen County,764,23110
Hanover County,38070,23111
Chesterfield County,57016,23112
Chesterfield County,27477,23113
Chesterfield County,21631,23114
Hanover County,34188,23116
Louisa County,10480,23117
Mathews County,284,23119
Chesterfield County,17586,23120
Buckingham County,1995,23123
New Kent County,5147,23124
King and Queen County,410,23126
Mathews County,367,23128
Goochland County,305,23129
Mathews County,94,23130
Mathews County,1198,23138
Powhatan County,27757,23139
New Kent County,7755,23140
New Kent County,7814,23141
Hanover County,3451,23146
Charles City County,22,23147
King and Queen County,1471,23148
Middlesex County,2414,23149
Henrico County,12544,23150
Goochland County,1586,23153
King and Queen County,1158,23156
Powhatan County,1186,23160
King and Queen County,337,23161
Mathews County,78,23163
James City County,9673,23168
Middlesex County,1104,23169
Richmond city,2107,23173
Middlesex County,2053,23175
Middlesex County,677,23176
King and Queen County,608,23177
Middlesex County,479,23180
King William County,5565,23181
James City County,55270,23185
James City County,45803,23188
Hanover County,6629,23192
Richmond city,4062,23219
Richmond city,34671,23220
Richmond city,14402,23221
Henrico County,26322,23222
Henrico County,54659,23223
Richmond city,40575,23224
Richmond city,42771,23225
Richmond city,15477,23226
Henrico County,24925,23227
Henrico County,36527,23228
Henrico County,35689,23229
Henrico County,8910,23230
Henrico County,38544,23231
Henrico County,31582,23233
Chesterfield County,47465,23234
Chesterfield County,33461,23235
Chesterfield County,27903,23236
Chesterfield County,27126,23237
Goochland County,26050,23238
Henrico County,0,23250
Richmond city,2362,23284
Henrico County,20216,23294
Richmond city,98,23298
Accomack County,1804,23301
Accomack County,111,23302
Accomack County,342,23303
Isle of Wight County,45,23304
Accomack County,1729,23306
Northampton County,701,23307
Accomack County,2370,23308
Northampton County,5031,23310
Isle of Wight County,10099,23314
Isle of Wight County,1391,23315
Northampton County,91,23316
Chesapeake city,59108,23320
Chesapeake city,40176,23321
Chesapeake city,66956,23322
Chesapeake city,43043,23323
Chesapeake city,24670,23324
Chesapeake city,19138,23325
Accomack County,3319,23336
Accomack County,666,23337
Northampton County,502,23347
Northampton County,2983,23350
Northampton County,433,23354
Accomack County,1628,23356
Accomack County,890,23357
Accomack County,236,23358
Accomack County,940,23359
Accomack County,92,23389
Accomack County,466,23395
Northampton County,27,23398
Accomack County,288,23401
Northampton County,1237,23405
Accomack County,270,23407
Northampton County,0,23408
Accomack County,109,23409
Accomack County,2305,23410
Northampton County,776,23413
Accomack County,26,23414
Accomack County,2289,23415
Accomack County,96,23416
Accomack County,3827,23417
Accomack County,753,23418
Accomack County,2673,23420
Accomack County,4290,23421
Accomack County,202,23422
Accomack County,219,23423
Accomack County,37,23426
Accomack County,218,23427
Isle of Wight County,19109,23430
Suffolk city,1180,23432
Suffolk city,1391,23433
