ZIP,City,County,Population
05401,Burlington,Chittenden County,"31,662"
05452,Essex Junction,Chittenden County,"22,626"
05403,South Burlington,Chittenden County,"20,614"
05701,Rutland,Rutland County,"20,382"
05301,Brattleboro,Windham County,"16,955"
05641,Barre,Washington County,"16,936"
05446,Colchester,Chittenden County,"16,452"
05478,Saint Albans,Franklin County,"15,580"
05201,Bennington,Bennington County,"14,998"
05468,Milton,Chittenden County,"13,324"
05602,Montpelier,Washington County,"12,250"
05753,Middlebury,Addison County,"11,094"
05495,Williston,Chittenden County,"10,956"
05408,Burlington,Chittenden County,"10,019"
05001,White River Junction,Windsor County,"9,751"
05156,Springfield,Windsor County,"9,116"
05819,Saint Johnsbury,Caledonia County,"9,106"
05488,Swanton,Franklin County,"8,469"
05404,Winooski,Chittenden County,"8,293"
05482,Shelburne,Chittenden County,"7,969"
05855,Newport,Orleans County,"7,412"
05663,Northfield,Washington County,"6,840"
05443,Bristol,Addison County,"6,549"
05661,Morrisville,Lamoille County,"6,227"
05851,Lyndonville,Caledonia County,"6,024"
05733,Brandon,Rutland County,"6,015"
05491,Vergennes,Addison County,"5,767"
05465,Jericho,Chittenden County,"5,735"
05450,Enosburg Falls,Franklin County,"5,428"
05454,Fairfax,Franklin County,"5,364"
05672,Stowe,Lamoille County,"5,285"
05346,Putney,Windham County,"5,177"
05676,Waterbury,Washington County,"5,032"
05461,Hinesburg,Chittenden County,"4,898"
05143,Chester,Windsor County,"4,767"
05089,Windsor,Windsor County,"4,462"
05477,Richmond,Chittenden County,"4,454"
05060,Randolph,Orange County,"4,268"
05101,Bellows Falls,Windham County,"4,165"
05743,Fair Haven,Rutland County,"4,160"
05255,Manchester Center,Bennington County,"4,108"
05445,Charlotte,Chittenden County,"3,916"
05250,Arlington,Bennington County,"3,847"
05735,Castleton,Rutland County,"3,651"
05489,Underhill,Chittenden County,"3,484"
05055,Norwich,Windsor County,"3,463"
05656,Johnson,Lamoille County,"3,458"
05091,Woodstock,Windsor County,"3,443"
05777,West Rutland,Rutland County,"3,229"
