"zip","city","county","population"
22193,"Woodbridge","Prince William County",81588
23464,"Virginia Beach","Virginia Beach city",75061
22191,"Woodbridge","Prince William County",73623
20147,"Ashburn","Loudoun County",67692
23322,"Chesapeake","Chesapeake city",66956
23462,"Virginia Beach","Virginia Beach city",66151
22554,"Stafford","Stafford County",65494
22407,"Fredericksburg","Spotsylvania County",65425
20148,"Ashburn","Loudoun County",64021
23456,"Virginia Beach","Virginia Beach city",61911
22030,"Fairfax","Fairfax County",61332
22192,"Woodbridge","Prince William County",59794
23320,"Chesapeake","Chesapeake city",59108
23452,"Virginia Beach","Virginia Beach city",58455
23454,"Virginia Beach","Virginia Beach city",58178
22003,"Annandale","Fairfax County",57755
23112,"Midlothian","Chesterfield County",57016
23185,"Williamsburg","James City County",55270
23223,"Richmond","Henrico County",54659
23434,"Suffolk","Suffolk city",54387
23666,"Hampton","Hampton city",54233
22204,"Arlington","Arlington County",51921
20176,"Leesburg","Loudoun County",51471
20171,"Herndon","Fairfax County",51286
23455,"Virginia Beach","Virginia Beach city",49977
20110,"Manassas","Manassas city",49890
22304,"Alexandria","Alexandria city",48613
24060,"Blacksburg","Montgomery County",48541
23234,"Richmond","Chesterfield County",47465
23188,"Williamsburg","James City County",45803
20109,"Manassas","Prince William County",45444
22015,"Burke","Fairfax County",44647
23451,"Virginia Beach","Virginia Beach city",44012
20170,"Herndon","Fairfax County",43866
23608,"Newport News","Newport News city",43641
20164,"Sterling","Loudoun County",43436
23323,"Chesapeake","Chesapeake city",43043
20120,"Centreville","Fairfax County",42896
23225,"Richmond","Richmond city",42771
23059,"Glen Allen","Hanover County",42522
23602,"Newport News","Newport News city",42265
23803,"Petersburg","Dinwiddie County",42012
24502,"Lynchburg","Lynchburg city",41979
23832,"Chesterfield","Chesterfield County",41442
23224,"Richmond","Richmond city",40575
22903,"Charlottesville","Albemarle County",40372
23321,"Chesapeake","Chesapeake city",40176
22801,"Harrisonburg","Rockingham County",39983
23669,"Hampton","Hampton city",39884
23831,"Chester","Chesterfield County",39529
22033,"Fairfax","Fairfax County",39526
24153,"Salem","Roanoke County",38914
24401,"Staunton","Augusta County",38756
24018,"Roanoke","Roanoke County",38720
23231,"Henrico","Henrico County",38544
22701,"Culpeper","Culpeper County",38512
20111,"Manassas","Prince William County",38124
23111,"Mechanicsville","Hanover County",38070
20105,"Aldie","Loudoun County",37639
20155,"Gainesville","Prince William County",37486
22201,"Arlington","Arlington County",37473
22031,"Fairfax","Fairfax County",37276
22901,"Charlottesville","Albemarle County",37237
22405,"Fredericksburg","Stafford County",36890
20152,"Chantilly","Loudoun County",36674
22314,"Alexandria","Alexandria city",36612
23228,"Henrico","Henrico County",36527
23060,"Glen Allen","Henrico County",36497
23229,"Henrico","Henrico County",35689
22630,"Front Royal","Warren County",35615
22042,"Falls Church","Fairfax County",35483
22207,"Arlington","Arlington County",35479
22079,"Lorton","Fairfax County",35284
20175,"Leesburg","Loudoun County",34733
23220,"Richmond","Richmond city",34671
23453,"Virginia Beach","Virginia Beach city",34482
22309,"Alexandria","Fairfax County",34316
23116,"Mechanicsville","Hanover County",34188
20165,"Sterling","Loudoun County",34088
23435,"Suffolk","Suffolk city",33721
23235,"Richmond","Chesterfield County",33461
22980,"Waynesboro","Augusta County",32965
22602,"Winchester","Frederick County",32840
22153,"Springfield","Fairfax County",32664
20136,"Bristow","Prince William County",32325
22556,"Stafford","Stafford County",31785
22408,"Fredericksburg","Spotsylvania County",31586
23233,"Henrico","Henrico County",31582
23860,"Hopewell","Prince George County",31404
24112,"Martinsville","Henry County",31028
24540,"Danville","Pittsylvania County",31013
20191,"Reston","Fairfax County",31011
22101,"McLean","Fairfax County",30953
22306,"Alexandria","Fairfax County",30602
20112,"Manassas","Prince William County",30500
22315,"Alexandria","Fairfax County",30404
22802,"Harrisonburg","Rockingham County",30374
23503,"Norfolk","Norfolk city",30216
23606,"Newport News","Newport News city",29971
23518,"Norfolk","Norfolk city",29746
24073,"Christiansburg","Montgomery County",29677
22032,"Fairfax","Fairfax County",29240
22601,"Winchester","Winchester city",29230
22102,"McLean","Fairfax County",29184
22041,"Falls Church","Fairfax County",29183
22152,"Springfield","Fairfax County",28814
22401,"Fredericksburg","Fredericksburg city",28731
23513,"Norfolk","Norfolk city",28628
24019,"Roanoke","Roanoke County",28585
24551,"Forest","Bedford County",28554
23505,"Norfolk","Norfolk city",28247
24012,"Roanoke","Roanoke city",28235
22310,"Alexandria","Fairfax County",28136
20169,"Haymarket","Prince William County",28089
