ZIP,City,County,Population
22193,Woodbridge,Prince William County,"81,588"
23464,Virginia Beach,Virginia Beach city,"75,061"
22191,Woodbridge,Prince William County,"73,623"
20147,Ashburn,Loudoun County,"67,692"
23322,Chesapeake,Chesapeake city,"66,956"
23462,Virginia Beach,Virginia Beach city,"66,151"
22554,Stafford,Stafford County,"65,494"
22407,Fredericksburg,Spotsylvania County,"65,425"
20148,Ashburn,Loudoun County,"64,021"
23456,Virginia Beach,Virginia Beach city,"61,911"
22030,Fairfax,Fairfax County,"61,332"
22192,Woodbridge,Prince William County,"59,794"
23320,Chesapeake,Chesapeake city,"59,108"
23452,Virginia Beach,Virginia Beach city,"58,455"
23454,Virginia Beach,Virginia Beach city,"58,178"
22003,Annandale,Fairfax County,"57,755"
23112,Midlothian,Chesterfield County,"57,016"
23185,Williamsburg,James City County,"55,270"
23223,Richmond,Henrico County,"54,659"
23434,Suffolk,Suffolk city,"54,387"
23666,Hampton,Hampton city,"54,233"
22204,Arlington,Arlington County,"51,921"
20176,Leesburg,Loudoun County,"51,471"
20171,Herndon,Fairfax County,"51,286"
23455,Virginia Beach,Virginia Beach city,"49,977"
20110,Manassas,Manassas city,"49,890"
22304,Alexandria,Alexandria city,"48,613"
24060,Blacksburg,Montgomery County,"48,541"
23234,Richmond,Chesterfield County,"47,465"
23188,Williamsburg,James City County,"45,803"
20109,Manassas,Prince William County,"45,444"
22015,Burke,Fairfax County,"44,647"
23451,Virginia Beach,Virginia Beach city,"44,012"
20170,Herndon,Fairfax County,"43,866"
23608,Newport News,Newport News city,"43,641"
20164,Sterling,Loudoun County,"43,436"
23323,Chesapeake,Chesapeake city,"43,043"
20120,Centreville,Fairfax County,"42,896"
23225,Richmond,Richmond city,"42,771"
23059,Glen Allen,Hanover County,"42,522"
23602,Newport News,Newport News city,"42,265"
23803,Petersburg,Dinwiddie County,"42,012"
24502,Lynchburg,Lynchburg city,"41,979"
23832,Chesterfield,Chesterfield County,"41,442"
23224,Richmond,Richmond city,"40,575"
22903,Charlottesville,Albemarle County,"40,372"
23321,Chesapeake,Chesapeake city,"40,176"
22801,Harrisonburg,Rockingham County,"39,983"
23669,Hampton,Hampton city,"39,884"
23831,Chester,Chesterfield County,"39,529"
22033,Fairfax,Fairfax County,"39,526"
24153,Salem,Roanoke County,"38,914"
24401,Staunton,Augusta County,"38,756"
24018,Roanoke,Roanoke County,"38,720"
23231,Henrico,Henrico County,"38,544"
22701,Culpeper,Culpeper County,"38,512"
20111,Manassas,Prince William County,"38,124"
23111,Mechanicsville,Hanover County,"38,070"
20105,Aldie,Loudoun County,"37,639"
20155,Gainesville,Prince William County,"37,486"
22201,Arlington,Arlington County,"37,473"
22031,Fairfax,Fairfax County,"37,276"
22901,Charlottesville,Albemarle County,"37,237"
22405,Fredericksburg,Stafford County,"36,890"
20152,Chantilly,Loudoun County,"36,674"
22314,Alexandria,Alexandria city,"36,612"
23228,Henrico,Henrico County,"36,527"
23060,Glen Allen,Henrico County,"36,497"
23229,Henrico,Henrico County,"35,689"
22630,Front Royal,Warren County,"35,615"
22042,Falls Church,Fairfax County,"35,483"
22207,Arlington,Arlington County,"35,479"
22079,Lorton,Fairfax County,"35,284"
20175,Leesburg,Loudoun County,"34,733"
23220,Richmond,Richmond city,"34,671"
23453,Virginia Beach,Virginia Beach city,"34,482"
22309,Alexandria,Fairfax County,"34,316"
23116,Mechanicsville,Hanover County,"34,188"
20165,Sterling,Loudoun County,"34,088"
23435,Suffolk,Suffolk city,"33,721"
23235,Richmond,Chesterfield County,"33,461"
22980,Waynesboro,Augusta County,"32,965"
22602,Winchester,Frederick County,"32,840"
22153,Springfield,Fairfax County,"32,664"
20136,Bristow,Prince William County,"32,325"
22556,Stafford,Stafford County,"31,785"
22408,Fredericksburg,Spotsylvania County,"31,586"
23233,Henrico,Henrico County,"31,582"
23860,Hopewell,Prince George County,"31,404"
24112,Martinsville,Henry County,"31,028"
24540,Danville,Pittsylvania County,"31,013"
20191,Reston,Fairfax County,"31,011"
22101,McLean,Fairfax County,"30,953"
22306,Alexandria,Fairfax County,"30,602"
20112,Manassas,Prince William County,"30,500"
22315,Alexandria,Fairfax County,"30,404"
22802,Harrisonburg,Rockingham County,"30,374"
23503,Norfolk,Norfolk city,"30,216"
23606,Newport News,Newport News city,"29,971"
23518,Norfolk,Norfolk city,"29,746"
24073,Christiansburg,Montgomery County,"29,677"
22032,Fairfax,Fairfax County,"29,240"
22601,Winchester,Winchester city,"29,230"
