ZIP,City,County,Population
99301,Pasco,Franklin County,"87,044"
98052,Redmond,King County,"80,717"
98012,Bothell,Snohomish County,"77,041"
98682,Vancouver,Clark County,"68,305"
98208,Everett,Snohomish County,"60,915"
98391,Bonney Lake,Pierce County,"59,240"
99208,Spokane,Spokane County,"58,669"
98270,Marysville,Snohomish County,"55,049"
98115,Seattle,King County,"54,349"
98133,Seattle,King County,"53,249"
98258,Lake Stevens,Snohomish County,"52,752"
98103,Seattle,King County,"52,671"
98034,Kirkland,King County,"52,531"
98003,Federal Way,King County,"51,619"
98387,Spanaway,Pierce County,"50,774"
98661,Vancouver,Clark County,"50,743"
99336,Kennewick,Benton County,"50,735"
98632,Longview,Cowlitz County,"50,635"
98118,Seattle,King County,"50,500"
98023,Federal Way,King County,"50,448"
98092,Auburn,King County,"50,224"
98042,Kent,King County,"50,216"
98225,Bellingham,Whatcom County,"50,216"
98105,Seattle,King County,"49,767"
98837,Moses Lake,Grant County,"49,455"
98374,Puyallup,Pierce County,"49,007"
98501,Olympia,Thurston County,"48,067"
98226,Bellingham,Whatcom County,"46,782"
98223,Arlington,Snohomish County,"46,497"
98902,Yakima,Yakima County,"46,492"
98801,Wenatchee,Chelan County,"45,426"
98204,Everett,Snohomish County,"45,130"
98125,Seattle,King County,"44,520"
98122,Seattle,King County,"43,234"
99205,Spokane,Spokane County,"43,169"
98058,Renton,King County,"42,980"
99362,Walla Walla,Walla Walla County,"42,853"
98059,Renton,King County,"42,406"
98036,Lynnwood,Snohomish County,"42,370"
98087,Lynnwood,Snohomish County,"41,796"
98503,Lacey,Thurston County,"41,656"
99206,Spokane,Spokane County,"41,089"
98033,Kirkland,King County,"40,982"
98277,Oak Harbor,Island County,"40,917"
98032,Kent,King County,"40,862"
98584,Shelton,Mason County,"40,606"
98198,Seattle,King County,"40,463"
98031,Kent,King County,"40,094"
98006,Bellevue,King County,"40,009"
98004,Bellevue,King County,"39,897"
98290,Snohomish,Snohomish County,"39,826"
98026,Edmonds,Snohomish County,"38,976"
98604,Battle Ground,Clark County,"38,839"
98030,Kent,King County,"38,523"
98908,Yakima,Yakima County,"38,060"
98513,Olympia,Thurston County,"38,017"
98662,Vancouver,Clark County,"37,723"
98002,Auburn,King County,"37,509"
98001,Auburn,King County,"37,460"
99352,Richland,Benton County,"37,430"
98038,Maple Valley,King County,"37,324"
98684,Vancouver,Clark County,"37,298"
98366,Port Orchard,Kitsap County,"36,965"
98155,Seattle,King County,"36,511"
98312,Bremerton,Kitsap County,"36,307"
99223,Spokane,Spokane County,"36,094"
98404,Tacoma,Pierce County,"35,961"
98607,Camas,Clark County,"35,867"
98056,Renton,King County,"35,849"
98444,Tacoma,Pierce County,"35,754"
98117,Seattle,King County,"35,711"
98021,Bothell,Snohomish County,"35,631"
98168,Seattle,King County,"35,528"
98203,Everett,Snohomish County,"35,517"
98502,Olympia,Thurston County,"35,398"
98926,Ellensburg,Kittitas County,"34,353"
98109,Seattle,King County,"34,328"
99163,Pullman,Whitman County,"34,022"
98144,Seattle,King County,"33,787"
98445,Tacoma,Pierce County,"33,684"
98370,Poulsbo,Kitsap County,"33,655"
98802,East Wenatchee,Douglas County,"33,539"
98229,Bellingham,Whatcom County,"33,298"
99337,Kennewick,Benton County,"33,287"
99207,Spokane,Spokane County,"32,770"
98338,Graham,Pierce County,"32,687"
98499,Lakewood,Pierce County,"32,464"
98683,Vancouver,Clark County,"32,107"
98201,Everett,Snohomish County,"31,895"
98512,Olympia,Thurston County,"31,864"
98367,Port Orchard,Kitsap County,"31,756"
98272,Monroe,Snohomish County,"31,436"
98901,Yakima,Yakima County,"31,366"
98375,Puyallup,Pierce County,"31,187"
98382,Sequim,Clallam County,"31,052"
98271,Marysville,Snohomish County,"30,838"
98074,Sammamish,King County,"30,761"
98685,Vancouver,Clark County,"30,607"
98029,Issaquah,King County,"30,586"
98466,Tacoma,Pierce County,"30,327"
98273,Mount Vernon,Skagit County,"30,001"
98037,Lynnwood,Snohomish County,"29,723"
98498,Lakewood,Pierce County,"29,209"
98516,Olympia,Thurston County,"29,177"
98011,Bothell,King County,"28,963"
98027,Issaquah,King County,"28,955"
98665,Vancouver,Clark County,"28,910"
98373,Puyallup,Pierce County,"28,883"
98107,Seattle,King County,"28,776"
98116,Seattle,King County,"28,711"
98106,Seattle,King County,"28,690"
99216,Spokane,Spokane County,"28,578"
98146,Seattle,King County,"28,573"
98248,Ferndale,Whatcom County,"28,498"
98311,Bremerton,Kitsap County,"28,168"
98296,Snohomish,Snohomish County,"27,896"
98409,Tacoma,Pierce County,"27,843"
98284,Sedro Woolley,Skagit County,"27,835"
98335,Gig Harbor,Pierce County,"27,773"
98007,Bellevue,King County,"27,692"
98292,Stanwood,Snohomish County,"27,389"
98531,Centralia,Lewis County,"27,337"
98102,Seattle,King County,"27,333"
98188,Seattle,King County,"27,311"
98008,Bellevue,King County,"27,242"
98532,Chehalis,Lewis County,"27,135"
98626,Kelso,Cowlitz County,"26,892"
98119,Seattle,King County,"26,879"
98642,Ridgefield,Clark County,"26,816"
98178,Seattle,King County,"26,748"
98597,Yelm,Thurston County,"26,669"
98372,Puyallup,Pierce County,"26,012"
98405,Tacoma,Pierce County,"25,939"
99354,Richland,Benton County,"25,559"
98108,Seattle,King County,"25,529"
98075,Sammamish,King County,"25,498"
98040,Mercer Island,King County,"25,307"
99224,Spokane,Spokane County,"24,919"
98520,Aberdeen,Grays Harbor County,"24,888"
98671,Washougal,Skamania County,"24,871"
98371,Puyallup,Pierce County,"24,682"
98055,Renton,King County,"24,660"
98110,Bainbridge Island,Kitsap County,"24,631"
98072,Woodinville,King County,"24,446"
98362,Port Angeles,Clallam County,"24,313"
98406,Tacoma,Pierce County,"24,202"
98112,Seattle,King County,"23,921"
98664,Vancouver,Clark County,"23,845"
98028,Kenmore,King County,"23,741"
98221,Anacortes,Skagit County,"23,562"
98264,Lynden,Whatcom County,"23,123"
98043,Mountlake Terrace,Snohomish County,"23,101"
98126,Seattle,King County,"22,975"
99004,Cheney,Spokane County,"22,871"
98944,Sunnyside,Benton County,"22,817"
98053,Redmond,King County,"22,765"
98310,Bremerton,Kitsap County,"22,643"
98433,Tacoma,Pierce County,"22,493"
