ZIP,City,County,Population
26554,Fairmont,Marion County,"42,118"
26508,Morgantown,Monongalia County,"40,231"
26003,Wheeling,Ohio County,"39,982"
26505,Morgantown,Monongalia County,"37,492"
25801,Beckley,Raleigh County,"31,128"
26301,Clarksburg,Harrison County,"28,716"
26101,Parkersburg,Wood County,"28,005"
25404,Martinsburg,Berkeley County,"23,990"
25177,Saint Albans,Kanawha County,"22,665"
25526,Hurricane,Putnam County,"22,514"
25701,Huntington,Cabell County,"21,197"
25414,Charles Town,Jefferson County,"21,073"
25705,Huntington,Cabell County,"20,922"
26062,Weirton,Hancock County,"20,578"
26501,Morgantown,Monongalia County,"19,529"
26201,Buckhannon,Upshur County,"18,689"
24701,Bluefield,Mercer County,"17,117"
26104,Parkersburg,Wood County,"16,805"
25427,Hedgesville,Berkeley County,"16,595"
24740,Princeton,Mercer County,"16,498"
25403,Martinsburg,Berkeley County,"16,470"
26330,Bridgeport,Harrison County,"15,600"
26041,Moundsville,Marshall County,"15,254"
25401,Martinsburg,Berkeley County,"14,979"
25428,Inwood,Berkeley County,"14,825"
25314,Charleston,Kanawha County,"14,794"
25704,Huntington,Wayne County,"14,351"
25405,Martinsburg,Berkeley County,"14,266"
26241,Elkins,Randolph County,"14,102"
24739,Princeton,Mercer County,"13,981"
25425,Harpers Ferry,Jefferson County,"13,332"
25302,Charleston,Kanawha County,"13,204"
25419,Falling Waters,Berkeley County,"13,201"
26726,Keyser,Mineral County,"12,629"
25411,Berkeley Springs,Morgan County,"12,367"
25504,Barboursville,Cabell County,"12,251"
25309,South Charleston,Kanawha County,"12,154"
26105,Vienna,Wood County,"12,107"
25313,Charleston,Kanawha County,"11,760"
25071,Elkview,Kanawha County,"11,107"
25312,Charleston,Kanawha County,"10,047"
25901,Oak Hill,Fayette County,"10,012"
25311,Charleston,Kanawha County,"9,825"
25413,Bunker Hill,Berkeley County,"9,618"
26354,Grafton,Taylor County,"9,558"
25541,Milton,Cabell County,"9,318"
25560,Scott Depot,Putnam County,"9,303"
26452,Weston,Lewis County,"9,220"
24901,Lewisburg,Greenbrier County,"9,093"
25064,Dunbar,Kanawha County,"9,090"
26651,Summersville,Nicholas County,"9,067"
25550,Point Pleasant,Mason County,"8,963"
25430,Kearneysville,Jefferson County,"8,954"
25143,Nitro,Kanawha County,"8,714"
25304,Charleston,Kanawha County,"8,655"
26525,Bruceton Mills,Preston County,"8,630"
25508,Chapmanville,Logan County,"8,028"
26155,New Martinsville,Wetzel County,"8,003"
25840,Fayetteville,Fayette County,"7,746"
26070,Wellsburg,Brooke County,"7,741"
26416,Philippi,Barbour County,"7,693"
26426,Salem,Doddridge County,"7,575"
25443,Shepherdstown,Jefferson County,"7,496"
26164,Ravenswood,Jackson County,"7,435"
25303,South Charleston,Kanawha County,"7,396"
25271,Ripley,Jackson County,"7,376"
25438,Ranson,Jefferson County,"7,330"
25702,Huntington,Cabell County,"7,188"
25276,Spencer,Roane County,"7,127"
26757,Romney,Hampshire County,"7,029"
25813,Beaver,Raleigh County,"6,958"
25530,Kenova,Wayne County,"6,856"
25570,Wayne,Wayne County,"6,445"
26431,Shinnston,Harrison County,"6,271"
25213,Winfield,Putnam County,"6,224"
26181,Washington,Wood County,"6,167"
25880,Mount Hope,Raleigh County,"6,163"
26187,Williamstown,Wood County,"6,060"
25306,Charleston,Kanawha County,"6,040"
26753,Ridgeley,Mineral County,"5,960"
26150,Mineral Wells,Wood County,"5,869"
26037,Follansbee,Brooke County,"5,714"
26170,Saint Marys,Pleasants County,"5,701"
25545,Ona,Cabell County,"5,670"
26836,Moorefield,Hardy County,"5,625"
26047,New Cumberland,Hancock County,"5,357"
26250,Belington,Barbour County,"5,322"
26847,Petersburg,Grant County,"5,305"
25506,Branchland,Lincoln County,"5,299"
26537,Kingwood,Preston County,"5,276"
26704,Augusta,Hampshire County,"5,148"
25510,Culloden,Cabell County,"5,098"
24986,White Sulphur Springs,Greenbrier County,"5,014"
25420,Gerrardstown,Berkeley County,"4,945"
25951,Hinton,Summers County,"4,904"
25918,Shady Spring,Raleigh County,"4,844"
25832,Daniels,Raleigh County,"4,818"
26378,Jane Lew,Lewis County,"4,778"
24801,Welch,Wyoming County,"4,745"
25387,Charleston,Kanawha County,"4,708"
24910,Alderson,Greenbrier County,"4,664"
26034,Chester,Hancock County,"4,664"
25703,Huntington,Cabell County,"4,598"
25320,Charleston,Kanawha County,"4,595"
26351,Glenville,Gilmer County,"4,440"
25601,Logan,Logan County,"4,380"
25661,Williamson,Mingo County,"4,277"
25045,Clendenin,Kanawha County,"4,234"
26764,Terra Alta,Preston County,"4,175"
26601,Sutton,Braxton County,"4,121"
25015,Belle,Kanawha County,"3,888"
25053,Danville,Boone County,"3,801"
26582,Mannington,Marion County,"3,743"
25159,Poca,Putnam County,"3,656"
24970,Ronceverte,Greenbrier County,"3,647"
24963,Peterstown,Monroe County,"3,560"
25514,Fort Gay,Wayne County,"3,520"
26444,Tunnelton,Preston County,"3,490"
25130,Madison,Boone County,"3,456"
26143,Elizabeth,Wirt County,"3,363"
26570,Fairview,Monongalia County,"3,350"
26415,Pennsboro,Ritchie County,"3,308"
25962,Rainelle,Fayette County,"3,302"
25315,Charleston,Kanawha County,"3,286"
25434,Paw Paw,Hampshire County,"3,272"
26362,Harrisville,Ritchie County,"3,270"
26541,Maidsville,Monongalia County,"3,254"
25248,Kenna,Jackson County,"3,222"
25670,Delbarton,Mingo County,"3,203"
26288,Webster Springs,Webster County,"3,148"
24747,Rock,Mercer County,"3,125"
26287,Parsons,Tucker County,"3,034"
24954,Marlinton,Pocahontas County,"3,019"
26456,West Union,Doddridge County,"2,998"
26175,Sistersville,Tyler County,"2,991"
26205,Craigsville,Nicholas County,"2,957"
24712,Athens,Mercer County,"2,913"
26833,Maysville,Grant County,"2,890"
26059,Triadelphia,Ohio County,"2,888"
26218,French Creek,Upshur County,"2,883"
26385,Lost Creek,Harrison County,"2,870"
26547,Reedsville,Preston County,"2,828"
26206,Cowen,Webster County,"2,807"
26347,Flemington,Taylor County,"2,807"
25442,Shenandoah Junction,Jefferson County,"2,772"
26261,Richwood,Greenbrier County,"2,760"
25523,Hamlin,Lincoln County,"2,753"
26038,Glen Dale,Marshall County,"2,752"
26711,Capon Bridge,Hampshire County,"2,724"
25825,Cool Ridge,Raleigh County,"2,659"
