ZIP,City,County,Population
53215,Milwaukee,Milwaukee County,"58,146"
53711,Madison,Dane County,"51,279"
54115,De Pere,Brown County,"50,411"
54601,La Crosse,La Crosse County,"50,397"
53511,Beloit,Rock County,"48,701"
53704,Madison,Dane County,"46,730"
54956,Neenah,Winnebago County,"46,567"
53590,Sun Prairie,Dane County,"45,602"
53209,Milwaukee,Milwaukee County,"45,170"
54915,Appleton,Calumet County,"44,367"
54703,Eau Claire,Eau Claire County,"44,153"
53081,Sheboygan,Sheboygan County,"43,381"
54701,Eau Claire,Eau Claire County,"43,014"
54935,Fond Du Lac,Fond du Lac County,"41,613"
54313,Green Bay,Brown County,"41,422"
53218,Milwaukee,Milwaukee County,"41,196"
54220,Manitowoc,Manitowoc County,"40,949"
53204,Milwaukee,Milwaukee County,"39,996"
53051,Menomonee Falls,Waukesha County,"39,559"
53221,Milwaukee,Milwaukee County,"38,044"
54311,Green Bay,Brown County,"37,879"
53703,Madison,Dane County,"37,659"
53066,Oconomowoc,Waukesha County,"37,558"
53154,Oak Creek,Milwaukee County,"37,325"
54901,Oshkosh,Winnebago County,"37,294"
53132,Franklin,Milwaukee County,"35,433"
53188,Waukesha,Waukesha County,"34,892"
53402,Racine,Racine County,"34,850"
53219,Milwaukee,Milwaukee County,"34,764"
53214,Milwaukee,Milwaukee County,"34,480"
54729,Chippewa Falls,Chippewa County,"34,366"
53207,Milwaukee,Milwaukee County,"34,313"
53211,Milwaukee,Milwaukee County,"34,234"
53142,Kenosha,Kenosha County,"34,144"
53719,Madison,Dane County,"34,115"
54016,Hudson,St. Croix County,"33,398"
53186,Waukesha,Waukesha County,"33,374"
53151,New Berlin,Waukesha County,"32,824"
54914,Appleton,Outagamie County,"31,849"
54401,Wausau,Marathon County,"31,692"
53593,Verona,Dane County,"31,081"
53216,Milwaukee,Milwaukee County,"30,345"
54302,Green Bay,Brown County,"30,333"
54880,Superior,Douglas County,"30,312"
53140,Kenosha,Kenosha County,"30,238"
53217,Milwaukee,Milwaukee County,"29,957"
53546,Janesville,Rock County,"29,867"
53562,Middleton,Dane County,"29,790"
53212,Milwaukee,Milwaukee County,"28,938"
53223,Milwaukee,Milwaukee County,"28,793"
53105,Burlington,Racine County,"28,751"
54304,Green Bay,Brown County,"28,502"
54130,Kaukauna,Outagamie County,"28,380"
54481,Stevens Point,Portage County,"28,242"
54303,Green Bay,Brown County,"28,153"
53095,West Bend,Washington County,"27,817"
53220,Milwaukee,Milwaukee County,"27,782"
54494,Wisconsin Rapids,Wood County,"27,696"
54952,Menasha,Calumet County,"27,312"
53208,Milwaukee,Milwaukee County,"27,201"
53403,Racine,Racine County,"27,009"
53213,Milwaukee,Milwaukee County,"26,905"
53189,Waukesha,Waukesha County,"26,855"
53405,Racine,Racine County,"26,793"
53144,Kenosha,Kenosha County,"26,652"
53150,Muskego,Waukesha County,"26,259"
53072,Pewaukee,Waukesha County,"26,200"
54751,Menomonie,Dunn County,"26,193"
54449,Marshfield,Wood County,"26,183"
53202,Milwaukee,Milwaukee County,"25,861"
53406,Racine,Racine County,"25,778"
54911,Appleton,Outagamie County,"25,308"
54650,Onalaska,La Crosse County,"25,304"
53225,Milwaukee,Milwaukee County,"25,187"
54913,Appleton,Outagamie County,"25,147"
53705,Madison,Dane County,"25,017"
54403,Wausau,Marathon County,"24,950"
54022,River Falls,Pierce County,"24,789"
53545,Janesville,Rock County,"24,703"
53222,Milwaukee,Milwaukee County,"24,663"
53713,Madison,Dane County,"24,351"
53210,Milwaukee,Milwaukee County,"23,922"
53045,Brookfield,Waukesha County,"23,329"
53027,Hartford,Washington County,"23,118"
53227,Milwaukee,Milwaukee County,"22,885"
53916,Beaver Dam,Dodge County,"22,808"
54904,Oshkosh,Winnebago County,"22,273"
54902,Oshkosh,Winnebago County,"22,243"
53029,Hartland,Waukesha County,"21,778"
54301,Green Bay,Brown County,"21,724"
53913,Baraboo,Sauk County,"21,704"
54937,Fond Du Lac,Fond du Lac County,"21,687"
53005,Brookfield,Waukesha County,"21,675"
53090,West Bend,Washington County,"21,625"
53083,Sheboygan,Sheboygan County,"21,579"
53597,Waunakee,Dane County,"21,426"
54501,Rhinelander,Oneida County,"21,405"
53224,Milwaukee,Milwaukee County,"21,223"
53143,Kenosha,Kenosha County,"20,889"
53092,Mequon,Ozaukee County,"20,886"
53089,Sussex,Waukesha County,"20,588"
53190,Whitewater,Walworth County,"20,499"
53172,South Milwaukee,Milwaukee County,"20,442"
54017,New Richmond,St. Croix County,"20,366"
53022,Germantown,Washington County,"20,046"
53548,Janesville,Rock County,"19,916"
53206,Milwaukee,Milwaukee County,"19,887"
53149,Mukwonago,Waukesha County,"19,614"
53589,Stoughton,Dane County,"19,550"
54476,Schofield,Marathon County,"19,377"
53012,Cedarburg,Ozaukee County,"19,183"
54455,Mosinee,Marathon County,"19,025"
53718,Madison,Dane County,"18,989"
53024,Grafton,Ozaukee County,"18,982"
54452,Merrill,Lincoln County,"18,969"
53226,Milwaukee,Milwaukee County,"18,908"
53538,Fort Atkinson,Jefferson County,"18,813"
53147,Lake Geneva,Walworth County,"18,638"
53716,Madison,Dane County,"18,596"
53185,Waterford,Racine County,"18,560"
53121,Elkhorn,Walworth County,"18,551"
53158,Pleasant Prairie,Kenosha County,"18,420"
53575,Oregon,Dane County,"18,204"
54656,Sparta,Monroe County,"18,160"
53094,Watertown,Jefferson County,"17,998"
53110,Cudahy,Milwaukee County,"17,853"
54235,Sturgeon Bay,Door County,"17,749"
54166,Shawano,Shawano County,"16,940"
54636,Holmen,La Crosse County,"16,727"
53532,Deforest,Dane County,"16,514"
53115,Delavan,Walworth County,"16,381"
54868,Rice Lake,Barron County,"16,323"
53714,Madison,Dane County,"16,169"
53073,Plymouth,Sheboygan County,"16,136"
54660,Tomah,Monroe County,"16,124"
53818,Platteville,Grant County,"16,024"
53715,Madison,Dane County,"15,974"
53228,Milwaukee,Milwaukee County,"15,121"
54143,Marinette,Marinette County,"15,119"
53566,Monroe,Green County,"14,901"
54467,Plover,Portage County,"14,870"
54981,Waupaca,Waupaca County,"14,870"
53129,Greendale,Milwaukee County,"14,570"
53233,Milwaukee,Milwaukee County,"14,497"
54961,New London,Waupaca County,"14,485"
53959,Reedsburg,Sauk County,"14,451"
53901,Portage,Columbia County,"14,291"
54241,Two Rivers,Manitowoc County,"14,120"
53963,Waupun,Fond du Lac County,"13,952"
54603,La Crosse,La Crosse County,"13,738"
53404,Racine,Racine County,"13,703"
53074,Port Washington,Ozaukee County,"13,682"
54843,Hayward,Sawyer County,"13,416"
53558,Mcfarland,Dane County,"13,164"
53717,Madison,Dane County,"13,052"
54409,Antigo,Langlade County,"12,639"
53534,Edgerton,Rock County,"12,241"
53527,Cottage Grove,Dane County,"11,924"
54806,Ashland,Ashland County,"11,704"
53085,Sheboygan Falls,Sheboygan County,"11,695"
53098,Watertown,Dodge County,"11,353"
54615,Black River Falls,Jackson County,"11,315"
53563,Milton,Rock County,"11,280"
54451,Medford,Taylor County,"11,198"
54942,Greenville,Outagamie County,"11,020"
54971,Ripon,Fond du Lac County,"10,907"
53120,East Troy,Walworth County,"10,848"
53965,Wisconsin Dells,Adams County,"10,818"
53572,Mount Horeb,Dane County,"10,385"
53037,Jackson,Washington County,"10,254"
53581,Richland Center,Richland County,"10,176"
53549,Jefferson,Jefferson County,"9,873"
53182,Union Grove,Racine County,"9,821"
53551,Lake Mills,Jefferson County,"9,731"
54162,Pulaski,Shawano County,"9,596"
54487,Tomahawk,Lincoln County,"9,562"
53536,Evansville,Rock County,"9,547"
53086,Slinger,Washington County,"9,426"
54944,Hortonville,Outagamie County,"9,312"
53205,Milwaukee,Milwaukee County,"9,265"
53168,Salem,Kenosha County,"9,036"
53128,Genoa City,Walworth County,"9,030"
53235,Saint Francis,Milwaukee County,"9,004"
54482,Stevens Point,Portage County,"8,963"
54720,Altoona,Eau Claire County,"8,947"
53555,Lodi,Columbia County,"8,933"
54665,Viroqua,Vernon County,"8,863"
54923,Berlin,Waushara County,"8,793"
54929,Clintonville,Waupaca County,"8,776"
53925,Columbus,Columbia County,"8,754"
53040,Kewaskum,Washington County,"8,630"
54521,Eagle River,Vilas County,"8,551"
53177,Sturtevant,Racine County,"8,489"
54669,West Salem,La Crosse County,"8,228"
53018,Delafield,Waukesha County,"8,201"
53948,Mauston,Juneau County,"8,195"
54457,Nekoosa,Adams County,"8,183"
54140,Little Chute,Outagamie County,"8,035"
54217,Luxemburg,Kewaunee County,"8,022"
53181,Twin Lakes,Kenosha County,"7,964"
54001,Amery,Polk County,"7,906"
53014,Chilton,Calumet County,"7,898"
54495,Wisconsin Rapids,Wood County,"7,859"
54165,Seymour,Outagamie County,"7,786"
53821,Prairie Du Chien,Crawford County,"7,780"
53130,Hales Corners,Milwaukee County,"7,712"
54020,Osceola,Polk County,"7,687"
53097,Mequon,Ozaukee County,"7,683"
54025,Somerset,St. Croix County,"7,612"
53118,Dousman,Waukesha County,"7,554"
54153,Oconto,Oconto County,"7,551"
54724,Bloomer,Chippewa County,"7,517"
53010,Campbellsport,Fond du Lac County,"7,444"
54155,Oneida,Brown County,"7,418"
54755,Mondovi,Buffalo County,"7,389"
54021,Prescott,Pierce County,"7,346"
53146,New Berlin,Waukesha County,"7,285"
53533,Dodgeville,Iowa County,"7,283"
54963,Omro,Winnebago County,"7,271"
53050,Mayville,Dodge County,"7,159"
53126,Franksville,Racine County,"7,064"
54011,Ellsworth,Pierce County,"7,054"
54136,Kimberly,Outagamie County,"7,019"
54982,Wautoma,Waushara County,"6,958"
54002,Baldwin,St. Croix County,"6,872"
53042,Kiel,Manitowoc County,"6,810"
53520,Brodhead,Rock County,"6,687"
53954,Pardeeville,Columbia County,"6,678"
54768,Stanley,Chippewa County,"6,557"
53122,Elm Grove,Waukesha County,"6,508"
53578,Prairie Du Sac,Sauk County,"6,503"
53179,Trevor,Kenosha County,"6,469"
53949,Montello,Marquette County,"6,292"
53033,Hubertus,Washington County,"6,286"
54801,Spooner,Washburn County,"6,266"
53528,Cross Plains,Dane County,"6,263"
54208,Denmark,Brown County,"6,231"
53813,Lancaster,Grant County,"6,222"
53955,Poynette,Columbia County,"6,125"
53559,Marshall,Dane County,"6,110"
54216,Kewaunee,Kewaunee County,"6,075"
54812,Barron,Barron County,"6,069"
54157,Peshtigo,Marinette County,"5,951"
53950,New Lisbon,Juneau County,"5,942"
54114,Crivitz,Marinette County,"5,926"
54612,Arcadia,Trempealeau County,"5,915"
54456,Neillsville,Clark County,"5,890"
54728,Chetek,Barron County,"5,835"
54848,Ladysmith,Rusk County,"5,832"
53104,Bristol,Kenosha County,"5,826"
53583,Sauk City,Sauk County,"5,816"
53119,Eagle,Waukesha County,"5,803"
54154,Oconto Falls,Oconto County,"5,741"
54548,Minocqua,Oneida County,"5,676"
53508,Belleville,Dane County,"5,654"
54110,Brillion,Calumet County,"5,591"
54730,Colfax,Dunn County,"5,578"
53805,Boscobel,Grant County,"5,554"
54739,Elk Mound,Dunn County,"5,549"
54484,Stratford,Marathon County,"5,529"
53017,Colgate,Washington County,"5,458"
54829,Cumberland,Barron County,"5,446"
54986,Winneconne,Winnebago County,"5,394"
54201,Algoma,Kewaunee County,"5,209"
53594,Waterloo,Jefferson County,"5,199"
53061,New Holstein,Calumet County,"5,144"
54667,Westby,Vernon County,"5,100"
53523,Cambridge,Dane County,"5,074"
53080,Saukville,Ozaukee County,"5,059"
53726,Madison,Dane County,"5,043"
54024,Saint Croix Falls,Polk County,"5,035"
54411,Athens,Marathon County,"5,028"
54106,Black Creek,Outagamie County,"4,990"
53070,Oostburg,Sheboygan County,"4,951"
53032,Horicon,Dodge County,"4,898"
54568,Woodruff,Vilas County,"4,854"
54727,Cadott,Chippewa County,"4,806"
53565,Mineral Point,Iowa County,"4,778"
54840,Grantsburg,Burnett County,"4,775"
53809,Fennimore,Grant County,"4,748"
54555,Phillips,Price County,"4,728"
53039,Juneau,Dodge County,"4,702"
54822,Cameron,Barron County,"4,670"
54023,Roberts,St. Croix County,"4,620"
54474,Rothschild,Marathon County,"4,589"
54758,Osseo,Trempealeau County,"4,577"
53530,Darlington,Lafayette County,"4,569"
53021,Fredonia,Ozaukee County,"4,537"
54940,Fremont,Waushara County,"4,533"
53934,Friendship,Adams County,"4,520"
54634,Hillsboro,Vernon County,"4,484"
53531,Deerfield,Dane County,"4,430"
53946,Markesan,Green Lake County,"4,333"
54229,New Franken,Brown County,"4,329"
54552,Park Falls,Price County,"4,292"
54448,Marathon,Marathon County,"4,280"
54722,Augusta,Eau Claire County,"4,277"
54426,Edgar,Marathon County,"4,275"
54630,Galesville,Trempealeau County,"4,261"
54742,Fall Creek,Eau Claire County,"4,255"
54126,Greenleaf,Brown County,"4,233"
53933,Fox Lake,Dodge County,"4,227"
53807,Cuba City,Grant County,"4,209"
54893,Webster,Burnett County,"4,207"
53038,Johnson Creek,Jefferson County,"4,192"
53598,Windsor,Dane County,"4,176"
54771,Thorp,Clark County,"4,171"
53184,Walworth,Walworth County,"4,169"
54736,Durand,Pepin County,"4,169"
54230,Reedsville,Manitowoc County,"4,158"
54983,Weyauwega,Waupaca County,"4,144"
54015,Hammond,St. Croix County,"4,086"
53525,Clinton,Rock County,"4,066"
54406,Amherst,Portage County,"4,040"
53574,New Glarus,Green County,"4,033"
54171,Sobieski,Oconto County,"4,024"
53706,Madison,Dane County,"3,958"
54170,Shiocton,Outagamie County,"3,898"
54619,Cashton,Monroe County,"3,849"
54970,Redgranite,Waushara County,"3,845"
54661,Trempealeau,Trempealeau County,"3,806"
54837,Frederic,Polk County,"3,803"
54738,Eleva,Eau Claire County,"3,784"
53588,Spring Green,Sauk County,"3,770"
54646,Necedah,Juneau County,"3,770"
54520,Crandon,Forest County,"3,764"
53103,Big Bend,Waukesha County,"3,762"
53036,Ixonia,Jefferson County,"3,730"
53013,Cedar Grove,Sheboygan County,"3,717"
54107,Bonduel,Shawano County,"3,713"
54874,South Range,Douglas County,"3,690"
53521,Brooklyn,Green County,"3,640"
