ZIP,City,County,Population
82001,Cheyenne,Laramie County,"38,168"
82009,Cheyenne,Laramie County,"35,081"
82604,Casper,Natrona County,"27,487"
82901,Rock Springs,Sweetwater County,"27,198"
82601,Casper,Natrona County,"26,721"
82718,Gillette,Campbell County,"26,619"
82801,Sheridan,Sheridan County,"26,310"
82007,Cheyenne,Laramie County,"21,704"
82070,Laramie,Albany County,"20,144"
82501,Riverton,Fremont County,"19,413"
82609,Casper,Natrona County,"18,714"
83001,Jackson,Teton County,"17,445"
82072,Laramie,Albany County,"16,931"
82716,Gillette,Campbell County,"16,817"
82414,Cody,Park County,"16,582"
82930,Evanston,Uinta County,"14,435"
82520,Lander,Fremont County,"13,266"
82435,Powell,Park County,"12,337"
82935,Green River,Sweetwater County,"12,012"
82240,Torrington,Goshen County,"9,667"
82633,Douglas,Converse County,"9,317"
82301,Rawlins,Carbon County,"8,180"
82834,Buffalo,Johnson County,"7,588"
82401,Worland,Washakie County,"7,067"
82201,Wheatland,Platte County,"6,245"
82701,Newcastle,Weston County,"5,459"
83110,Afton,Lincoln County,"5,198"
82941,Pinedale,Sublette County,"4,679"
82443,Thermopolis,Hot Springs County,"4,533"
82637,Glenrock,Converse County,"4,425"
82636,Evansville,Natrona County,"4,259"
83127,Thayne,Lincoln County,"3,812"
83101,Kemmerer,Lincoln County,"3,731"
82937,Lyman,Uinta County,"3,542"
82431,Lovell,Big Horn County,"3,224"
83014,Wilson,Teton County,"3,098"
82721,Moorcroft,Crook County,"2,955"
82426,Greybull,Big Horn County,"2,941"
83113,Big Piney,Sublette County,"2,431"
82729,Sundance,Crook County,"2,331"
82331,Saratoga,Carbon County,"2,250"
82644,Mills,Natrona County,"2,098"
82727,Rozet,Campbell County,"2,040"
83128,Alpine,Lincoln County,"2,033"
82410,Basin,Big Horn County,"1,938"
82082,Pine Bluffs,Laramie County,"1,891"
82732,Wright,Campbell County,"1,671"
82839,Ranchester,Sheridan County,"1,661"
82053,Burns,Laramie County,"1,656"
82513,Dubois,Fremont County,"1,627"
82225,Lusk,Niobrara County,"1,616"
82939,Mountain View,Uinta County,"1,476"
82730,Upton,Weston County,"1,422"
82832,Banner,Sheridan County,"1,386"
82514,Fort Washakie,Fremont County,"1,192"
82649,Shoshoni,Fremont County,"1,152"
82836,Dayton,Sheridan County,"1,077"
82433,Meeteetse,Park County,"1,041"
83112,Bedford,Lincoln County,"1,033"
82932,Farson,Sweetwater County,997
82720,Hulett,Crook County,995
82523,Pavillion,Fremont County,945
82214,Guernsey,Platte County,932
83122,Grover,Lincoln County,895
82510,Arapahoe,Fremont County,875
82054,Carpenter,Laramie County,870
82325,Encampment,Carbon County,867
83126,Smoot,Lincoln County,837
82420,Cowley,Big Horn County,822
83025,Teton Village,Teton County,799
82327,Hanna,Carbon County,789
82442,Ten Sleep,Washakie County,788
82213,Glendo,Platte County,786
82639,Kaycee,Johnson County,782
82223,Lingle,Goshen County,774
82321,Baggs,Carbon County,752
82412,Byron,Big Horn County,704
82190,Yellowstone National Park,Park County,686
82933,Fort Bridger,Uinta County,683
83123,La Barge,Lincoln County,679
83013,Moran,Teton County,661
83114,Cokeville,Lincoln County,635
83116,Diamondville,Lincoln County,619
82923,Boulder,Sublette County,588
82842,Story,Sheridan County,567
82334,Sinclair,Carbon County,560
82221,Lagrange,Goshen County,555
82060,Hillsdale,Laramie County,540
82244,Yoder,Goshen County,531
82055,Centennial,Albany County,521
82411,Burlington,Big Horn County,520
82944,Robertson,Uinta County,519
82212,Fort Laramie,Goshen County,509
83414,Alta,Teton County,502
82329,Medicine Bow,Carbon County,493
82215,Hartville,Platte County,487
82005,Fe Warren Afb,Laramie County,454
82922,Bondurant,Sublette County,444
82515,Hudson,Fremont County,437
83118,Etna,Lincoln County,433
82925,Cora,Sublette County,418
82059,Granite Canon,Laramie County,397
82421,Deaver,Big Horn County,379
82838,Parkman,Sheridan County,377
82227,Manville,Niobrara County,363
82835,Clearmont,Sheridan County,362
82432,Manderson,Big Horn County,307
82243,Veteran,Goshen County,303
82050,Albin,Laramie County,302
82516,Kinnear,Fremont County,299
82512,Crowheart,Fremont County,294
82083,Rock River,Albany County,288
82934,Granger,Sweetwater County,285
83111,Auburn,Lincoln County,284
83115,Daniel,Sublette County,278
82210,Chugwater,Platte County,275
82336,Wamsutter,Sweetwater County,269
82323,Dixon,Carbon County,267
82643,Midwest,Natrona County,267
82441,Shell,Big Horn County,265
82711,Alva,Crook County,254
82833,Big Horn,Sheridan County,247
82710,Aladdin,Crook County,246
83011,Kelly,Teton County,234
83120,Freedom,Lincoln County,232
82450,Wapiti,Park County,225
82938,McKinnon,Sweetwater County,221
82423,Frannie,Big Horn County,209
82714,Devils Tower,Crook County,196
82945,Superior,Sweetwater County,196
83012,Moose,Teton County,189
82943,Reliance,Sweetwater County,187
82324,Elk Mountain,Carbon County,175
82640,Linch,Johnson County,175
82084,Tie Siding,Albany County,174
82620,Alcova,Natrona County,164
82712,Beulah,Crook County,163
82222,Lance Creek,Niobrara County,161
82428,Hyattville,Big Horn County,158
82831,Arvada,Campbell County,153
82242,Van Tassell,Niobrara County,149
