NAME,H1_001N,zip code tabulation area
ZCTA5 05150,423,05150
ZCTA5 05146,461,05146
ZCTA5 05148,1103,05148
ZCTA5 05149,3579,05149
ZCTA5 05151,681,05151
ZCTA5 05152,673,05152
ZCTA5 05153,613,05153
ZCTA5 05154,243,05154
ZCTA5 05155,1651,05155
ZCTA5 05156,4301,05156
ZCTA5 05158,444,05158
ZCTA5 05161,540,05161
ZCTA5 05201,6875,05201
ZCTA5 05250,1904,05250
ZCTA5 05251,1080,05251
ZCTA5 05252,224,05252
ZCTA5 05253,370,05253
ZCTA5 05254,361,05254
ZCTA5 05255,2467,05255
ZCTA5 05257,1148,05257
ZCTA5 05260,171,05260
ZCTA5 05261,1170,05261
ZCTA5 05262,1104,05262
ZCTA5 05301,8744,05301
ZCTA5 05340,1678,05340
ZCTA5 05341,312,05341
ZCTA5 05342,433,05342
ZCTA5 05343,1120,05343
ZCTA5 05344,2,05344
ZCTA5 05345,1018,05345
ZCTA5 05346,2399,05346
ZCTA5 05350,494,05350
ZCTA5 05351,166,05351
ZCTA5 05352,426,05352
ZCTA5 05353,636,05353
ZCTA5 05354,943,05354
ZCTA5 05355,707,05355
ZCTA5 05356,2755,05356
ZCTA5 05358,185,05358
ZCTA5 05359,477,05359
ZCTA5 05360,354,05360
ZCTA5 05361,596,05361
ZCTA5 05362,178,05362
ZCTA5 05363,2606,05363
ZCTA5 05401,13725,05401
ZCTA5 05403,9604,05403
ZCTA5 05404,4024,05404
ZCTA5 05405,14,05405
ZCTA5 05408,4589,05408
ZCTA5 05439,22,05439
ZCTA5 05440,1566,05440
ZCTA5 05441,248,05441
ZCTA5 05442,185,05442
ZCTA5 05443,2946,05443
ZCTA5 05444,811,05444
ZCTA5 05445,1763,05445
ZCTA5 05446,7551,05446
ZCTA5 08736,6233,08736
ZCTA5 08733,1010,08733
ZCTA5 08734,3120,08734
ZCTA5 08735,7112,08735
ZCTA5 08738,1803,08738
ZCTA5 08740,1153,08740
ZCTA5 08741,1155,08741
ZCTA5 08742,13090,08742
ZCTA5 08750,2106,08750
ZCTA5 08751,5447,08751
ZCTA5 08752,3987,08752
ZCTA5 08753,26925,08753
ZCTA5 08755,11164,08755
ZCTA5 08757,19503,08757
ZCTA5 08758,4025,08758
ZCTA5 08759,22279,08759
ZCTA5 08801,3098,08801
ZCTA5 08802,1494,08802
ZCTA5 08804,1239,08804
ZCTA5 08805,5157,08805
ZCTA5 08807,14277,08807
ZCTA5 08809,2299,08809
ZCTA5 08810,2798,08810
ZCTA5 08812,5134,08812
ZCTA5 08816,17711,08816
ZCTA5 08817,17590,08817
ZCTA5 08820,13583,08820
ZCTA5 08821,145,08821
ZCTA5 08822,12404,08822
ZCTA5 08823,3871,08823
ZCTA5 08824,4481,08824
ZCTA5 08825,1952,08825
ZCTA5 08826,2288,08826
ZCTA5 08827,1809,08827
ZCTA5 08828,1091,08828
ZCTA5 08829,1525,08829
ZCTA5 08830,6994,08830
ZCTA5 08831,23985,08831
ZCTA5 08832,1110,08832
ZCTA5 08833,3666,08833
ZCTA5 08835,4290,08835
ZCTA5 08836,1415,08836
ZCTA5 08837,7426,08837
ZCTA5 08840,6930,08840
ZCTA5 08844,15978,08844
ZCTA5 08846,5472,08846
ZCTA5 08848,3328,08848
ZCTA5 08850,3186,08850
ZCTA5 08852,6842,08852
ZCTA5 08853,2041,08853
ZCTA5 08854,18810,08854
ZCTA5 08857,15807,08857
ZCTA5 08858,72,08858
ZCTA5 08859,9613,08859
ZCTA5 08861,18756,08861
ZCTA5 08863,4781,08863
ZCTA5 08865,13303,08865
ZCTA5 43084,313,43084
ZCTA5 43080,2201,43080
ZCTA5 43081,28513,43081
ZCTA5 43082,12558,43082
ZCTA5 43085,10697,43085
ZCTA5 43101,159,43101
ZCTA5 43102,1730,43102
ZCTA5 43103,4817,43103
ZCTA5 43105,3382,43105
ZCTA5 43106,620,43106
ZCTA5 43107,1290,43107
ZCTA5 43109,35,43109
ZCTA5 43110,16299,43110
ZCTA5 43111,94,43111
ZCTA5 43112,1865,43112
ZCTA5 43113,10306,43113
ZCTA5 43115,509,43115
ZCTA5 43116,818,43116
ZCTA5 43117,21,43117
ZCTA5 43119,11232,43119
ZCTA5 43123,26967,43123
ZCTA5 43125,6254,43125
ZCTA5 43126,151,43126
ZCTA5 43127,130,43127
ZCTA5 43128,1005,43128
ZCTA5 43130,26119,43130
ZCTA5 43135,1921,43135
ZCTA5 43136,682,43136
ZCTA5 43137,1100,43137
ZCTA5 43138,8283,43138
ZCTA5 43140,8177,43140
ZCTA5 43142,52,43142
ZCTA5 43143,2505,43143
ZCTA5 43144,205,43144
ZCTA5 43145,850,43145
ZCTA5 43146,3575,43146
ZCTA5 43147,16024,43147
ZCTA5 43148,917,43148
ZCTA5 43149,1118,43149
ZCTA5 43150,871,43150
ZCTA5 43151,120,43151
ZCTA5 43152,496,43152
ZCTA5 43153,369,43153
ZCTA5 43154,1183,43154
ZCTA5 43155,1243,43155
ZCTA5 43156,92,43156
ZCTA5 43157,240,43157
ZCTA5 43158,102,43158
ZCTA5 43160,9808,43160
ZCTA5 43162,2867,43162
ZCTA5 43164,894,43164
ZCTA5 43201,19624,43201
ZCTA5 43202,10760,43202
ZCTA5 43203,4850,43203
ZCTA5 43204,18564,43204
ZCTA5 43205,7040,43205
ZCTA5 43206,12136,43206
ZCTA5 60151,1610,60151
ZCTA5 60146,1003,60146
ZCTA5 60148,22203,60148
ZCTA5 60150,708,60150
ZCTA5 60152,4989,60152
ZCTA5 60153,8444,60153
ZCTA5 60154,7232,60154
ZCTA5 60155,3358,60155
ZCTA5 60156,10127,60156
ZCTA5 60157,908,60157
ZCTA5 60160,8755,60160
ZCTA5 60162,3154,60162
