Zip,Population,Count,Density,Region
20105,37639,63,16.738,Northern VA - North/West
20106,4297,1,2.3272,Northern VA - North/West
20109,45444,113,24.8658,Northern VA - North/West
20110,49890,208,41.6917,Northern VA - North/West
20111,38124,55,14.4266,Northern VA - North/West
20112,30500,23,7.541,Northern VA - North/West
20115,8173,6,7.3412,Northern VA - North/West
20117,2790,37,132.6165,Northern VA - North/West
20119,3416,1,2.9274,Northern VA - North/West
20120,42896,91,21.2141,Northern VA - North/West
20121,27788,57,20.5125,Northern VA - North/West
20124,14375,31,21.5652,Northern VA - North/West
20129,538,18,334.5725,Northern VA - North/West
20130,271,0,0.0,Northern VA - North/West
20132,19817,95,47.9386,Northern VA - North/West
20135,3585,2,5.5788,Northern VA - North/West
20136,32325,51,15.7773,Northern VA - North/West
20137,1938,1,5.16,Northern VA - North/West
20141,8359,17,20.3374,Northern VA - North/West
20143,1070,11,102.8037,Northern VA - North/West
20144,1340,0,0.0,Northern VA - North/West
20147,67692,445,65.7389,Northern VA - North/West
20148,64021,171,26.71,Northern VA - North/West
20151,22610,247,109.2437,Northern VA - North/West
20152,36674,111,30.2667,Northern VA - North/West
20155,37486,139,37.0805,Northern VA - North/West
20158,4979,12,24.1012,Northern VA - North/West
20164,43436,61,14.0437,Northern VA - North/West
20165,34088,123,36.0831,Northern VA - North/West
20166,14949,87,58.1979,Northern VA - North/West
20169,28089,93,33.109,Northern VA - North/West
20170,43866,171,38.9824,Northern VA - North/West
20171,51286,139,27.1029,Northern VA - North/West
20175,34733,248,71.4018,Northern VA - North/West
20176,51471,276,53.6224,Northern VA - North/West
20180,7531,15,19.9177,Northern VA - North/West
20181,10774,11,10.2098,Northern VA - North/West
20184,635,2,31.4961,Northern VA - North/West
20186,15703,105,66.8662,Northern VA - North/West
20187,18980,31,16.333,Northern VA - North/West
20190,22012,268,121.7518,Northern VA - North/West
20191,31011,375,120.9248,Northern VA - North/West
20194,12275,24,19.5519,Northern VA - North/West
20197,1825,2,10.9589,Northern VA - North/West
20198,2251,9,39.9822,Northern VA - North/West
22003,57755,160,27.7032,Northern VA - Central NoVA
22015,44647,152,34.0448,Northern VA - Central NoVA
22025,19356,41,21.1821,Northern VA - Central NoVA
22026,22897,37,16.1593,Northern VA - Central NoVA
22027,1939,30,154.7189,Northern VA - Central NoVA
22030,61332,963,157.0143,Northern VA - Central NoVA
22031,37276,269,72.1644,Northern VA - Central NoVA
22032,29240,117,40.0137,Northern VA - Central NoVA
22033,39526,113,28.5888,Northern VA - Central NoVA
22039,19626,71,36.1765,Northern VA - Central NoVA
22041,29183,74,25.3572,Northern VA - Central NoVA
22042,35483,96,27.0552,Northern VA - Central NoVA
22043,25750,82,31.8447,Northern VA - Central NoVA
22044,13996,54,38.5825,Northern VA - Central NoVA
22046,18169,333,183.2792,Northern VA - Central NoVA
22060,10641,16,15.0362,Northern VA - Central NoVA
22066,17185,182,105.9063,Northern VA - Central NoVA
22079,35284,59,16.7215,Northern VA - Central NoVA
22101,30953,517,167.0274,Northern VA - East/Central
22102,29184,246,84.2928,Northern VA - East/Central
22124,18091,88,48.643,Northern VA - East/Central
22125,681,22,323.0543,Northern VA - East/Central
22134,8310,20,24.0674,Northern VA - East/Central
22150,27955,77,27.5443,Northern VA - East/Central
