Region,Zip,City,County,Population,Therapists,PopPerTherapist
Central/East VA - Hampton Roads/Tidewater,23437,Suffolk,Suffolk city,5023,1,5023.0
Central/East VA - Hampton Roads/Tidewater,23511,Norfolk,Norfolk city,9664,4,2416.0
Central/East VA - Hampton Roads/Tidewater,23410,Melfa,Accomack County,2305,1,2305.0
Central/East VA - Hampton Roads/Tidewater,23421,Parksley,Accomack County,4290,2,2145.0
Central/East VA - Hampton Roads/Tidewater,23306,Belle Haven,Accomack County,1729,1,1729.0
Central/East VA - Hampton Roads/Tidewater,23356,Greenbackville,Accomack County,1628,1,1628.0
Central/East VA - Hampton Roads/Tidewater,23315,Carrsville,Isle of Wight County,1391,1,1391.0
Central/East VA - Hampton Roads/Tidewater,23487,Windsor,Isle of Wight County,6477,5,1295.4
Central/East VA - Hampton Roads/Tidewater,23325,Chesapeake,Chesapeake city,19138,18,1063.22
Central/East VA - Hampton Roads/Tidewater,23417,Onancock,Accomack County,3827,4,956.75
Central/East VA - Hampton Roads/Tidewater,23509,Norfolk,Norfolk city,13105,14,936.07
Central/East VA - Hampton Roads/Tidewater,23438,Suffolk,Suffolk city,1749,2,874.5
Central/East VA - Hampton Roads/Tidewater,23336,Chincoteague Island,Accomack County,3319,4,829.75
Central/East VA - Hampton Roads/Tidewater,23324,Chesapeake,Chesapeake city,24670,30,822.33
Central/East VA - Hampton Roads/Tidewater,23413,Nassawadox,Northampton County,776,1,776.0
Central/East VA - Hampton Roads/Tidewater,23415,New Church,Accomack County,2289,3,763.0
Central/East VA - Hampton Roads/Tidewater,23314,Carrollton,Isle of Wight County,10099,14,721.36
Central/East VA - Hampton Roads/Tidewater,23523,Norfolk,Norfolk city,8188,12,682.33
Central/East VA - Hampton Roads/Tidewater,23505,Norfolk,Norfolk city,28247,42,672.55
Central/East VA - Hampton Roads/Tidewater,23459,Virginia Beach,Virginia Beach city,1324,2,662.0
Central/East VA - Hampton Roads/Tidewater,23434,Suffolk,Suffolk city,54387,85,639.85
Central/East VA - Hampton Roads/Tidewater,23430,Smithfield,Isle of Wight County,19109,32,597.16
Central/East VA - Hampton Roads/Tidewater,23513,Norfolk,Norfolk city,28628,48,596.42
Central/East VA - Hampton Roads/Tidewater,23518,Norfolk,Norfolk city,29746,50,594.92
Central/East VA - Hampton Roads/Tidewater,23504,Norfolk,Norfolk city,23502,43,546.56
Central/East VA - Hampton Roads/Tidewater,23503,Norfolk,Norfolk city,30216,65,464.86
Central/East VA - Hampton Roads/Tidewater,23310,Cape Charles,Northampton County,5031,11,457.36
Central/East VA - Hampton Roads/Tidewater,23323,Chesapeake,Chesapeake city,43043,97,443.74
Central/East VA - Hampton Roads/Tidewater,23354,Franktown,Northampton County,433,1,433.0
Central/East VA - Hampton Roads/Tidewater,23551,Norfolk,Norfolk city,1702,4,425.5
Central/East VA - Hampton Roads/Tidewater,23456,Virginia Beach,Virginia Beach city,61911,147,421.16
Central/East VA - Hampton Roads/Tidewater,23418,Onley,Accomack County,753,2,376.5
Central/East VA - Hampton Roads/Tidewater,23455,Virginia Beach,Virginia Beach city,49977,133,375.77
Central/East VA - Hampton Roads/Tidewater,23435,Suffolk,Suffolk city,33721,91,370.56
Central/East VA - Hampton Roads/Tidewater,23457,Virginia Beach,Virginia Beach city,4814,13,370.31
Central/East VA - Hampton Roads/Tidewater,23321,Chesapeake,Chesapeake city,40176,111,361.95
Central/East VA - Hampton Roads/Tidewater,23453,Virginia Beach,Virginia Beach city,34482,96,359.19
Central/East VA - Hampton Roads/Tidewater,23303,Atlantic,Accomack County,342,1,342.0
Central/East VA - Hampton Roads/Tidewater,23322,Chesapeake,Chesapeake city,66956,198,338.16
Central/East VA - Hampton Roads/Tidewater,23454,Virginia Beach,Virginia Beach city,58178,199,292.35
Central/East VA - Hampton Roads/Tidewater,23508,Norfolk,Norfolk city,19432,69,281.62
Central/East VA - Hampton Roads/Tidewater,23462,Virginia Beach,Virginia Beach city,66151,279,237.1
Central/East VA - Hampton Roads/Tidewater,23464,Virginia Beach,Virginia Beach city,75061,342,219.48
Central/East VA - Hampton Roads/Tidewater,23427,Saxis,Accomack County,218,1,218.0
Central/East VA - Hampton Roads/Tidewater,23461,Virginia Beach,Virginia Beach city,943,5,188.6
Central/East VA - Hampton Roads/Tidewater,23433,Suffolk,Suffolk city,1391,8,173.88
Central/East VA - Hampton Roads/Tidewater,23451,Virginia Beach,Virginia Beach city,44012,262,167.98
Central/East VA - Hampton Roads/Tidewater,23301,Accomac,Accomack County,1804,11,164.0
Central/East VA - Hampton Roads/Tidewater,23320,Chesapeake,Chesapeake city,59108,389,151.95
Central/East VA - Hampton Roads/Tidewater,23452,Virginia Beach,Virginia Beach city,58455,399,146.5
Central/East VA - Hampton Roads/Tidewater,23502,Norfolk,Norfolk city,20399,140,145.71
Central/East VA - Hampton Roads/Tidewater,23507,Norfolk,Norfolk city,6645,50,132.9
Central/East VA - Hampton Roads/Tidewater,23460,Virginia Beach,Virginia Beach city,1041,12,86.75
Central/East VA - Hampton Roads/Tidewater,23401,Keller,Accomack County,288,4,72.0
Central/East VA - Hampton Roads/Tidewater,23517,Norfolk,Norfolk city,4932,75,65.76
Central/East VA - Hampton Roads/Tidewater,23436,Suffolk,Suffolk city,882,15,58.8
Central/East VA - Hampton Roads/Tidewater,23432,Suffolk,Suffolk city,1180,25,47.2
Central/East VA - Hampton Roads/Tidewater,23510,Norfolk,Norfolk city,9190,198,46.41
Central/East VA - Hampton Roads/Tidewater,23414,Nelsonia,Accomack County,26,1,26.0
Central/East VA - Peninsula/Hampton Roads,23696,Seaford,York County,3937,1,3937.0
