zip,result_count,nearby_result_count,teletherapy_count,resolved_postal_code,resolved_region,zip_mismatch,http_status,url,error
22102,246,0,0,22102,Virginia,False,(cached),(cached),
22030,963,0,0,22030,Virginia,False,(cached),(cached),
22201,638,0,0,22201,Virginia,False,(cached),(cached),
20120,91,0,0,20120,Virginia,False,(cached),(cached),
22310,108,0,0,22310,Virginia,False,(cached),(cached),
20101,8,1273,0,20101,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20101,
20102,2,2151,0,20102,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20102,
20103,6,2147,0,20103,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20103,
20104,4,2149,0,20104,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20104,
20105,63,0,0,20105,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20105,
20106,1,920,0,20106,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20106,
20107,1,7719,0,20107,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20107,
20108,37,0,0,20108,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20108,
20109,113,0,0,20109,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20109,
20110,208,0,0,20110,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20110,
20111,55,0,0,20111,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20111,
20112,23,0,0,20112,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20112,
20113,2,7865,0,20113,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20113,
20114,,,,,,False,404,https://www.psychologytoday.com/us/therapists?search=20114,Request error: 404 Client Error: Not Found for url: https://www.psychologytoday.com/us/therapists?search=20114
20115,6,3066,0,20115,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20115,
20116,0,2325,0,20116,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20116,
20117,37,0,0,20117,Virginia,False,200,https://www.psychologytoday.com/us/therapists?search=20117,
